Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Заволжская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122					
1	"Число избирателей, включенных в списки избирателей"	94099	845	1010	1608	1504	380	346	2488	2440	2204	1546	2027	2059	2078	2056	2080	2052	2052	2345	2330	2240	2237	2468	2324	2321	2147	2166	2212	2324	2399	2150	2080	2036	1257	2032	2118	2028	2306	2321	930	2284	2098	2120	2134	2355	2524	2363	1628	105	103	839					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	77100	700	800	1250	1200	350	400	2000	1950	1750	1250	1650	1650	1650	1650	1650	1650	1650	1900	1900	1800	1800	1950	1900	1850	1750	1750	1800	1900	1950	1750	1700	1650	1650	1700	1650	1650	1850	1900	750	1900	1700	1700	1750	1900	2050	1900	1300	150	150	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	51272	298	441	643	654	191	163	1185	1271	1246	821	1233	1288	1232	1230	1201	1158	1223	1278	1447	1306	1158	1274	1317	1341	1083	1202	1267	1183	1356	1154	1098	1158	1206	1119	1328	1179	1438	1245	277	1131	1092	1108	1096	1097	1338	1236	724	47	90	421					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2957	40	60	70	115	157	0	119	44	51	57	66	29	70	44	63	45	34	57	32	40	51	61	101	38	65	39	49	65	31	38	49	36	33	32	39	52	46	53	80	114	27	24	53	78	86	44	99	58	13	210					
6	Число погашенных избирательных бюллетеней	22871	362	299	537	431	2	237	696	635	453	372	351	333	348	376	386	447	393	565	421	454	591	615	482	471	602	509	484	652	563	558	553	456	411	549	283	419	366	602	393	655	581	568	601	725	626	620	477	45	47	269					
