Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Исаклинская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222					
1	"Число избирателей, внесенных в списки"	11000	1538	1982	139	312	372	164	306	268	136	244	129	198	197	123	761	475	541	602	182	355	232	342	303	394	705					
2	"Число бюллетеней, полученных участковыми комиссиями"	11101	1534	1955	145	322	362	165	370	268	138	248	131	201	199	125	771	492	550	592	180	360	232	344	304	407	706					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8353	999	1309	121	294	249	111	288	258	127	199	126	170	141	94	594	384	489	475	125	254	167	313	239	238	589					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1008	71	94	9	13	85	36	18	6	6	29	0	24	40	17	94	38	38	34	30	53	45	0	16	117	95					
6	Число погашенных бюллетеней	1740	464	552	15	15	28	18	64	4	5	20	5	7	18	14	83	70	23	83	25	53	20	31	49	52	22					
7	Число бюллетеней в переносных ящиках для голосования	1008	71	94	9	13	85	36	18	6	6	29	0	24	40	17	94	38	38	34	30	53	45	0	16	117	95					
8	Число бюллетеней в стационарных ящиках для голосования	8353	999	1309	121	294	249	111	288	258	127	199	126	170	141	94	594	384	489	475	125	254	167	313	239	238	589					
9	Число недействительных бюллетеней	133	6	26	4	1	1	2	16	0	0	2	2	1	0	0	17	4	2	6	9	5	0	7	9	5	8					
10	Число действительных бюллетеней	9228	1064	1377	126	306	333	145	290	264	133	226	124	193	181	111	671	418	525	503	146	302	212	306	246	350	676					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	7	13	3	4	3	0	2	0	3	3	0	3	3	3	5	5	8	5	3	4	3	4	4	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	74	7	13	3	4	3	0	0	0	2	3	0	0	0	0	5	5	8	5	0	4	0	0	0	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	1	8	0	0	3	1	1	0	1	0	0	0	0	0	3	0	2	1	1	1	0	0	0	3	0					
14	Число погашенных открепительных удостоверений	26	0	0	0	0	0	0	2	0	1	0	0	3	3	3	0	0	0	0	3	0	3	4	4	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
