Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Игринская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31941	2257	868	1242	2264	1941	2161	849	1533	2099	1247	813	1015	582	925	676	439	507	144	1134	1123	669	360	311	456	179	870	231	226	622	517	285	167	554	442	899	474	458	215	187									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26360	1700	650	940	1700	1470	1630	640	1150	1580	940	620	890	500	790	620	410	470	149	980	960	640	340	300	440	191	770	236	220	530	500	287	169	556	400	770	410	420	206	186									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14443	920	308	396	831	722	975	352	701	993	664	407	431	239	338	383	273	227	92	531	526	385	180	169	200	116	490	118	138	240	295	147	100	338	235	405	189	195	85	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	907	15	26	27	45	57	17	22	11	23	17	8	46	16	13	11	13	47	8	58	29	10	24	22	38	9	38	10	6	54	18	16	12	26	15	27	21	39	13	0									
6	Число погашенных избирательных бюллетеней	11010	765	316	517	824	691	638	266	438	564	259	205	413	245	439	226	124	196	49	391	405	245	136	109	202	66	242	108	76	236	187	124	57	192	150	338	200	186	108	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	907	15	26	27	45	57	17	22	11	23	17	8	46	16	13	11	13	47	8	58	29	10	24	22	38	9	38	10	6	54	18	16	12	26	15	27	21	39	13	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14421	920	308	396	831	722	975	352	701	993	663	407	429	239	338	383	272	227	92	531	526	385	180	169	200	116	477	118	137	237	295	147	100	338	235	405	188	195	85	109									
9	Число недействительных избирательных бюллетеней	573	48	16	16	34	25	40	11	30	40	24	5	11	15	18	18	15	18	3	31	26	10	14	3	5	5	20	4	5	3	5	5	3	0	16	7	7	8	7	2									
10	Число действительных избирательных бюллетеней	14755	887	318	407	842	754	952	363	682	976	656	410	464	240	333	376	270	256	97	558	529	385	190	188	233	120	495	124	138	288	308	158	109	364	234	425	202	226	91	107									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	680	25	25	25	25	25	25	25	25	25	25	25	25	25	10	10	10	10	10	20	20	25	10	10	25	25	25	10	10	10	10	10	10	25	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	217	7	0	1	12	4	10	2	5	13	7	3	1	0	0	10	9	10	5	15	10	5	0	1	4	14	25	6	1	10	2	1	3	1	7	5	6	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	172	7	5	1	1	7	8	6	8	9	7	5	3	3	6	6	2	2	2	6	3	2	2	4	4	4	3	4	6	9	3	1	2	2	7	4	6	5	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	463	18	25	24	13	21	15	23	20	12	18	22	24	25	10	0	1	0	5	5	10	20	10	9	21	11	0	4	9	0	8	9	7	24	3	5	4	9	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	1	0	1	1	0	2	1	1	1	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
