Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Бодайбинская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143					
1	"Число избирателей, внесенных в списки избирателей"	19731	1726	881	1607	1667	1247	1075	660	758	206	179	712	703	931	1783	67	634	495	233	93	855	534	386	1405	894					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18455	1700	800	1500	1500	1100	1000	600	700	190	175	700	700	900	1700	60	600	450	200	80	800	500	350	1250	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	214	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	169	29					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9883	822	442	862	824	671	507	305	388	109	87	339	356	396	925	37	400	324	140	53	470	229	200	605	392					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	659	33	28	36	95	28	41	17	12	11	8	16	8	15	112	0	15	16	13	4	36	40	7	25	43					
6	Число погашенных избирательных бюллетеней	7699	845	330	602	581	401	452	278	300	70	80	329	336	489	663	23	185	110	47	23	294	231	143	451	436					
7	Число избирательных бюллетеней в переносных ящиках для голосования	873	33	28	36	95	28	41	17	12	11	8	32	8	15	112	0	15	16	13	4	36	40	7	194	72					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9878	822	442	862	824	671	507	305	388	109	87	339	356	396	925	37	400	324	140	53	470	229	200	605	387					
9	Число недействительных избирательных бюллетеней	155	14	7	3	13	9	8	2	11	0	3	10	4	5	13	1	4	9	0	0	4	4	4	21	6					
10	Число действительных избирательных бюллетеней	10596	841	463	895	906	690	540	320	389	120	92	361	360	406	1024	36	411	331	153	57	502	265	203	778	453					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	590	40	20	40	40	40	40	20	20	15	15	20	20	20	40	15	20	20	15	15	20	20	15	40	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	101	10	1	8	8	3	6	6	3	0	0	2	1	3	11	0	12	10	0	0	3	4	4	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	46	1	3	5	4	4	2	1	1	0	0	2	1	1	4	0	0	1	5	1	5	2	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	489	30	19	32	32	37	34	14	17	15	15	18	19	17	29	15	8	10	15	15	17	16	11	36	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	191	15	4	15	21	14	7	4	11	1	2	10	7	14	19	0	4	6	3	3	10	3	2	4	12					
		1.78%	1.75%	0.85%	1.67%	2.29%	2.00%	1.28%	1.24%	2.75%	0.83%	2.11%	2.70%	1.92%	3.41%	1.83%	0.00%	0.96%	1.76%	1.96%	5.26%	1.98%	1.12%	0.97%	0.50%	2.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	53	5	2	3	12	2	1	2	3	0	2	2	2	2	4	0	2	1	0	0	1	1	1	4	1					
		0.49%	0.58%	0.43%	0.33%	1.31%	0.29%	0.18%	0.62%	0.75%	0.00%	2.11%	0.54%	0.55%	0.49%	0.39%	0.00%	0.48%	0.29%	0.00%	0.00%	0.20%	0.37%	0.48%	0.50%	0.22%					
20	3.Политическая партия «Демократическая партия России»	19	0	2	3	3	1	0	0	0	0	0	0	2	1	2	0	1	1	0	0	1	0	0	2	0					
		0.18%	0.00%	0.43%	0.33%	0.33%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.24%	0.19%	0.00%	0.24%	0.29%	0.00%	0.00%	0.20%	0.00%	0.00%	0.25%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	794	62	37	90	75	57	58	27	19	9	9	25	22	31	65	1	0	25	10	1	37	29	4	75	26					
		7.39%	7.25%	7.87%	10.02%	8.16%	8.15%	10.58%	8.39%	4.75%	7.50%	9.47%	6.74%	6.04%	7.54%	6.27%	2.70%	0.00%	7.35%	6.54%	1.75%	7.31%	10.78%	1.93%	9.39%	5.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	55	5	1	4	9	4	1	2	0	0	0	0	1	4	6	0	4	0	0	0	4	1	2	5	2					
		0.51%	0.58%	0.21%	0.45%	0.98%	0.57%	0.18%	0.62%	0.00%	0.00%	0.00%	0.00%	0.27%	0.97%	0.58%	0.00%	0.96%	0.00%	0.00%	0.00%	0.79%	0.37%	0.97%	0.63%	0.44%					
23	6.Политическая партия «Партия социальной справедливости»	37	2	2	2	1	2	2	3	0	0	0	2	0	0	0	0	18	0	0	0	0	0	0	1	2					
