Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Лев-Толстовская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13082	1565	1317	709	540	779	642	1283	428	92	565	142	122	89	117	525	107	318	130	203	508	153	262	274	573	234	401	254	410	340									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12600	1500	1300	700	500	750	650	1250	400	90	550	130	120	80	100	500	100	300	130	200	500	150	250	250	550	200	400	250	400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6560	586	665	294	285	382	388	526	262	53	315	73	80	56	57	219	30	153	50	82	204	71	126	169	423	171	272	152	210	206									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	820	54	36	29	22	23	36	35	38	20	23	18	12	7	11	24	17	35	24	29	50	17	29	36	55	16	32	28	28	36									
6	Число погашенных избирательных бюллетеней	5220	860	599	377	193	345	226	689	100	17	212	39	28	17	32	257	53	112	56	89	246	62	95	45	72	13	96	70	162	58									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	820	54	36	29	22	23	36	35	38	20	23	18	12	7	11	24	17	35	24	29	50	17	29	36	55	16	32	28	28	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6560	586	665	294	285	382	388	526	262	53	315	73	80	56	57	219	30	153	50	82	204	71	126	169	423	171	272	152	210	206									
9	Число недействительных избирательных бюллетеней	152	13	18	3	7	7	5	13	0	0	3	4	2	2	4	8	2	0	1	0	10	0	5	4	22	7	5	2	2	3									
10	Число действительных избирательных бюллетеней	7228	627	683	320	300	398	419	548	300	73	335	87	90	61	64	235	45	188	73	111	244	88	150	201	456	180	299	178	236	239									
