Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																		
Дата голосования: 18.09.2016																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																		
																																																																																																		
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №3484	УИК №3485									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	176558	985	1886	1101	2167	2047	1952	2002	2081	1959	1957	1553	2257	1594	1474	2458	2447	2061	2161	2136	2263	1776	2505	2361	2213	2075	2155	2428	1801	1211	1223	2219	1740	1185	2401	2139	2507	2106	2360	2414	2335	2535	2339	1810	1948	1996	2031	1882	2059	2412	2418	2226	2520	2270	2279	2217	2278	2351	2297	2319	2225	2358	2391	2169	2025	2149	1916	2167	2104	1731	2458	2029	2643	2511	2576	2593	2392	2240	2698	2762	1584	461	2369	227	423	297	1695	1483									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	168789	950	1600	1050	2100	1800	1900	1950	2000	1900	1950	1500	2100	1500	1450	2100	2300	1900	2050	2050	2300	1750	2450	2350	2200	2000	2150	2300	1800	1150	1200	2100	1600	1100	2200	1700	2400	2050	2300	2400	2200	2300	2200	1750	1800	1950	1900	1850	2000	2400	2400	2200	2400	2000	2250	2200	2300	2150	2250	2250	2200	2350	2400	2100	1950	2100	1900	2100	1950	1650	2400	1900	2600	2400	2500	2450	2250	2150	2550	2650	1250	400	2150	260	423	306	1650	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	108988	292	1377	587	961	899	608	1159	1131	848	1168	709	477	958	955	1523	1727	1275	1366	1474	1582	1228	1824	1678	1640	1250	1494	1630	1332	575	729	1413	701	408	783	1175	845	1504	994	1270	1403	1261	1574	1296	1186	679	1403	1203	1203	1720	1708	1665	1787	1586	1606	1659	1710	1639	1727	1714	1595	1696	1800	1337	1259	1319	1341	1507	1491	1315	1613	1263	1389	1598	1639	1733	1496	1592	1689	1933	1093	376	1274	180	388	277	1028	489									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2754	12	4	8	6	2	8	5	8	6	6	20	247	11	6	10	10	8	39	21	56	5	5	99	16	15	39	21	7	121	2	95	4	3	14	10	12	15	13	250	50	311	21	30	4	7	7	113	300	18	27	7	2	3	5	17	20	8	6	26	9	14	5	3	0	2	2	13	3	4	3	5	11	11	11	7	8	4	4	1	0	14	268	37	35	20	1	38									
6	Число погашенных избирательных бюллетеней	57047	646	219	455	1133	899	1284	786	861	1046	776	771	1376	531	489	567	563	617	645	555	662	517	621	573	544	735	617	649	461	454	469	592	895	689	1403	515	1543	531	1293	880	747	728	605	424	610	1264	490	534	497	662	665	528	611	411	639	524	570	503	517	510	596	640	595	760	691	779	557	580	456	331	784	632	1200	791	850	710	746	554	857	716	157	10	608	43	0	9	621	873									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2754	12	4	8	6	2	8	5	8	6	6	20	247	11	6	10	10	8	39	21	56	5	5	99	16	15	39	21	7	121	2	95	4	3	14	10	12	15	13	250	50	311	21	30	4	7	7	113	300	18	27	7	2	3	5	17	20	8	6	26	9	14	5	3	0	2	2	13	3	4	3	5	11	11	11	7	8	4	4	1	0	14	268	37	35	20	1	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	108926	292	1377	587	961	899	608	1159	1131	848	1168	709	477	958	955	1523	1727	1275	1366	1453	1582	1223	1824	1678	1640	1250	1494	1630	1332	575	727	1413	701	408	783	1175	845	1504	994	1270	1403	1261	1574	1296	1186	679	1403	1203	1203	1720	1708	1665	1787	1586	1606	1659	1688	1639	1727	1714	1595	1696	1800	1337	1259	1319	1341	1507	1491	1315	1613	1263	1389	1587	1639	1733	1496	1592	1689	1933	1093	376	1274	179	388	277	1028	489									
9	Число недействительных избирательных бюллетеней	721	2	12	30	15	35	28	0	3	12	3	31	38	0	0	0	0	14	0	30	3	18	0	16	0	28	0	0	0	7	0	17	0	8	7	0	35	13	28	0	0	2	0	0	27	0	6	0	0	5	0	0	0	12	0	42	2	0	0	9	2	0	0	0	0	7	1	0	0	14	0	5	0	37	0	0	0	23	26	11	2	0	0	9	9	13	20	4									
10	Число действительных избирательных бюллетеней	110959	302	1369	565	952	866	588	1164	1136	842	1171	698	686	969	961	1533	1737	1269	1405	1444	1635	1210	1829	1761	1656	1237	1533	1651	1339	689	729	1491	705	403	790	1185	822	1506	979	1520	1453	1570	1595	1326	1163	686	1404	1316	1503	1733	1735	1672	1789	1577	1611	1634	1706	1647	1733	1731	1602	1710	1805	1340	1259	1314	1342	1520	1494	1305	1616	1263	1400	1561	1650	1740	1504	1573	1667	1923	1091	390	1542	207	414	284	1009	523									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3085	15	25	20	45	35	35	30	30	40	45	25	30	30	35	45	55	25	35	25	45	30	30	35	35	40	50	60	35	35	30	30	30	20	45	30	55	35	45	45	50	45	50	26	30	40	40	30	40	45	30	33	50	25	40	40	40	45	35	48	50	50	40	25	35	40	30	40	30	30	35	30	35	40	60	50	40	45	41	50	30	7	25	0	0	0	30	30									
