Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																		
																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №174	УИК №175					
1	"Число избирателей, внесенных в списки"	155831	2261	2222	2418	1933	2028	2429	1078	2266	2860	2393	2923	2371	2027	2042	1313	1883	2022	2969	2307	2030	1418	1166	2935	1044	1059	2563	367	671	622	2223	2717	2605	2609	2487	1938	2798	1051	2443	2536	2909	2471	2475	2542	1933	1754	2410	2347	2205	2714	2789	2263	2442	2586	2136	1163	1906	1664	1954	1804	2826	2894	2006	2678	2416	2460	2222	2860	2893	1823	1717	1133	228	87	175	97	55	74	101	109	159	279	529	466	627	687	223	235	96	160	14	8					
2	"Число бюллетеней, полученных участковыми комиссиями"	150957	2160	2065	2420	1890	1970	2380	1020	2130	2755	2360	2760	2160	1870	1920	1280	1845	1840	2890	2250	1980	1280	1120	2340	960	1030	2470	330	650	600	2200	2670	2600	2570	2455	1930	2770	1040	2420	2510	2890	2450	2450	2500	1900	1720	2380	2300	2175	2640	2740	2210	2380	2560	2110	1120	1750	1620	1920	1770	2800	2700	1970	2630	2385	2445	1990	2840	2870	1800	1700	1090	230	100	200	140	60	100	135	150	160	255	520	440	590	500	210	200	100	150	14	8					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	176	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	73163	1043	1079	848	918	1016	1174	419	1130	1302	1233	1410	1173	811	806	479	742	890	1256	971	812	422	483	1693	554	399	1075	180	285	263	1042	1320	1360	1170	1223	927	1354	384	1155	1200	1187	1269	1233	1360	988	837	1189	965	915	1205	1325	1174	1205	1114	982	457	1067	849	942	861	1368	1543	1020	1211	1225	928	1049	1345	1285	731	692	481	207	69	175	97	51	74	101	87	140	241	416	244	300	393	154	177	74	138	14	8					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1613	6	5	235	40	25	26	27	21	6	22	32	61	26	53	9	23	20	13	13	12	6	9	11	6	4	14	3	2	0	5	23	13	13	14	13	22	0	17	19	29	16	10	15	3	19	35	29	21	11	13	18	18	12	29	5	29	12	15	8	9	127	33	40	13	15	31	11	20	11	17	39	0	0	0	0	0	0	0	0	0	0	28	0	0	3	0	0	0	0	0	0					
6	Число погашенных бюллетеней	76005	1111	981	1337	932	929	1180	574	979	1387	1105	1318	926	1033	1061	792	1080	930	1621	1266	1156	852	628	636	400	627	1381	147	363	337	1153	1327	1227	1387	1218	990	1394	656	1248	1291	1674	1165	1207	1125	909	864	1156	1306	1239	1424	1402	1018	1157	1434	1099	658	654	759	963	901	1423	924	917	1379	1147	1492	910	1484	1565	1058	991	570	23	31	25	43	9	26	34	63	20	14	76	196	290	104	56	23	26	12	0	0					
7	Число бюллетеней в переносных ящиках для голосования	1789	6	5	235	40	25	26	27	21	66	22	32	61	26	53	9	23	20	13	13	12	6	9	11	6	4	14	3	2	0	5	23	13	13	14	13	22	0	17	19	29	16	10	15	3	19	35	29	21	11	13	18	18	12	29	5	29	12	15	8	9	233	33	40	13	25	31	11	20	11	17	39	0	0	0	0	0	0	0	0	0	0	28	0	0	3	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	73090	1043	1075	848	918	1016	1174	419	1130	1301	1231	1408	1173	811	804	478	740	890	1256	970	812	422	482	1681	554	399	1076	180	285	263	1042	1314	1360	1168	1223	927	1352	384	1155	1200	1184	1266	1229	1360	988	837	1188	965	914	1205	1325	1173	1204	1111	979	457	1067	848	942	860	1366	1543	1020	1207	1225	928	1046	1344	1284	731	691	481	207	69	175	97	51	74	101	87	140	241	416	243	300	393	153	177	74	138	14	8					
9	Число недействительных бюллетеней	673	19	9	19	14	9	4	2	5	5	6	16	19	13	2	2	8	5	11	5	4	2	0	14	5	4	19	1	6	1	3	19	14	11	16	2	15	6	11	13	14	12	7	7	7	3	11	13	8	30	15	4	22	15	5	9	9	8	4	5	5	14	8	4	12	8	6	10	4	7	6	5	0	0	1	1	1	0	4	0	12	4	3	3	1	2	0	1	2	2	0	0					
10	Число действительных бюллетеней	74206	1030	1071	1064	944	1032	1196	444	1146	1362	1247	1424	1215	824	855	485	755	905	1258	978	820	426	491	1678	555	399	1071	182	281	262	1044	1318	1359	1170	1221	938	1359	378	1161	1206	1199	1270	1232	1368	984	853	1212	981	927	1186	1323	1187	1200	1108	1003	453	1087	852	953	863	1370	1762	1045	1243	1226	945	1071	1345	1300	735	702	515	207	69	174	96	50	74	97	87	128	237	441	240	299	394	153	176	72	136	14	8					
