Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Урупская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в список избирателей"	13947	813	1866	1630	1272	1770	415	1411	652	160	390	452	1379	825	450	462					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14000	824	1865	1635	1283	1801	417	1405	652	160	389	446	1388	822	452	461					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12748	754	1733	1376	1219	1680	393	1289	639	125	367	405	1213	778	337	440					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	192	5	11	39	21	3	6	16	10	7	8	15	19	14	18	0					
6	Число погашенных избирательных бюллетеней	1060	65	121	220	43	118	18	100	3	28	14	26	156	30	97	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	192	5	11	39	21	3	6	16	10	7	8	15	19	14	18	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12748	754	1733	1376	1219	1680	393	1289	639	125	367	405	1213	778	337	440					
9	Число недействительных избирательных бюллетеней	15	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	12925	759	1744	1415	1240	1668	399	1305	649	132	375	420	1232	792	355	440					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	45	2	7	6	4	5	1	5	2	1	1	2	4	2	2	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	28	0	7	6	4	1	1	0	0	0	1	1	3	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	9	1	1	1	0	1	0	3	0	0	0	0	1	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	17	2	0	0	0	4	0	5	2	1	0	1	1	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	86	1	5	1	0	58	1	1	2	1	1	4	5	2	1	3					
		0.66%	0.13%	0.29%	0.07%	0.00%	3.45%	0.25%	0.08%	0.31%	0.76%	0.27%	0.95%	0.41%	0.25%	0.28%	0.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	73	0	1	1	1	68	1	0	0	0	0	0	1	0	0	0					
		0.56%	0.00%	0.06%	0.07%	0.08%	4.04%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	1	2	1	0	4	2	0	1	0	1	0	1	1	0	0					
		0.11%	0.13%	0.11%	0.07%	0.00%	0.24%	0.50%	0.00%	0.15%	0.00%	0.27%	0.00%	0.08%	0.13%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	969	6	156	107	101	165	31	98	25	5	28	31	94	57	33	32					
		7.49%	0.79%	8.94%	7.56%	8.15%	9.80%	7.77%	7.51%	3.85%	3.79%	7.47%	7.38%	7.63%	7.20%	9.30%	7.27%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	27	1	2	4	0	14	0	1	0	0	0	0	3	1	1	0					
		0.21%	0.13%	0.11%	0.28%	0.00%	0.83%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.24%	0.13%	0.28%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11743	750	1576	1298	1138	1354	364	1204	621	126	345	385	1127	730	320	405					
		90.75%	98.81%	90.37%	91.73%	91.77%	80.45%	91.23%	92.26%	95.69%	95.45%	92.00%	91.67%	91.48%	92.17%	90.14%	92.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	0	2	3	0	5	0	1	0	0	0	0	1	1	0	0					
		0.10%	0.00%	0.11%	0.21%	0.00%	0.30%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.08%	0.13%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
