Выборы Президента Российской Федерации																																						
Дата голосования: 02.03.2008																																						
																																						
"Наименование Избирательной комиссии:    Хабаровск, Центральная"																																						
																																						
Сводная таблица результатов выборов																																						
																																						
	Число участковых избирательных комиссий	31																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	31																																				
																																						
		Сумма	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №682					
1	"Число избирателей, включенных в списки избирателей"	64396	2194	2075	2033	1731	2144	2461	2465	2261	2322	2413	2150	2191	1708	1119	2011	2459	2733	147	2040	2218	2362	2073	2518	2431	2601	2284	2073	1716	1798	2298	1367					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	59500	2300	2100	2000	1600	1800	2400	2200	2200	2200	2000	2000	2000	1500	1000	1700	2000	2600	300	1800	2000	2000	1800	2000	2000	2400	2000	1700	1800	1700	2000	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	48772	1734	1548	1507	1348	1537	1976	1957	1609	2029	1774	1747	1684	1022	830	1407	1685	2168	147	1580	1672	1702	1429	1814	1890	2005	1705	1466	1407	1221	1805	1367					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2066	41	97	115	53	56	84	51	122	66	55	76	80	98	28	76	39	81	0	86	68	76	88	70	41	13	58	72	29	207	40	0					
6	Число погашенных избирательных бюллетеней	8662	525	455	378	199	207	340	192	469	105	171	177	236	380	142	217	276	351	153	134	260	222	283	116	69	382	237	162	364	272	155	1033					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2066	41	97	115	53	56	84	51	122	66	55	76	80	98	28	76	39	81	0	86	68	76	88	70	41	13	58	72	29	207	40	0					
8	Число бюллетеней в стационарных ящиках для голосования	48739	1734	1548	1507	1348	1537	1974	1956	1604	2029	1773	1746	1684	1021	830	1407	1685	2165	147	1580	1671	1702	1428	1814	1890	2002	1702	1463	1407	1221	1802	1362					
9	Число недействительных избирательных бюллетеней	1012	45	31	32	21	29	40	34	33	37	44	39	32	11	23	24	32	27	0	33	28	48	30	45	70	37	50	27	25	28	36	21					
10	Число действительных избирательных бюллетеней	49793	1730	1614	1590	1380	1564	2018	1973	1693	2058	1784	1783	1732	1108	835	1459	1692	2219	147	1633	1711	1730	1486	1839	1861	1978	1710	1508	1411	1400	1806	1341					
11	Число полученных открепительных  удостоверений	2304	250	50	70	60	60	154	100	40	50	180	70	40	60	30	55	70	150	0	80	100	40	55	50	70	80	60	40	120	60	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1644	63	44	43	44	41	138	69	36	41	154	50	31	28	25	38	52	139	0	62	92	39	37	45	58	72	42	25	39	53	44	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1531	81	35	31	50	37	51	61	31	27	53	71	36	17	52	31	27	39	6	43	42	53	37	141	120	60	38	18	105	24	49	65					
14	Число неиспользованных открепительных удостоверений	660	187	6	27	16	19	16	31	4	9	26	20	9	32	5	17	18	11	0	18	8	1	18	5	12	8	18	15	81	7	16	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	76	3	4	0	1	1	3	3	2	3	5	0	1	1	0	1	0	7	0	3	3	0	1	2	22	5	1	2	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
