Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
Наименование Избирательной комиссии:    Солнечногорская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877					
1	"Число избирателей, внесенных в список избирателей"	112351	2569	2989	2676	2077	1393	1468	2264	704	2136	2062	1920	1342	2069	1597	1823	1730	2389	2275	2457	2586	2395	2284	2724	2805	2072	2411	1651	2431	1862	2500	2343	802	1181	1510	2291	495	397	2666	1605	1997	2503	2597	1170	1123	1146	899	828	725	883	1336	1649	1095	1176	1085	926	1271	518	1605	1284	717	2089	1633	717	720	363	756	546	450	1593					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85750	2010	2250	2110	1630	890	1080	1790	540	1670	1620	1500	1050	1590	1250	1400	1270	1820	1800	1890	2000	1860	1760	2110	2160	1810	1880	1040	1760	1460	1950	1780	600	900	1150	1780	380	290	2300	1180	1390	1860	2020	790	880	870	620	590	530	540	980	1270	720	940	730	740	960	410	1280	980	520	1640	1210	480	620	280	590	400	300	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	54922	1171	1312	1214	905	338	827	1154	395	1105	1029	730	675	892	819	923	838	1135	1109	1142	1346	1233	1221	1461	1536	977	1220	850	1114	969	1246	1184	304	593	644	1233	218	122	1572	868	875	1712	1291	724	598	553	384	397	277	436	646	739	367	687	496	468	513	285	782	471	258	889	784	275	400	187	401	274	178	951					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2541	43	24	13	23	283	13	26	4	17	24	70	22	26	20	21	23	24	14	27	20	23	31	42	26	12	27	36	174	20	39	34	26	20	23	28	84	13	27	31	188	9	20	6	31	47	45	21	18	34	8	8	120	16	96	8	51	5	20	62	26	25	62	60	13	22	26	8	32	1					
6	Число погашенных избирательных бюллетеней	28276	796	914	883	702	269	240	610	141	548	567	700	353	672	411	456	408	661	677	721	634	604	508	607	598	821	633	154	472	471	665	562	270	287	483	519	78	155	701	278	320	139	709	60	251	270	191	172	235	70	326	523	233	237	138	264	396	120	478	447	236	726	364	145	207	71	163	118	90	348					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2541	43	24	13	23	283	13	26	4	17	24	70	22	26	20	21	23	24	14	27	20	23	31	42	26	12	27	36	174	20	39	34	26	20	23	28	84	13	27	31	188	9	20	6	31	47	45	21	18	34	8	8	120	16	96	8	51	5	20	62	26	25	62	60	13	22	26	8	32	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54884	1171	1312	1213	905	338	827	1148	395	1105	1022	730	675	892	817	923	838	1135	1109	1142	1346	1227	1219	1461	1536	977	1220	850	1114	968	1246	1184	304	593	644	1233	218	122	1572	868	875	1707	1291	724	598	553	384	397	276	436	646	739	363	684	496	468	513	285	782	471	258	889	784	275	400	187	401	274	178	951					
9	Число недействительных избирательных бюллетеней	1843	27	26	35	18	12	22	38	8	35	38	14	20	28	25	10	14	38	60	29	46	37	39	53	38	20	41	20	52	33	36	48	19	20	8	29	18	6	59	21	80	108	31	20	24	25	28	16	5	13	28	27	15	23	25	19	11	6	21	15	11	34	35	11	16	2	15	11	3	25					
10	Число действительных избирательных бюллетеней	55582	1187	1310	1191	910	609	818	1136	391	1087	1008	786	677	890	812	934	847	1121	1063	1140	1320	1213	1211	1450	1524	969	1206	866	1236	955	1249	1170	311	593	659	1232	284	129	1540	878	983	1608	1280	710	605	575	401	402	289	457	626	720	468	677	567	457	553	284	781	518	273	880	811	324	397	207	412	271	207	927					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2226	50	50	50	40	40	30	40	10	40	30	30	30	40	30	30	30	40	40	40	50	40	40	50	65	50	50	30	50	40	50	50	10	30	30	40	10	10	70	40	40	55	50	40	20	20	15	10	10	10	30	40	40	10	14	22	30	15	30	30	10	40	40	10	30	10	10	10	10	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1688	42	43	29	19	20	14	29	9	31	21	14	17	32	30	26	20	31	31	24	40	37	30	39	65	42	24	23	42	25	45	30	7	10	18	30	4	2	69	29	40	55	50	23	19	19	15	10	8	10	17	27	27	10	14	22	21	12	20	21	4	38	40	3	14	3	8	10	5	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1851	57	25	25	77	37	42	26	10	30	19	14	26	35	19	14	20	33	17	25	37	22	50	38	28	24	29	40	30	25	36	50	13	20	21	32	36	7	45	90	26	10	14	11	11	30	3	46	22	49	52	33	27	17	29	10	14	18	24	10	25	22	27	23	10	10	21	5	17	11					
14	Число погашенных неиспользованных открепительных удостоверений	538	8	7	21	21	20	16	11	1	9	9	16	13	8	0	4	10	9	9	16	10	3	10	11	0	8	26	7	8	15	5	20	3	20	12	10	6	8	1	11	0	0	0	17	1	1	0	0	2	0	13	13	13	0	0	0	9	3	10	9	6	2	0	7	16	7	2	0	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	4	2	0	0	1	2	1	0	1	1	0	3	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	2	1	0	0	0	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10056	219	261	211	178	99	117	208	58	210	197	153	134	148	141	172	170	239	233	251	272	233	253	299	268	211	247	152	244	268	231	256	64	124	102	270	54	21	143	161	129	213	252	72	153	139	53	69	43	83	100	102	70	38	84	75	94	35	138	99	50	150	143	61	47	27	49	38	36	142					
