Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    Солнечногорская																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833					
1	"Число избирателей, внесенных в списки избирателей"	111447	2537	2665	2726	2321	1245	1254	2334	722	2219	2143	1936	1404	2086	1636	1648	1637	2507	2020	1857	2234	2044	2010	1506	2226	2466	2591	2100	1405	2303	2155	829	1252	1640	2349	471	384	777	1959	1699	3096	3119	2345	1946	2195	1200	1110	1188	763	763	683	728	1310	1425	926	1149	1018	922	1217	1373	591	1633	827	2188	1484	588	776	357	779	536	398	1517					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	92450	2000	2100	2200	1900	1150	950	1900	600	1800	1800	1600	1200	1700	1300	1400	1300	1900	1700	1700	2000	1700	1600	1200	1800	2300	2150	1900	1200	2100	1800	700	1000	1200	1900	400	300	600	1600	1300	2400	2500	2200	1700	2000	1000	1000	900	600	600	600	600	1100	1200	700	1000	800	800	1000	1000	500	1300	700	1800	1300	500	700	300	700	400	300	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70972	1694	1310	1747	1488	585	847	1277	470	1263	1172	931	837	1036	956	1002	997	1672	1242	1342	1649	1493	1462	1161	1322	2122	1611	1629	1081	1812	1542	481	881	1072	1831	334	180	544	1160	1247	2188	2317	1687	1446	1552	839	695	649	385	446	322	292	758	813	369	716	560	526	563	821	432	878	334	1118	866	269	431	231	531	336	166	954					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3899	69	21	22	57	414	15	32	9	38	24	123	30	58	24	52	62	27	25	25	7	29	16	34	34	53	265	21	38	38	48	23	36	53	31	60	23	24	17	44	39	83	117	17	10	3	40	82	52	25	99	88	20	24	232	119	36	20	93	18	8	81	52	40	127	112	45	35	66	6	83	6					
6	Число погашенных избирательных бюллетеней	17579	237	769	431	355	151	88	591	121	499	604	546	333	606	320	346	241	201	433	333	344	178	122	5	444	125	274	250	81	250	210	196	83	75	38	6	97	32	423	9	173	100	396	237	438	158	265	169	163	129	179	220	322	363	99	165	204	254	344	161	60	341	314	642	307	119	224	34	103	58	51	340					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3899	69	21	22	57	414	15	32	9	38	24	123	30	58	24	52	62	27	25	25	7	29	16	34	34	53	265	21	38	38	48	23	36	53	31	60	23	24	17	44	39	83	117	17	10	3	40	82	52	25	99	88	20	24	232	119	36	20	93	18	8	81	52	40	127	112	45	35	66	6	83	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70626	1694	1309	1747	1461	582	847	1272	470	1263	1165	931	837	1036	955	1002	997	1672	1242	1342	1629	1466	1449	1161	1322	2122	1609	1578	1080	1776	1542	481	857	1072	1805	334	180	544	1160	1247	2188	2270	1687	1444	1552	839	695	649	385	446	322	292	757	811	368	716	560	526	557	819	432	877	334	1078	866	269	431	231	531	336	166	954					
9	Число недействительных избирательных бюллетеней	1240	12	5	28	15	12	14	22	7	27	27	15	19	16	19	18	9	27	30	21	38	15	116	14	20	46	28	15	12	25	19	6	10	14	29	4	0	4	13	12	30	38	115	18	20	8	9	16	8	2	2	6	20	26	7	6	11	6	10	8	4	12	5	18	9	2	8	3	11	4	1	14					
10	Число действительных избирательных бюллетеней	73285	1751	1325	1741	1503	984	848	1282	472	1274	1162	1039	848	1078	960	1036	1050	1672	1237	1346	1598	1480	1349	1181	1336	2129	1846	1584	1106	1789	1571	498	883	1111	1807	390	203	564	1164	1279	2197	2315	1689	1443	1542	834	726	715	429	469	419	374	757	809	593	829	585	540	640	829	436	946	381	1100	984	379	468	263	586	338	248	946					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2823	50	40	50	30	10	10	25	10	50	35	40	26	40	30	52	40	45	61	40	60	30	43	48	47	55	45	50	33	50	40	20	20	23	40	10	10	20	85	45	130	100	50	77	60	75	45	70	20	20	30	16	44	46	65	50	20	20	50	20	62	25	10	30	60	20	20	25	35	20	10	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2646	50	40	41	28	10	10	24	10	43	29	38	25	34	25	46	36	45	55	38	57	30	40	47	44	53	45	44	30	49	40	12	18	21	40	8	5	18	81	43	125	98	50	77	59	75	44	70	19	18	30	14	44	46	65	29	19	20	39	20	59	24	9	30	60	16	20	21	32	12	10	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2413	82	28	33	28	42	32	24	34	14	10	21	28	19	26	11	35	31	27	22	46	44	83	23	46	48	71	41	14	93	32	31	20	34	29	35	10	12	9	118	21	27	40	16	43	10	18	43	9	57	52	21	25	18	57	22	54	0	17	219	19	39	22	11	30	27	12	29	20	22	19	8					
14	Число погашенных неиспользованных открепительных удостоверений	177	0	0	9	2	0	0	1	0	7	6	2	1	6	5	6	4	0	6	2	3	0	3	1	3	2	0	6	3	1	0	8	2	2	0	2	5	2	4	2	5	2	0	0	1	0	1	0	1	2	0	2	0	0	0	21	1	0	11	0	3	1	1	0	0	4	0	4	3	8	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	0	0	0	0	0	1	1	0	1	0	2	1	0	1	0	1	0	5	3	1	0	3	3	1	1	1	1	2	2	0	0	0	3	0	0	0	0	1	0	4	1	2	0	1	0	1	2	2	0	0	0	0	1	1	0	0	0	0	1	0	1	1	2	2	0	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
