Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Фрязинская городская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951					
1	"Число избирателей, внесенных в списки избирателей"	44979	2800	2394	2550	2418	2825	2866	2555	2151	2294	2437	2539	2786	2754	2715	2816	2704	2802	573					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	43200	2650	2300	2500	2350	2700	2700	2500	2100	2200	2400	2500	2650	2650	2650	2700	2500	2650	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27452	1620	1312	1636	1452	1724	1793	1582	1256	1387	1468	1617	1709	1708	1744	1770	1689	1628	357					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	631	29	49	42	37	35	32	45	22	62	51	48	32	27	41	15	25	37	2					
6	Число погашенных избирательных бюллетеней	15117	1001	939	822	861	941	875	873	822	751	881	835	909	915	865	915	786	985	141					
7	Число избирательных бюллетеней в переносных ящиках для голосования	630	29	49	42	37	34	32	45	22	62	51	48	32	27	41	15	25	37	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27366	1620	1311	1625	1447	1708	1786	1578	1252	1381	1465	1615	1706	1701	1741	1758	1689	1626	357					
9	Число недействительных избирательных бюллетеней	393	23	17	15	21	39	20	20	14	40	24	25	27	18	15	31	17	21	6					
10	Число действительных избирательных бюллетеней	27603	1626	1343	1652	1463	1703	1798	1603	1260	1403	1492	1638	1711	1710	1767	1742	1697	1642	353					
