Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Чебоксары, Калининская"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831					
1	"Число избирателей, внесенных в список"	110370	2206	1614	1796	1770	1037	1566	1588	1515	2020	1991	1874	1794	1669	821	2199	2651	1521	1845	1588	2139	2723	2128	1614	2560	2593	2701	2661	2261	2050	2663	2847	2624	2661	2535	2479	2466	2608	1412	2347	2750	2509	2630	2669	167	526	2308	2364	2423	1449	2246	2410	1803	702	2277					
2	Число полученных избирательных бюллетеней	101000	2000	1500	1600	1600	800	1400	1400	1400	1900	1900	1700	1700	1500	700	2000	2400	1400	1600	1400	2000	2500	1900	1500	2200	2400	2500	2500	2000	1900	2500	2500	2500	2500	2300	2300	2200	2500	1300	2100	2500	2200	2500	2500	200	900	2100	2100	2200	1300	2000	2200	1600	600	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64985	1285	980	1138	832	584	835	815	939	1224	1141	1154	1185	1023	510	1289	1587	908	1144	704	955	1679	1285	1012	1488	1439	1684	1645	1374	1243	1680	1736	1594	1672	1562	1510	1464	1600	896	1462	1675	1577	1551	1687	163	409	1407	1439	1129	744	1119	1393	842	449	1144					
5	"Число избирательных бюллетеней, выданных вне помещения"	1343	35	28	50	16	11	24	35	21	33	27	16	12	23	8	27	57	26	23	21	27	34	19	11	18	18	13	22	38	37	27	24	26	21	30	22	14	5	2	12	20	19	11	14	3	59	20	24	26	86	53	30	22	12	31					
6	Число погашенных избирательных бюллетеней	34672	680	492	412	752	205	541	550	440	643	732	530	503	454	182	684	756	466	433	675	1018	787	596	477	694	943	803	833	588	620	793	740	880	807	708	768	722	895	402	626	805	604	938	799	34	432	673	637	1045	470	828	777	736	139	925					
7	Число избирательных бюллетеней в переносных ящиках	1343	35	28	50	16	11	24	35	21	33	27	16	12	23	8	27	57	26	23	21	27	34	19	11	18	18	13	22	38	37	27	24	26	21	30	22	14	5	2	12	20	19	11	14	3	59	20	24	26	86	53	30	22	12	31					
8	Число бюллетеней в стационарных ящиках для голосования	64971	1285	980	1138	832	584	834	815	939	1224	1141	1154	1185	1022	510	1289	1587	908	1144	704	955	1679	1285	1012	1488	1439	1684	1644	1374	1242	1680	1734	1594	1672	1561	1510	1464	1596	896	1462	1675	1576	1551	1687	163	409	1406	1439	1129	744	1118	1393	842	449	1144					
9	Число недействительных избирательных бюллетеней	800	4	12	10	13	13	14	5	11	14	18	25	16	14	8	11	9	12	12	11	14	19	17	12	32	25	21	22	14	15	19	18	13	25	15	12	21	20	7	13	33	12	4	14	4	6	19	24	18	7	14	22	15	6	16					
10	Число действительных избирательных бюллетеней	65514	1316	996	1178	835	582	844	845	949	1243	1150	1145	1181	1031	510	1305	1635	922	1155	714	968	1694	1287	1011	1474	1432	1676	1644	1398	1264	1688	1740	1607	1668	1576	1520	1457	1581	891	1461	1662	1583	1558	1687	162	462	1407	1439	1137	823	1157	1401	849	455	1159					
11	Число полученных открепительных  удостоверений	3880	70	50	50	50	50	50	100	50	100	100	50	50	50	50	70	100	80	50	50	70	100	70	50	70	100	100	100	70	70	100	100	100	100	100	100	100	100	50	70	100	70	100	100	0	0	70	70	70	50	70	70	50	50	70					
