Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Высокогорская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318	УИК  1319	УИК  1320	УИК  1321	УИК  1322	УИК  1323	УИК  1324	УИК  1325	УИК  1326	УИК  1327	УИК  1328	УИК  1329	УИК  1330	УИК  1331	УИК  1332	УИК  1333	УИК  1334	УИК  1335	УИК  1336	УИК  1337	УИК  1338	УИК  1339	УИК  1340	УИК  1341	УИК  1342	УИК  1343	УИК  1344	УИК  1345					
1	"Число избирателей, внесенных в списки"	32908	309	147	147	482	275	324	131	295	424	247	398	133	645	260	2099	1525	1374	1567	1461	445	1140	180	342	181	2268	921	524	185	584	1444	447	231	343	289	829	561	224	327	460	301	193	198	270	116	1404	687	1256	614	203	1380	364	961	793					
2	"Число бюллетеней, полученных участковыми комиссиями"	33216	331	153	149	489	277	331	132	299	431	250	398	133	641	260	2087	1549	1372	1596	1481	428	1282	181	344	178	2244	850	525	212	548	1401	437	251	343	289	843	533	223	323	469	303	216	200	274	118	1391	697	1263	617	203	1443	408	1001	819					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26018	277	130	127	438	250	302	114	258	394	229	340	133	609	225	1428	997	876	1020	973	301	1033	147	259	131	1537	682	505	185	467	1007	418	198	318	269	727	484	187	267	382	208	170	187	217	84	1174	668	1196	555	190	1019	245	772	709					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2346	32	17	20	44	25	22	14	37	30	18	58	0	31	34	208	89	24	44	39	39	89	24	83	43	114	14	0	0	26	37	10	33	25	20	66	39	9	26	67	81	23	11	53	32	131	0	50	55	11	42	119	105	83					
6	Число погашенных бюллетеней	4852	22	6	2	7	2	7	4	4	7	3	0	0	1	1	451	463	472	532	469	88	160	10	2	4	593	154	20	27	55	357	9	20	0	0	50	10	27	30	20	14	23	2	4	2	86	29	17	7	2	382	44	124	27					
7	Число бюллетеней в переносных ящиках для голосования	2346	32	17	20	44	25	22	14	37	30	18	58	0	31	34	208	89	24	44	39	39	89	24	83	43	114	14	0	0	26	37	10	33	25	20	66	39	9	26	67	81	23	11	53	32	131	0	50	55	11	42	119	105	83					
8	Число бюллетеней в стационарных ящиках для голосования	26017	277	130	127	438	250	302	114	258	394	229	340	133	609	225	1428	997	876	1020	973	301	1033	147	259	131	1536	682	505	185	467	1007	418	198	318	269	727	484	187	267	382	208	170	187	217	84	1174	668	1196	555	190	1019	245	772	709					
9	Число недействительных бюллетеней	226	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	14	11	7	2	7	4	2	0	39	6	2	0	19	16	0	0	0	1	0	13	0	9	10	0	0	6	0	0	0	0	0	8	2	0	1	30	0					
10	Число действительных бюллетеней	28137	307	147	140	482	275	324	128	295	424	247	398	133	640	259	1636	1078	886	1053	1005	338	1115	167	340	174	1611	690	503	185	474	1028	428	231	343	288	793	510	196	284	439	289	193	192	270	116	1305	668	1246	602	199	1061	363	847	792					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	648	4	2	2	6	5	4	2	4	5	3	10	2	8	3	26	26	26	38	36	10	26	2	5	3	62	10	11	0	16	28	5	13	4	3	16	13	3	18	10	3	15	2	8	2	17	8	20	13	5	36	6	17	26					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	477	2	1	0	5	0	3	2	1	3	1	5	0	3	1	26	25	16	20	19	10	22	0	2	1	48	6	4	0	11	17	1	13	4	3	14	10	1	15	10	3	11	0	8	2	12	5	20	10	5	35	6	12	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	266	3	0	1	4	0	7	2	2	3	3	6	1	7	2	11	16	7	4	1	5	5	1	2	1	46	5	2	7	9	9	3	6	2	3	6	9	4	3	1	4	0	2	1	1	13	3	6	5	4	4	4	5	5					
14	Число погашенных открепительных удостоверений	171	2	1	2	1	5	1	0	3	2	2	5	2	5	2	0	1	10	18	17	0	4	2	3	2	14	4	7	0	5	11	4	0	0	0	2	3	2	3	0	0	4	2	0	0	5	3	0	3	0	1	0	5	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	"1. ""ЕДИНЕНИЕ"""	218	2	0	0	0	0	2	0	0	0	0	0	0	5	0	18	31	17	23	12	2	0	0	6	1	23	16	0	2	1	1	2	5	0	0	0	4	2	9	3	0	0	0	0	0	0	0	2	2	0	7	0	20	0					
