Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Гурьевская городская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186					
1	"Число избирателей, внесенных в списки"	28401	1158	748	697	1241	1588	884	2029	1538	1220	824	579	1603	1339	960	1027	501	1126	555	903	402	112	652	914	1053	1057	1168	1201	227	367	728					
2	"Число бюллетеней, полученных участковыми комиссиями"	29687	1184	752	1393	1260	1656	908	1978	1621	1210	777	583	1593	1333	1038	1082	500	1138	662	904	410	112	735	948	1112	1110	1149	1222	232	356	729					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13876	584	366	636	536	710	433	1035	739	579	383	242	797	656	374	569	229	481	183	461	262	86	210	350	497	604	572	615	113	201	373					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1933	31	66	61	68	89	67	75	77	32	89	35	39	42	91	56	32	91	63	28	14	3	125	125	106	86	104	98	32	52	56					
6	Число погашенных бюллетеней	13877	569	320	696	656	857	408	868	805	599	305	306	757	635	573	457	239	566	416	415	134	23	399	473	509	420	473	509	87	103	300					
7	Число бюллетеней в переносных ящиках для голосования	1932	31	66	61	68	89	67	74	77	32	89	35	39	42	91	56	32	91	63	28	14	3	125	125	106	86	104	98	32	52	56					
8	Число бюллетеней в стационарных ящиках для голосования	13819	584	366	636	536	710	433	1034	739	579	383	242	797	656	374	513	229	481	183	461	262	86	210	350	497	604	572	615	113	201	373					
9	Число недействительных бюллетеней	180	3	8	6	7	9	8	6	9	5	5	22	9	3	8	5	4	3	5	3	2	2	7	5	8	4	7	8	4	5	0					
10	Число действительных бюллетеней	15571	612	424	691	597	790	492	1102	807	606	467	255	827	695	457	564	257	569	241	486	274	87	328	470	595	686	669	705	141	248	429					
