Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Яковлевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45534	2023	2089	2000	1866	1705	1811	1742	1621	1955	1814	1345	1038	649	1484	1286	588	1549	919	232	847	313	1357	746	198	641	1356	860	479	168	506	306	483	213	160	140	248	111	928	1374	380	105	402	285	495	262	629	234	1249	796	1547									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44782	1900	2000	1900	1800	1650	1750	1700	1450	1850	1800	1350	1020	640	1490	1280	590	1500	940	229	850	315	1370	770	200	660	1380	930	470	165	515	300	515	209	160	138	252	109	970	1380	380	105	400	275	480	260	625	230	1280	800	1450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31388	1050	1222	1132	1015	974	1059	1174	813	1162	1071	805	462	362	1003	986	552	1306	636	182	577	276	1188	656	163	588	1212	778	358	148	430	228	420	183	146	110	206	82	829	1233	340	89	347	225	309	204	531	190	1004	360	1012									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2772	30	29	44	63	78	20	9	20	27	66	41	78	24	76	115	21	96	57	24	103	23	102	87	33	52	139	55	112	17	44	55	31	22	9	26	34	13	44	80	29	15	50	45	99	29	90	40	158	197	21									
6	Число погашенных избирательных бюллетеней	10622	820	749	724	722	598	671	517	617	661	663	504	480	254	411	179	17	98	247	23	170	16	80	27	4	20	29	97	0	0	41	17	64	4	5	2	12	14	97	67	11	1	3	5	72	27	4	0	118	243	417									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2772	30	29	44	63	78	20	9	20	27	66	41	78	24	76	115	21	96	57	24	103	23	102	87	33	52	139	55	112	17	44	55	31	22	9	26	34	13	44	80	29	15	50	45	99	29	90	40	158	197	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31359	1050	1222	1132	1015	974	1059	1165	793	1162	1071	805	462	362	1003	986	552	1306	636	182	577	276	1188	656	163	588	1212	778	358	148	430	228	420	183	146	110	206	82	829	1233	340	89	347	225	309	204	531	190	1004	360	1012									
9	Число недействительных избирательных бюллетеней	602	13	26	19	17	28	7	26	13	31	24	29	13	9	38	19	17	40	22	0	8	2	0	8	0	0	7	5	2	5	6	2	4	0	1	0	4	1	74	17	3	0	4	4	10	2	7	2	0	6	27									
10	Число действительных избирательных бюллетеней	33529	1067	1225	1157	1061	1024	1072	1148	800	1158	1113	817	527	377	1041	1082	556	1362	671	206	672	297	1290	735	196	640	1344	828	468	160	468	281	447	205	154	136	236	94	799	1296	366	104	393	266	398	231	614	228	1162	551	1006									
