Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Альметьевская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873					
1	"Число избирателей, внесенных в списки избирателей"	36195	2509	2630	1817	1235	1144	506	254	265	306	684	351	134	261	320	538	719	715	417	1291	523	357	120	628	481	490	982	1469	493	526	756	516	710	705	526	234	930	570	869	1666	1265	137	416	456	121	544	200	649	263	180	892	639	336	450					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34149	2250	2300	1640	1100	1080	490	240	240	306	640	338	130	246	320	500	719	703	405	1242	500	355	120	610	460	455	930	1390	490	520	730	490	710	670	520	230	900	535	845	1580	1200	132	400	466	110	510	190	600	250	170	840	622	310	420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32162	2058	2146	1556	1054	1011	448	229	213	287	602	332	123	230	310	461	671	629	378	1215	462	327	112	590	394	438	901	1230	477	502	730	490	671	607	468	230	885	483	836	1484	1110	132	399	432	85	473	175	568	223	167	815	587	310	416					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1457	81	38	37	44	69	42	11	27	19	38	5	6	16	10	39	48	63	27	27	38	14	8	20	64	17	29	110	10	16	0	0	38	63	45	0	15	52	9	18	17	0	0	24	25	37	15	32	27	3	25	35	0	4					
6	Число погашенных избирательных бюллетеней	530	111	116	47	2	0	0	0	0	0	0	1	1	0	0	0	0	11	0	0	0	14	0	0	2	0	0	50	3	2	0	0	1	0	7	0	0	0	0	78	73	0	1	10	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1457	81	38	37	44	69	42	11	27	19	38	5	6	16	10	39	48	63	27	27	38	14	8	20	64	17	29	110	10	16	0	0	38	63	45	0	15	52	9	18	17	0	0	24	25	37	15	32	27	3	25	35	0	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32160	2058	2146	1556	1054	1011	448	227	213	287	602	332	123	230	310	461	671	629	378	1215	462	327	112	590	394	438	901	1230	477	502	730	490	671	607	468	230	885	483	836	1484	1110	132	399	432	85	473	175	568	223	167	815	587	310	416					
9	Число недействительных избирательных бюллетеней	217	15	13	5	8	15	1	2	0	0	2	0	0	0	1	0	3	0	17	0	0	2	0	0	5	14	0	7	1	4	0	0	2	13	6	0	0	3	3	39	6	0	3	3	0	0	1	0	2	0	1	18	2	0					
10	Число действительных избирательных бюллетеней	33400	2124	2171	1588	1090	1065	489	236	240	306	638	337	129	246	319	500	716	692	388	1242	500	339	120	610	453	441	930	1333	486	514	730	490	707	657	507	230	900	532	842	1463	1121	132	396	453	110	510	189	600	248	170	839	604	308	420					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	397	14	18	8	10	10	8	6	6	7	8	8	5	6	7	7	10	10	6	12	6	5	4	8	8	6	8	12	6	7	7	6	8	6	6	5	7	6	10	12	12	4	5	5	4	8	5	6	4	4	10	10	5	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	259	14	18	8	10	10	8	1	1	0	4	0	0	6	1	7	5	4	3	12	5	1	0	8	8	6	8	6	6	5	2	1	0	6	5	0	3	2	6	7	8	0	4	0	0	8	5	6	1	4	10	6	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	564	16	7	12	9	11	6	7	5	2	19	12	5	14	23	14	9	12	5	2	13	10	18	10	7	12	11	16	4	2	9	10	11	12	10	5	11	34	6	20	8	5	9	10	5	7	5	10	4	5	17	33	11	14					
14	Число погашенных неиспользованных открепительных удостоверений	138	0	0	0	0	0	0	5	5	7	4	8	5	0	6	0	5	6	3	0	1	4	4	0	0	0	0	6	0	2	5	5	8	0	1	5	4	4	4	5	4	4	1	5	4	0	0	0	3	0	0	4	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	1.Политическая партия «Аграрная партия России»	288	16	22	20	0	9	4	0	6	3	10	2	0	3	0	8	10	14	4	5	0	4	0	1	2	2	17	12	1	3	0	1	3	10	9	3	4	4	11	5	11	2	4	6	2	2	0	4	0	3	9	2	5	10					
