Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
"Наименование Избирательной комиссии:    Тверь, Центральная"																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1214	УИК №1215									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42505	2367	2547	2086	907	1207	1287	1358	2130	1247	1901	1978	1557	2001	1456	2106	2078	1778	1950	2567	2159	2382	1823	1549	48	36									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41482	2400	2500	2100	900	1200	1200	1300	2000	1200	1900	1900	1500	1900	1400	2100	2100	1700	1900	2500	2000	2400	1800	1500	48	34									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17032	1005	910	820	340	546	551	543	917	506	809	746	597	724	556	821	784	715	806	1136	950	887	665	672	11	15									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	306	11	12	30	11	9	12	14	11	4	8	7	8	9	12	14	9	11	4	11	7	6	17	16	37	16									
6	Число погашенных избирательных бюллетеней	24144	1384	1578	1250	549	645	637	743	1072	690	1083	1147	895	1167	832	1265	1307	974	1090	1353	1043	1507	1118	812	0	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	306	11	12	30	11	9	12	14	11	4	8	7	8	9	12	14	9	11	4	11	7	6	17	16	37	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16986	1005	908	818	340	546	551	543	906	506	809	745	597	720	555	821	784	713	802	1131	943	885	664	668	11	15									
9	Число недействительных избирательных бюллетеней	388	25	22	18	6	10	20	9	32	10	13	13	16	15	30	14	15	12	13	15	13	26	19	22	0	0									
10	Число действительных избирательных бюллетеней	16904	991	898	830	345	545	543	548	885	500	804	739	589	714	537	821	778	712	793	1127	937	865	662	662	48	31									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1000	55	55	50	15	30	30	35	50	30	50	50	35	50	30	50	50	45	50	55	50	55	45	35	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	458	26	28	27	10	10	12	12	26	14	18	23	10	16	15	27	24	17	30	23	16	33	14	27	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	329	7	12	8	17	20	20	19	26	19	14	16	9	18	20	15	9	8	17	16	9	8	12	4	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	542	29	27	23	5	20	18	23	24	16	32	27	25	34	15	23	26	28	20	32	34	22	31	8	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	4	2	1	1	2	2	3	1	2	3	1	2	2	2	0	5	1	1	2	3	1	3	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	550	27	24	27	10	13	16	17	24	13	27	26	19	29	13	26	21	27	19	52	33	34	24	27	1	1									
		3.18%	2.66%	2.61%	3.18%	2.85%	2.34%	2.84%	3.05%	2.62%	2.55%	3.30%	3.46%	3.14%	3.98%	2.29%	3.11%	2.65%	3.73%	2.36%	4.55%	3.47%	3.82%	3.52%	3.95%	2.08%	3.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	339	23	16	30	10	12	13	8	21	5	19	11	12	12	14	18	13	18	10	15	15	11	16	17	0	0									
		1.96%	2.26%	1.74%	3.54%	2.85%	2.16%	2.31%	1.44%	2.29%	0.98%	2.33%	1.46%	1.98%	1.65%	2.47%	2.16%	1.64%	2.49%	1.24%	1.31%	1.58%	1.23%	2.35%	2.49%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	468	37	25	14	12	17	12	17	18	19	22	15	20	17	18	24	30	17	25	29	19	23	16	21	0	1									
		2.71%	3.64%	2.72%	1.65%	3.42%	3.06%	2.13%	3.05%	1.96%	3.73%	2.69%	1.99%	3.31%	2.33%	3.17%	2.87%	3.78%	2.35%	3.10%	2.54%	2.00%	2.58%	2.35%	3.07%	0.00%	3.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6367	365	318	311	123	185	208	204	363	177	308	285	218	265	205	307	308	298	287	409	341	355	279	212	24	12									
