Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Коркинская городская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986					
1	"Число избирателей, внесенных в списки избирателей"	49115	2003	1292	713	2033	1436	588	927	283	813	1608	1875	1554	1567	1945	2068	1722	1631	1491	1518	1699	1463	1758	862	839	767	1754	1317	508	861	1147	706	394	1301	1639	1633	1721	1679					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50900	2140	1300	720	2100	1500	620	980	300	900	1670	1900	1530	1650	2200	2100	1750	1540	1500	1590	1800	1550	1750	920	830	950	1800	1400	500	910	1200	700	350	1300	1600	1660	1850	1840					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28177	1077	639	418	1011	778	267	449	144	441	897	1069	880	922	1174	1006	1083	1076	1006	957	996	968	1089	523	367	482	812	727	293	449	638	335	203	855	1003	940	1137	1066					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2589	129	54	46	139	108	57	81	30	64	60	105	56	51	73	69	43	139	74	97	76	76	55	42	38	65	67	100	36	50	92	35	42	49	74	94	49	74					
6	Число погашенных избирательных бюллетеней	20134	934	607	256	950	614	296	450	126	395	713	726	594	677	953	1025	624	325	420	536	728	506	606	355	425	403	921	573	171	411	470	330	105	396	523	626	664	700					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2589	129	54	46	139	108	57	81	30	64	60	105	56	51	73	69	43	139	74	97	76	76	55	42	38	65	67	100	36	50	92	35	42	49	74	94	49	74					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28171	1077	639	418	1011	778	267	449	144	441	897	1068	880	922	1174	1003	1082	1076	1006	957	996	968	1089	522	367	482	812	727	293	449	638	335	203	855	1003	940	1137	1066					
9	Число недействительных избирательных бюллетеней	305	3	10	2	13	4	1	5	3	2	9	10	14	6	12	19	10	11	8	11	8	16	10	4	2	4	10	12	5	7	6	2	1	13	16	13	18	5					
10	Число действительных избирательных бюллетеней	30455	1203	683	462	1137	882	323	525	171	503	948	1163	922	967	1235	1053	1115	1204	1072	1043	1064	1028	1134	560	403	543	869	815	324	492	724	368	244	891	1061	1021	1168	1135					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	899	34	33	16	26	29	10	16	2	22	38	37	17	23	28	30	26	27	24	32	24	37	42	11	16	24	38	32	6	16	27	8	5	31	23	27	29	33					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	809	34	25	15	23	24	9	11	1	19	32	37	17	22	28	29	22	27	18	27	23	32	34	10	14	20	37	31	5	13	26	8	5	30	23	20	29	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	379	7	11	8	1	7	5	6	2	7	8	14	11	4	8	7	9	31	9	11	6	12	13	6	4	13	10	12	39	9	8	7	12	24	11	14	3	10					
14	Число погашенных неиспользованных открепительных удостоверений	90	0	8	1	3	5	1	5	1	3	6	0	0	1	0	1	4	0	6	5	1	5	8	1	2	4	1	1	1	3	1	0	0	1	0	7	0	4					
