Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Быковская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632					
1	"Число избирателей, внесенных в списки избирателей"	20148	1241	1684	1500	1044	613	308	289	565	1249	394	553	1052	959	1070	776	1359	606	1179	1173	347	918	1269					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20440	1210	1690	1480	1030	610	300	290	560	1340	510	530	1090	1040	1070	770	1340	610	1210	1200	350	960	1250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10774	598	798	752	547	292	158	168	272	698	249	337	514	398	640	436	663	387	659	729	248	457	774					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1137	27	74	38	22	7	11	4	57	134	37	22	58	100	41	22	76	24	55	53	27	197	51					
6	Число погашенных избирательных бюллетеней	8529	585	818	690	461	311	131	118	231	508	224	171	518	542	389	312	601	199	496	418	75	306	425					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1137	27	74	38	22	7	11	4	57	134	37	22	58	100	41	22	76	24	55	53	27	197	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10774	598	798	752	547	292	158	168	272	698	249	337	514	398	640	436	663	387	659	729	248	457	774					
9	Число недействительных избирательных бюллетеней	115	3	14	7	5	3	1	4	3	5	1	5	8	4	10	4	2	4	10	7	5	7	3					
10	Число действительных избирательных бюллетеней	11796	622	858	783	564	296	168	168	326	827	285	354	564	494	671	454	737	407	704	775	270	647	822					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	16	25	22	16	8	5	5	8	18	7	8	16	12	12	11	20	20	16	16	5	11	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	111	5	3	4	2	1	2	5	3	14	3	7	6	1	2	1	11	17	5	4	4	0	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	76	8	6	8	3	7	1	1	2	3	1	4	2	2	2	2	2	4	5	8	1	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	184	11	22	18	14	7	3	0	5	4	4	1	10	11	10	10	9	3	11	12	1	11	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	852	52	47	49	15	20	16	9	51	112	11	49	26	38	39	37	23	44	36	53	14	25	86					
		7.15%	8.32%	5.39%	6.20%	2.64%	6.69%	9.47%	5.23%	15.50%	13.46%	3.85%	13.65%	4.55%	7.63%	5.73%	8.08%	3.11%	10.71%	5.04%	6.78%	5.09%	3.82%	10.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	37	5	2	1	4	0	2	0	0	3	1	0	2	1	2	2	1	0	2	6	0	0	3					
		0.31%	0.80%	0.23%	0.13%	0.70%	0.00%	1.18%	0.00%	0.00%	0.36%	0.35%	0.00%	0.35%	0.20%	0.29%	0.44%	0.14%	0.00%	0.28%	0.77%	0.00%	0.00%	0.36%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0					
		0.04%	0.00%	0.00%	0.00%	0.18%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1532	132	145	128	80	52	21	23	25	82	32	26	126	97	56	57	101	22	106	84	13	86	38					
		12.86%	21.12%	16.63%	16.20%	14.06%	17.39%	12.43%	13.37%	7.60%	9.86%	11.19%	7.24%	22.03%	19.48%	8.22%	12.45%	13.67%	5.35%	14.85%	10.74%	4.73%	13.15%	4.61%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	10	2	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0					
		0.08%	0.32%	0.00%	0.13%	0.00%	0.33%	0.00%	0.58%	0.61%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	15	1	2	3	0	0	0	0	1	0	0	0	1	1	2	2	0	0	0	1	0	0	1					
		0.13%	0.16%	0.23%	0.38%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.17%	0.20%	0.29%	0.44%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.12%					
24	7.Политическая партия «Либерально-демократическая партия России»	636	38	63	82	43	11	16	8	9	52	18	16	17	29	11	28	35	23	34	56	4	21	22					
		5.34%	6.08%	7.22%	10.38%	7.56%	3.68%	9.47%	4.65%	2.74%	6.25%	6.29%	4.46%	2.97%	5.82%	1.62%	6.11%	4.74%	5.60%	4.76%	7.16%	1.45%	3.21%	2.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	935	47	103	46	77	41	14	7	37	42	10	33	54	47	18	40	60	31	61	101	9	27	30					
		7.85%	7.52%	11.81%	5.82%	13.53%	13.71%	8.28%	4.07%	11.25%	5.05%	3.50%	9.19%	9.44%	9.44%	2.64%	8.73%	8.12%	7.54%	8.54%	12.92%	3.27%	4.13%	3.64%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	76	3	2	5	7	5	0	0	1	2	4	1	9	1	5	4	7	0	4	5	0	7	4					
		0.64%	0.48%	0.23%	0.63%	1.23%	1.67%	0.00%	0.00%	0.30%	0.24%	1.40%	0.28%	1.57%	0.20%	0.73%	0.87%	0.95%	0.00%	0.56%	0.64%	0.00%	1.07%	0.48%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7654	342	489	464	335	163	97	120	198	531	207	229	328	279	536	282	505	287	451	468	229	478	636					
		64.26%	54.72%	56.08%	58.73%	58.88%	54.52%	57.40%	69.77%	60.18%	63.82%	72.38%	63.79%	57.34%	56.02%	78.71%	61.57%	68.34%	69.83%	63.17%	59.85%	83.27%	73.09%	77.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	44	0	5	4	2	3	1	0	2	3	2	0	1	0	2	0	5	0	7	1	1	3	2					
		0.37%	0.00%	0.57%	0.51%	0.35%	1.00%	0.59%	0.00%	0.61%	0.36%	0.70%	0.00%	0.17%	0.00%	0.29%	0.00%	0.68%	0.00%	0.98%	0.13%	0.36%	0.46%	0.24%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
