Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Горномарийская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в списки"	22473	636	740	836	667	444	144	531	557	1294	475	377	197	625	255	78	464	635	880	323	384	1073	270	518	1083	793	754	809	467	153	438	351	858	773	280	257	481	74	274	261	432	235	773	524					
2	"Число бюллетеней, полученных участковыми комиссиями"	22126	630	735	785	660	430	145	550	550	1280	450	360	200	620	240	80	450	620	870	320	375	1030	265	530	1060	790	750	790	460	152	435	345	860	775	265	255	465	76	265	265	435	225	775	508					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9487	206	196	429	211	154	75	177	238	577	223	177	125	271	118	63	170	291	415	166	179	421	108	252	487	313	321	350	154	94	159	131	352	275	101	120	269	43	168	128	171	108	292	209					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3265	161	152	25	66	54	19	86	21	164	38	39	30	66	58	4	137	139	92	39	37	110	55	74	175	178	79	54	97	15	102	80	134	171	110	43	33	2	15	17	56	15	127	96					
6	Число погашенных бюллетеней	9374	263	387	331	383	222	51	287	291	539	189	144	45	283	64	13	143	190	363	115	159	499	102	204	398	299	350	386	209	43	174	134	374	329	54	92	163	31	82	120	208	102	356	203					
7	Число бюллетеней в переносных ящиках для голосования	3264	161	152	25	66	54	19	86	21	164	38	39	30	66	58	4	137	139	92	39	37	109	55	74	175	178	79	54	97	15	102	80	134	171	110	43	33	2	15	17	56	15	127	96					
8	Число бюллетеней в стационарных ящиках для голосования	9485	206	196	428	211	154	75	177	238	577	223	177	125	271	118	63	170	291	415	166	178	421	108	252	487	313	321	350	154	94	159	131	352	275	101	120	269	43	168	128	171	108	292	209					
9	Число недействительных бюллетеней	255	3	6	8	7	4	3	14	15	9	5	5	7	9	2	0	2	8	9	8	8	12	11	17	7	2	7	8	1	0	2	0	4	4	1	4	9	5	4	0	5	7	12	1					
10	Число действительных бюллетеней	12494	364	342	445	270	204	91	249	244	732	256	211	148	328	174	67	305	422	498	197	207	518	152	309	655	489	393	396	250	109	259	211	482	442	210	159	293	40	179	145	222	116	407	304					
