Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Актанышская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664					
1	"Число избирателей, внесенных в списки избирателей"	22249	1456	1659	1218	743	836	619	208	318	435	348	336	96	110	322	235	208	716	312	169	327	121	829	299	1144	202	395	146	691	790	638	814	122	705	727	622	439	200	567	236	320	215	389	135	285	335	212					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22189	1418	1664	1201	743	814	620	214	318	435	356	333	97	110	322	235	207	716	312	169	330	121	825	300	1136	203	390	146	691	778	638	817	122	707	731	620	440	205	574	237	320	215	390	136	286	335	212					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20647	1384	1604	1188	659	804	542	176	301	406	323	302	84	88	318	210	201	678	280	160	306	108	769	272	1036	193	385	132	598	649	567	726	122	674	703	597	395	176	543	230	307	205	375	120	255	307	189					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1410	34	48	11	76	10	76	32	17	27	23	31	12	22	4	23	6	28	32	9	20	13	50	26	99	9	5	14	87	119	65	86	0	31	18	23	40	23	23	6	13	10	14	15	30	27	23					
6	Число погашенных избирательных бюллетеней	132	0	12	2	8	0	2	6	0	2	10	0	1	0	0	2	0	10	0	0	4	0	6	2	1	1	0	0	6	10	6	5	0	2	10	0	5	6	8	1	0	0	1	1	1	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1410	34	48	11	76	10	76	32	17	27	23	31	12	22	4	23	6	28	32	9	20	13	50	26	99	9	5	14	87	119	65	86	0	31	18	23	40	23	23	6	13	10	14	15	30	27	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20647	1384	1604	1188	659	804	542	176	301	406	323	302	84	88	318	210	201	678	280	160	306	108	769	272	1036	193	385	132	598	649	567	726	122	674	703	597	395	176	543	230	307	205	375	120	255	307	189					
9	Число недействительных избирательных бюллетеней	55	0	12	3	0	0	0	1	2	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	3	0	0	3	0	5	3	0	0	0	1	1	0	0	0	0	5	0	5	1	4					
10	Число действительных избирательных бюллетеней	22002	1418	1640	1196	735	814	618	207	316	433	346	333	96	109	322	232	207	706	310	169	326	121	818	298	1134	202	387	146	685	765	632	807	119	705	721	620	434	198	566	236	320	215	384	135	280	333	208					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	537	27	34	38	16	22	13	12	7	12	7	7	3	3	7	6	5	15	7	5	7	3	20	7	25	5	10	3	19	19	15	24	3	16	15	15	10	8	13	5	9	6	9	3	7	9	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	343	27	24	27	3	12	2	8	1	1	7	1	1	0	0	5	0	4	7	5	7	2	20	7	6	3	4	3	18	19	13	24	0	0	13	15	10	6	13	3	9	3	3	1	1	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	150	10	6	12	6	2	1	1	3	1	3	4	0	0	0	1	2	4	2	0	1	4	12	8	10	0	3	0	8	7	2	4	1	0	3	5	1	2	6	3	4	5	2	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	194	0	10	11	13	10	11	4	6	11	0	6	2	3	7	1	5	11	0	0	0	1	0	0	19	2	6	0	1	0	2	0	3	16	2	0	0	2	0	2	0	3	6	2	6	8	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
