Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Верхотурская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12282	409	942	1264	1785	694	215	1101	847	940	848	475	301	149	565	383	306	333	112	147	466									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11500	400	800	1200	1700	600	200	1000	850	900	800	400	300	150	500	400	300	300	100	150	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	146	0	0	0	0	0	0	0	0	0	0	44	54	0	0	19	0	12	0	0	17									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4595	184	312	498	644	212	89	378	344	316	274	154	112	62	223	187	112	139	55	96	204									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	522	6	79	61	47	44	12	15	6	56	60	17	15	30	5	14	16	12	14	7	6									
6	Число погашенных избирательных бюллетеней	6237	210	409	641	1009	344	99	607	500	528	466	185	119	58	272	180	172	137	31	47	223									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	668	6	79	61	47	44	12	15	6	56	60	61	69	30	5	33	16	24	14	7	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4595	184	312	498	644	212	89	378	344	316	274	154	112	62	223	187	112	139	55	96	204									
9	Число недействительных избирательных бюллетеней	181	6	16	13	20	7	1	22	15	14	11	8	6	5	4	16	2	5	0	1	9									
10	Число действительных избирательных бюллетеней	5082	184	375	546	671	249	100	371	335	358	323	207	175	87	224	204	126	158	69	102	218									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	10	20	20	20	10	5	20	15	10	10	10	10	10	10	10	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	66	3	5	6	7	2	2	7	3	7	3	6	7	0	2	1	1	0	0	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	2	8	3	5	5	3	5	5	6	3	1	1	3	1	1	1	2	13	6	1									
14	Число погашенных неиспользованных открепительных удостоверений	154	7	15	14	13	8	3	13	12	3	7	4	3	10	8	9	9	5	5	5	1									
