Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Староуткинская поселковая 								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №2602					
1	"Число избирателей, внесенных в списки"	2468	2468					
2	"Число бюллетеней, полученных участковыми комиссиями"	2700	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	970	970					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	128	128					
6	Число погашенных бюллетеней	1602	1602					
7	Число бюллетеней в переносных ящиках для голосования	128	128					
8	Число бюллетеней в стационарных ящиках для голосования	970	970					
9	Число недействительных бюллетеней	26	26					
10	Число действительных бюллетеней	1072	1072					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	100					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	3					
14	Число погашенных открепительных удостоверений	95	95					
15	Число открепительных удостоверений выданных ТИК	0	0					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	8	8					
		0.72%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	18	18					
		1.63%	1.63%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	72	72					
		6.55%	6.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	14	14					
		1.27%	1.27%					
22	"5. ""За Русь Святую"""	6	6					
		0.54%	0.54%					
23	"6. ""Объединенная Российская партия ""Русь"""	3	3					
		0.27%	0.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0					
		0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	4					
		0.36%	0.36%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0					
		0.0%	0.0%					
27	"10. ""Аграрная партия России"""	36	36					
		3.27%	3.27%					
28	"11. ""Истинные патриоты России"""	0	0					
		0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	18	18					
		1.63%	1.63%					
30	"13. ""Демократическая партия России"""	4	4					
		0.36%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	0	0					
		0.0%	0.0%					
32	"15. ""Партия СЛОН"""	1	1					
		0.09%	0.09%					
33	"16. ""Родина"" (народно-патриотический союз)"""	27	27					
		2.45%	2.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	2					
		0.18%	0.18%					
35	"18. ""ЛДПР"""	144	144					
		13.11%	13.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	39	39					
		3.55%	3.55%					
37	"20. ""Политическая партия ""Единая Россия"""	566	566					
		51.54%	51.54%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	4					
		0.36%	0.36%					
39	"22. ""Развитие предпринимательства"""	1	1					
		0.09%	0.09%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	83	83					
		7.55%	7.55%					
								
41	Против всех	22	22					
		2.00%	2.00%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
