Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Веселовская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №2519					
1	"Число избирателей, внесенных в список"	18890	2040	1695	1923	1892	342	127	206	744	614	448	324	914	452	1260	591	696	512	303	458	808	309	925	550	757					
2	Число полученных избирательных бюллетеней	17166	1815	1494	1724	1704	307	121	206	688	586	401	296	860	427	1166	541	626	468	275	410	731	277	847	491	705					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12136	1124	893	1276	1028	255	81	187	592	438	293	233	543	325	775	366	492	403	217	361	596	215	632	306	505					
5	"Число избирательных бюллетеней, выданных вне помещения"	1894	62	127	166	118	15	8	6	79	83	93	54	203	18	40	95	79	41	50	21	71	59	100	135	171					
6	Число погашенных избирательных бюллетеней	3136	629	474	282	558	37	32	13	17	65	15	9	114	84	351	80	55	24	8	28	64	3	115	50	29					
7	Число избирательных бюллетеней в переносных ящиках	1894	62	127	166	118	15	8	6	79	83	93	54	203	18	40	95	79	41	50	21	71	59	100	135	171					
8	Число бюллетеней в стационарных ящиках для голосования	12133	1124	893	1276	1028	255	81	187	592	438	293	233	543	325	775	366	492	403	217	361	596	215	632	306	502					
9	Число недействительных избирательных бюллетеней	145	13	13	5	2	3	1	0	15	13	3	5	10	3	12	5	6	7	1	2	16	0	6	4	0					
10	Число действительных избирательных бюллетеней	13882	1173	1007	1437	1144	267	88	193	656	508	383	282	736	340	803	456	565	437	266	380	651	274	726	437	673					
11	Число полученных открепительных  удостоверений	498	35	30	30	20	10	10	10	30	20	15	15	39	15	30	20	20	20	10	15	25	10	25	20	24					
12	Число выданных открепительных удостоверений	308	16	19	20	17	3	2	1	24	20	12	12	37	10	6	8	20	12	2	1	3	8	23	8	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	12	10	6	7	4	1	3	7	2	0	4	5	2	0	1	11	5	3	2	0	2	2	4	2					
14	Число неиспользованных открепительных удостоверений	190	19	11	10	3	7	8	9	6	0	3	3	2	5	24	12	0	8	8	14	22	2	2	12	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	483	38	67	54	37	10	3	3	21	16	14	3	37	20	20	7	23	12	3	7	22	3	19	12	32					
