Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Новошешминская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  2328	УИК  2329	УИК  2330	УИК  2331	УИК  2332	УИК  2333	УИК  2334	УИК  2335	УИК  2336	УИК  2337	УИК  2338	УИК  2339	УИК  2340	УИК  2341	УИК  2342	УИК  2343	УИК  2344	УИК  2345	УИК  2346	УИК  2347	УИК  2348	УИК  2349	УИК  2350	УИК  2351					
1	"Число избирателей, внесенных в списки"	10646	296	207	423	401	503	2180	259	384	167	144	327	603	317	531	469	228	497	104	665	551	356	431	154	449					
2	"Число бюллетеней, полученных участковыми комиссиями"	10700	299	209	424	403	503	2209	251	387	169	146	327	600	318	535	474	230	499	105	662	558	355	430	155	452					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9903	279	197	409	381	402	1876	244	373	167	140	323	577	286	500	462	223	469	103	642	542	341	407	151	409					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	312	15	10	12	18	42	19	0	8	0	4	0	17	19	27	7	5	21	0	15	4	10	20	1	38					
6	Число погашенных бюллетеней	485	5	2	3	4	59	314	7	6	2	2	4	6	13	8	5	2	9	2	5	12	4	3	3	5					
7	Число бюллетеней в переносных ящиках для голосования	312	15	10	12	18	42	19	0	8	0	4	0	17	19	27	7	5	21	0	15	4	10	20	1	38					
8	Число бюллетеней в стационарных ящиках для голосования	9903	279	197	409	381	402	1876	244	373	167	140	323	577	286	500	462	223	469	103	642	542	341	407	151	409					
9	Число недействительных бюллетеней	54	4	2	0	3	6	4	2	4	1	0	0	1	0	0	0	0	4	0	1	0	9	1	6	6					
10	Число действительных бюллетеней	10161	290	205	421	396	438	1891	242	377	166	144	323	593	305	527	469	228	486	103	656	546	342	426	146	441					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	5	4	8	8	10	43	5	6	3	3	6	12	6	9	9	4	10	2	10	10	7	8	3	9					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	1	1	2	2	2	24	0	0	0	0	1	3	0	0	3	2	3	0	3	0	1	1	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	1	1	4	2	5	4	1	0	2	2	0	1	2	3	1	1	2	0	1	0	4	1	1	5					
14	Число погашенных открепительных удостоверений	142	4	3	6	6	8	19	5	6	3	3	5	9	6	9	6	2	7	2	7	10	6	7	0	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	13	0	0	0	0	3	3	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	2	1	0					
