Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Скалистинская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466					
1	"Число избирателей, внесенных в списки"	11830	1458	1919	1779	2365	1934	1491	884					
2	"Число бюллетеней, полученных участковыми комиссиями"	11210	1410	1860	1740	2160	1870	1360	810					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6835	782	1007	980	1294	1092	1031	649					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	79	23	3	7	25	19	2	0					
6	Число погашенных бюллетеней	4295	605	850	753	841	759	326	161					
7	Число бюллетеней в переносных ящиках для голосования	79	23	3	7	25	19	2	0					
8	Число бюллетеней в стационарных ящиках для голосования	6825	782	1007	979	1292	1085	1031	649					
9	Число недействительных бюллетеней	48	5	6	3	7	3	12	12					
10	Число действительных бюллетеней	6856	800	1004	983	1310	1101	1021	637					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	361	48	48	21	85	57	72	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	299	29	47	19	71	56	64	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	11	10	3	3	4	3	1					
14	Число погашенных открепительных удостоверений	62	19	1	2	14	1	8	17					
15	Число открепительных удостоверений выданных ТИК	48	6	14	7	14	7	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	1	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	73	4	7	12	9	10	15	16					
		1.05%	0.49%	0.69%	1.21%	0.68%	0.90%	1.45%	2.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	169	17	25	19	41	34	12	21					
		2.44%	2.11%	2.47%	1.92%	3.11%	3.07%	1.16%	3.23%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	189	26	32	40	29	33	18	11					
		2.73%	3.22%	3.16%	4.05%	2.20%	2.98%	1.74%	1.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	229	21	51	41	39	46	20	11					
		3.31%	2.60%	5.04%	4.15%	2.96%	4.16%	1.93%	1.69%					
22	"5. ""За Русь Святую"""	17	0	4	6	2	4	0	1					
		0.24%	0.0%	0.39%	0.60%	0.15%	0.36%	0.0%	0.15%					
23	"6. ""Объединенная Российская партия ""Русь"""	23	2	2	3	2	7	6	1					
		0.33%	0.24%	0.19%	0.30%	0.15%	0.63%	0.58%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	102	15	14	16	18	10	13	16					
		1.47%	1.86%	1.38%	1.62%	1.36%	0.90%	1.25%	2.46%					
25	"8. ""Народно-республиканская партия России"""	31	3	5	2	9	7	1	4					
		0.44%	0.37%	0.49%	0.20%	0.68%	0.63%	0.09%	0.61%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	2	2	3	4	6	8	8					
		0.47%	0.24%	0.19%	0.30%	0.30%	0.54%	0.77%	1.23%					
27	"10. ""Аграрная партия России"""	69	6	16	11	9	13	8	6					
		0.99%	0.74%	1.58%	1.11%	0.68%	1.17%	0.77%	0.92%					
28	"11. ""Истинные патриоты России"""	28	3	0	2	3	1	9	10					
		0.40%	0.37%	0.0%	0.20%	0.22%	0.09%	0.87%	1.54%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	91	8	12	7	18	23	20	3					
		1.31%	0.99%	1.18%	0.70%	1.36%	2.08%	1.93%	0.46%					
30	"13. ""Демократическая партия России"""	9	2	0	0	2	2	2	1					
		0.13%	0.24%	0.0%	0.0%	0.15%	0.18%	0.19%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	4	2	1	2	4	3	2					
		0.26%	0.49%	0.19%	0.10%	0.15%	0.36%	0.29%	0.30%					
32	"15. ""Партия СЛОН"""	15	0	2	0	5	5	2	1					
		0.21%	0.0%	0.19%	0.0%	0.37%	0.45%	0.19%	0.15%					
33	"16. ""Родина"" (народно-патриотический союз)"""	463	46	78	70	123	84	43	19					
		6.70%	5.71%	7.72%	7.09%	9.33%	7.60%	4.16%	2.92%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	2	1	0	5	0	2	4					
		0.20%	0.24%	0.09%	0.0%	0.37%	0.0%	0.19%	0.61%					
35	"18. ""ЛДПР"""	1378	184	200	192	239	189	222	152					
		19.95%	22.85%	19.80%	19.47%	18.14%	17.11%	21.49%	23.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	73	9	6	13	25	6	14	0					
