Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Сафоновская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313					
1	"Число избирателей, внесенных в списки"	53068	2730	1851	2418	2280	2529	1580	2395	1409	1392	1093	2250	2464	1523	2762	2563	1965	2132	2094	2104	133	1455	699	378	121	744	81	565	828	380	301	115	264	355	781	571	436	619	1833	379	320	334	436	545	528	333					
2	"Число бюллетеней, полученных участковыми комиссиями"	53533	2766	1921	2410	2282	2508	1597	2422	1401	1398	1106	2259	2492	1504	2766	2584	2008	2159	2122	2122	268	1438	707	380	123	757	78	559	834	370	322	121	267	350	800	550	439	633	1824	372	314	344	437	539	525	355					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24918	1262	953	1322	1096	1258	726	1286	697	488	437	1037	1081	706	1281	1310	767	900	977	1015	133	525	355	180	34	381	28	188	354	208	172	64	158	147	335	300	155	329	770	246	179	205	158	267	258	190					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1790	28	30	47	23	8	34	38	26	13	22	14	22	38	42	15	61	13	30	20	0	24	15	46	62	26	32	80	48	64	31	15	53	48	22	125	75	37	30	47	8	29	113	69	76	91					
6	Число погашенных бюллетеней	26825	1476	938	1041	1163	1242	837	1098	678	897	647	1208	1389	760	1443	1259	1180	1246	1115	1087	135	889	337	154	27	350	18	291	432	98	119	42	56	155	443	125	209	267	1024	79	127	110	166	203	191	74					
7	Число бюллетеней в переносных ящиках для голосования	1790	28	30	47	23	8	34	38	26	13	22	14	22	38	42	15	61	13	30	20	0	24	15	46	62	26	32	80	48	64	31	15	53	48	22	125	75	37	30	47	8	29	113	69	76	91					
8	Число бюллетеней в стационарных ящиках для голосования	24917	1262	953	1321	1096	1258	726	1286	697	488	437	1037	1081	706	1281	1310	767	900	977	1015	133	525	355	180	34	381	28	188	354	208	172	64	158	147	335	300	155	329	770	246	179	205	158	267	258	190					
9	Число недействительных бюллетеней	423	12	14	17	9	10	8	12	11	6	9	13	10	3	19	16	7	11	18	29	3	11	0	6	1	9	3	5	16	7	3	2	3	3	14	9	9	2	38	2	2	9	5	14	4	9					
10	Число действительных бюллетеней	26284	1278	969	1351	1110	1256	752	1312	712	495	450	1038	1093	741	1304	1309	821	902	989	1006	130	538	370	220	95	398	57	263	386	265	200	77	208	192	343	416	221	364	762	291	185	225	266	322	330	272					
