Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Макаровская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6496	387	276	1489	2125	1547	575	97									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4890	310	220	1120	1610	1110	450	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2766	187	129	617	951	632	198	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	192	7	4	21	22	123	15	0									
6	Число погашенных избирательных бюллетеней	1932	116	87	482	637	355	237	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	192	7	4	21	22	123	15	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2765	187	129	617	950	632	198	52									
9	Число недействительных избирательных бюллетеней	95	6	5	19	32	24	7	2									
10	Число действительных избирательных бюллетеней	2862	188	128	619	940	731	206	50									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	15	10	35	40	35	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	58	2	0	13	19	16	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	7	4	6	11	1	2	23									
14	Число погашенных неиспользованных открепительных удостоверений	102	13	10	22	21	19	12	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	1	8	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	3	0	9	13	18	2	0									
		1.52%	1.55%	0.00%	1.41%	1.34%	2.38%	0.94%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	101	14	4	20	26	28	5	4									
		3.42%	7.22%	3.01%	3.13%	2.67%	3.71%	2.35%	7.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	6	3	20	37	16	7	1									
		3.04%	3.09%	2.26%	3.13%	3.81%	2.12%	3.29%	1.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1423	78	88	294	483	366	89	25									
		48.12%	40.21%	66.17%	46.08%	49.69%	48.48%	41.78%	48.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	0	0	4	7	4	1	0									
		0.54%	0.00%	0.00%	0.63%	0.72%	0.53%	0.47%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	1	4	2	0	1									
		0.27%	0.00%	0.00%	0.16%	0.41%	0.26%	0.00%	1.92%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	680	54	20	155	197	175	71	8									
		22.99%	27.84%	15.04%	24.29%	20.27%	23.18%	33.33%	15.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	0	0	2	2	2	1	0									
		0.24%	0.00%	0.00%	0.31%	0.21%	0.26%	0.47%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	3	0	3	7	5	2	0									
		0.68%	1.55%	0.00%	0.47%	0.72%	0.66%	0.94%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	1	3	0	0									
		0.14%	0.00%	0.00%	0.00%	0.10%	0.40%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	45	1	0	12	17	11	3	1									
		1.52%	0.52%	0.00%	1.88%	1.75%	1.46%	1.41%	1.92%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	313	20	6	77	106	72	22	10									
		10.59%	10.31%	4.51%	12.07%	10.91%	9.54%	10.33%	19.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	1	0	4	5	2	0	0									
		0.41%	0.52%	0.00%	0.63%	0.51%	0.26%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	98	8	7	18	35	27	3	0									
		3.31%	4.12%	5.26%	2.82%	3.60%	3.58%	1.41%	0.00%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
