Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Черемховская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533					
1	"Число избирателей, внесенных в списки избирателей"	23081	879	273	150	955	199	475	339	1620	305	533	322	107	271	118	889	214	215	1828	1540	1345	338	1328	628	773	343	588	98	776	823	247	208	318	568	137	203	505	100	290	388	211	569	250	149	222	150	149	145					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23515	903	279	152	924	202	487	375	1654	330	557	311	108	272	125	905	221	217	1867	1527	1329	327	1334	606	836	397	611	104	784	824	246	221	316	559	139	195	613	100	281	381	197	589	250	178	216	161	161	144					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15863	678	213	134	701	168	390	164	924	192	375	209	89	178	91	697	169	172	1092	835	740	150	705	424	582	253	493	70	441	720	177	125	219	519	135	149	431	76	197	281	146	464	184	134	159	150	131	137					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1336	28	14	7	55	15	51	81	124	39	30	42	3	22	18	50	14	13	35	33	45	71	38	32	21	26	26	8	34	33	38	49	46	0	0	21	29	11	36	16	19	25	15	15	0	0	8	0					
6	Число погашенных избирательных бюллетеней	6316	197	52	11	168	19	46	130	606	99	152	60	16	72	16	158	38	32	740	659	544	106	591	150	233	118	92	26	309	71	31	47	51	40	4	25	153	13	48	84	32	100	51	29	57	11	22	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1336	28	14	7	55	15	51	81	124	39	30	42	3	22	18	50	14	13	35	33	45	71	38	32	21	26	26	8	34	33	38	49	46	0	0	21	29	11	36	16	19	25	15	15	0	0	8	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15838	678	213	134	701	168	390	164	924	192	375	209	89	178	91	697	169	172	1067	835	740	150	705	424	582	253	493	70	441	720	177	125	219	519	135	149	431	76	197	281	146	464	184	134	159	150	131	137					
9	Число недействительных избирательных бюллетеней	269	14	3	0	7	1	1	4	12	3	11	5	2	3	1	11	1	3	66	9	10	4	12	9	9	3	3	2	7	0	2	1	3	9	1	0	5	3	2	6	2	9	4	0	1	3	0	2					
10	Число действительных избирательных бюллетеней	16905	692	224	141	749	182	440	241	1036	228	394	246	90	197	108	736	182	182	1036	859	775	217	731	447	594	276	516	76	468	753	213	173	262	510	134	170	455	84	231	291	163	480	195	149	158	147	139	135					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1016	37	12	12	27	12	26	26	70	40	16	6	5	22	17	22	15	5	32	42	42	7	32	10	60	52	25	10	16	13	5	5	5	5	5	5	118	12	8	5	5	25	19	15	25	23	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	952	37	12	12	27	8	26	26	70	40	14	6	5	22	17	22	15	5	28	37	42	1	32	8	60	52	25	8	12	13	5	5	5	0	0	0	118	12	8	3	0	25	16	9	25	23	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	212	10	4	4	5	2	1	2	18	6	3	16	3	1	5	3	4	3	12	6	15	1	4	5	9	3	2	0	7	5	1	1	5	3	0	5	8	1	3	5	2	5	3	1	1	2	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	64	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	4	5	0	6	0	2	0	0	0	2	4	0	0	0	0	5	5	5	0	0	0	2	5	0	3	6	0	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
