Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Петровская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56120	1185	1466	1408	1417	1428	1340	1423	1595	1537	1445	1514	1600	1489	1420	1424	1394	1324	1402	1465	853	200	566	1356	1435	1368	299	1562	1599	1219	1379	1780	1540	1440	258	269	2483	1608	1534	1964	1261	1804	1067									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45250	1000	1150	1150	1150	1150	1050	1150	1250	1250	1150	1200	1250	1200	1150	1150	1150	1050	1150	1150	700	200	500	1100	1150	1100	300	1250	1300	950	1100	1400	1250	1150	250	250	2000	1300	1250	1550	1000	1450	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20061	318	517	451	500	515	431	515	625	440	479	518	585	458	604	491	525	406	505	454	265	65	208	361	552	414	127	592	578	454	417	734	484	637	140	129	1055	561	510	820	513	645	463									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4966	194	69	112	79	83	200	148	83	394	102	96	67	162	60	67	75	93	99	53	127	27	30	97	89	112	40	154	149	107	211	176	183	58	20	5	209	159	198	169	97	213	100									
6	Число погашенных избирательных бюллетеней	20221	488	564	587	571	552	419	487	542	416	569	586	598	580	486	592	550	551	546	643	308	108	262	642	509	572	133	504	573	389	472	490	583	455	90	116	736	580	542	561	390	592	287									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4966	194	69	112	79	83	200	148	83	394	102	96	67	162	60	67	75	93	99	53	127	27	30	97	89	112	40	154	149	107	211	176	183	58	20	5	209	159	198	169	97	213	100									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20057	318	517	451	500	515	431	515	625	440	479	518	585	458	604	491	525	406	505	454	265	65	208	361	552	412	127	592	578	454	417	734	484	637	140	129	1053	561	510	820	513	645	463									
9	Число недействительных избирательных бюллетеней	798	7	16	21	12	7	18	15	25	8	30	8	13	63	30	18	0	10	17	21	11	2	3	15	19	15	0	22	68	20	32	29	13	33	7	5	32	37	16	33	9	29	9									
10	Число действительных избирательных бюллетеней	24225	505	570	542	567	591	613	648	683	826	551	606	639	557	634	540	600	489	587	486	381	90	235	443	622	509	167	724	659	541	596	881	654	662	153	129	1230	683	692	956	601	829	554									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	438	11	11	11	11	12	12	11	11	11	11	11	11	11	11	12	11	11	11	11	7	5	6	11	11	5	11	11	11	11	11	11	11	11	5	5	20	11	11	11	11	11	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	121	0	1	3	9	2	0	1	7	0	0	1	4	4	9	6	1	2	7	4	1	0	1	0	2	2	1	6	1	1	8	3	2	2	1	0	3	3	2	10	4	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	119	4	3	2	6	0	3	4	4	2	2	3	5	2	2	1	2	7	6	3	2	4	1	1	0	2	0	2	3	3	0	3	1	1	1	2	9	3	2	7	1	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	317	11	10	8	2	10	12	10	4	11	11	10	7	7	2	6	10	9	4	7	6	5	5	11	9	3	10	5	10	10	3	8	9	9	4	5	17	8	9	1	7	8	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	1	1	1	2	1	0	1	0	4	3	3	0	0	3	1	1	2	0	0	0	0	0	0	0	0	3	0	0	1	1	1	1	0	0	1	1	1	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	298	4	6	10	9	12	5	9	10	7	9	12	13	16	7	7	3	20	7	7	0	0	3	2	7	5	0	4	9	10	4	6	10	5	4	1	13	4	8	11	2	9	8									
		1.19%	0.78%	1.02%	1.78%	1.55%	2.01%	0.79%	1.36%	1.41%	0.84%	1.55%	1.95%	1.99%	2.58%	1.05%	1.25%	0.50%	4.01%	1.16%	1.38%	0.00%	0.00%	1.26%	0.44%	1.09%	0.95%	0.00%	0.54%	1.24%	1.78%	0.64%	0.66%	1.50%	0.72%	2.50%	0.75%	1.03%	0.56%	1.13%	1.11%	0.33%	1.05%	1.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	646	11	17	16	15	17	15	10	20	15	16	13	16	12	27	25	0	13	14	18	7	1	7	14	19	15	10	25	21	12	19	11	16	23	0	4	33	21	21	25	14	19	19									
		2.58%	2.15%	2.90%	2.84%	2.59%	2.84%	2.38%	1.51%	2.82%	1.80%	2.75%	2.12%	2.45%	1.94%	4.07%	4.48%	0.00%	2.61%	2.32%	3.55%	1.79%	1.09%	2.94%	3.06%	2.96%	2.86%	5.99%	3.35%	2.89%	2.14%	3.03%	1.21%	2.40%	3.31%	0.00%	2.99%	2.61%	2.92%	2.97%	2.53%	2.30%	2.21%	3.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	459	11	16	7	5	9	14	11	12	6	9	5	18	9	17	15	0	5	11	16	6	0	10	2	15	8	5	11	5	18	11	10	15	17	0	2	34	14	13	13	6	37	11									
