Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Куйтунская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24958	502	569	734	244	495	491	460	485	472	854	525	717	550	399	518	176	159	105	104	16	545	158	137	160	857	284	89	101	217	85	1369	57	119	139	130	92	99	797	1034	440	122	680	151	240	453	252	135	114	481	168	204	125	233	174	142	134	227	253	1071	215	309	176	909	876	237	591	87	606	109									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25250	510	572	742	240	500	472	460	494	474	860	530	720	558	400	522	186	164	106	104	15	556	154	140	162	855	285	90	102	222	86	1400	54	115	138	130	90	102	830	1050	445	125	685	148	240	440	260	135	115	480	165	205	130	240	175	146	135	230	255	1075	220	328	176	960	895	238	598	86	618	112									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7791	135	188	207	79	122	179	150	143	179	244	130	221	127	86	136	85	50	46	36	8	162	57	42	35	198	85	35	47	100	39	305	21	36	43	43	33	45	336	301	95	31	234	67	84	168	77	64	40	191	62	61	22	57	72	36	84	100	64	335	52	143	76	357	213	71	159	26	188	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	770	16	4	27	0	7	9	10	1	5	9	13	20	18	3	5	19	21	0	7	0	4	10	7	5	32	15	6	8	15	14	17	0	1	0	3	6	3	15	17	29	10	14	4	0	30	12	3	1	8	3	4	0	9	26	9	5	11	7	8	25	6	7	54	42	19	23	0	27	2									
6	Число погашенных избирательных бюллетеней	16689	359	380	508	161	371	284	300	350	290	607	387	479	413	311	381	82	93	60	61	7	390	87	91	122	625	185	49	47	107	33	1078	33	78	95	84	51	54	479	732	321	84	437	77	156	242	171	68	74	281	100	140	108	174	77	101	46	119	184	732	143	179	93	549	640	148	416	60	403	62									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	770	16	4	27	0	7	9	10	1	5	9	13	20	18	3	5	19	21	0	7	0	4	10	7	5	32	15	6	8	15	14	17	0	1	0	3	6	3	15	17	29	10	14	4	0	30	12	3	1	8	3	4	0	9	26	9	5	11	7	8	25	6	7	54	42	19	23	0	27	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7791	135	188	207	79	122	179	150	143	179	244	130	221	127	86	136	85	50	46	36	8	162	57	42	35	198	85	35	47	100	39	305	21	36	43	43	33	45	336	301	95	31	234	67	84	168	77	64	40	191	62	61	22	57	72	36	84	100	64	335	52	143	76	357	213	71	159	26	188	48									
9	Число недействительных избирательных бюллетеней	206	1	3	4	1	5	2	7	3	4	10	9	11	4	3	7	6	1	1	2	0	3	3	0	0	12	1	0	0	1	0	9	0	0	0	0	1	1	1	8	1	0	11	0	2	4	2	0	0	9	4	5	0	5	1	0	0	1	4	10	0	1	0	5	5	3	5	0	4	0									
10	Число действительных избирательных бюллетеней	8355	150	189	230	78	124	186	153	141	180	243	134	230	141	86	134	98	70	45	41	8	163	64	49	40	218	99	41	55	114	53	313	21	37	43	46	38	47	350	310	123	41	237	71	82	194	87	67	41	190	61	60	22	61	97	45	89	110	67	333	77	148	83	406	250	87	177	26	211	50									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	469	10	15	10	10	10	10	10	5	10	10	5	5	5	5	10	7	2	2	2	1	10	2	1	2	15	5	1	2	5	2	15	1	2	2	2	2	6	30	15	10	2	15	2	2	15	5	5	5	10	1	2	2	2	2	2	2	5	2	15	2	10	2	40	15	2	10	1	15	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	2	1	2	0	3	3	2	3	1	1	3	2	1	2	0	7	2	1	0	0	3	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	4	30	0	2	0	3	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	7	0	10	1	40	1	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	1	1	1	1	1	2	1	2	0	2	1	1	0	1	1	0	1	0	0	1	0	3	0	0	1	1	0	1	0	1	7	4	4	1	1	3	1	4	1	2	0	1	3	1	0	1	2	3	1	2	0	0	0	1	1	1	0	2	1	2	1	1	3	1	2	0	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	313	8	14	8	10	7	7	8	2	9	9	2	3	4	3	10	0	0	1	2	1	7	2	1	2	15	4	1	2	5	2	1	1	2	2	2	2	2	0	15	8	2	12	2	2	14	5	4	3	10	1	2	2	2	2	2	2	5	2	8	2	0	1	0	14	2	10	1	15	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
