Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Барабинская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80					
1	"Число избирателей, внесенных в список"	12702	633	179	503	240	443	495	142	601	217	214	841	251	439	177	434	309	298	184	634	302	902	262	254	383	467	374	482	206	675	417	294	450					
2	Число полученных избирательных бюллетеней	12780	620	180	520	240	440	500	150	600	220	210	830	250	440	180	440	330	290	200	650	310	880	270	260	380	480	390	480	210	680	410	300	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10445	546	165	363	222	414	453	99	473	166	180	597	210	362	140	346	248	225	151	525	253	769	225	232	308	404	311	377	195	497	372	251	366					
5	"Число избирательных бюллетеней, выданных вне помещения"	307	15	0	22	0	4	10	33	42	9	8	0	0	0	8	20	6	0	0	0	0	15	12	0	10	0	0	10	0	73	0	10	0					
6	Число погашенных избирательных бюллетеней	2028	59	15	135	18	22	37	18	85	45	22	233	40	78	32	74	76	65	49	125	57	96	33	28	62	76	79	93	15	110	38	39	74					
7	Число избирательных бюллетеней в переносных ящиках	307	15	0	22	0	4	10	33	42	9	8	0	0	0	8	20	6	0	0	0	0	15	12	0	10	0	0	10	0	73	0	10	0					
8	Число бюллетеней в стационарных ящиках для голосования	10445	546	165	363	222	414	453	99	473	166	180	597	210	362	140	346	248	225	151	525	253	769	225	232	308	404	311	377	195	497	372	251	366					
9	Число недействительных избирательных бюллетеней	156	6	2	3	2	5	19	0	2	0	0	9	2	3	5	4	9	2	0	0	2	16	5	2	8	2	4	8	2	12	4	6	12					
10	Число действительных избирательных бюллетеней	10596	555	163	382	220	413	444	132	513	175	188	588	208	359	143	362	245	223	151	525	251	768	232	230	310	402	307	379	193	558	368	255	354					
