Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
"Наименование Избирательной комиссии:    Кемерово, Кировская"																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245					
1	"Число избирателей, внесенных в списки избирателей"	45732	2272	2457	2305	2722	2634	2768	2653	2769	2775	2313	2526	2736	2854	2658	2495	2277	2241	2277					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	46130	2180	2490	2320	2760	2700	2760	2680	2810	2800	2340	2540	2680	2890	2700	2560	2290	2270	2360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33648	1440	1591	1950	2098	1941	2267	2032	1977	1631	1521	1766	1938	2102	2059	1974	1913	1736	1712					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2426	461	138	53	244	88	97	77	91	235	96	184	89	82	150	81	91	103	66					
6	Число погашенных избирательных бюллетеней	10056	279	761	317	418	671	396	571	742	934	723	590	653	706	491	505	286	431	582					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2416	451	138	53	244	88	97	77	91	235	96	184	89	82	150	81	91	103	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33647	1440	1591	1949	2098	1941	2267	2032	1977	1631	1521	1766	1938	2102	2059	1974	1913	1736	1712					
9	Число недействительных избирательных бюллетеней	221	7	15	14	3	0	14	7	12	10	15	10	12	19	16	15	14	10	28					
10	Число действительных избирательных бюллетеней	35842	1884	1714	1988	2339	2029	2350	2102	2056	1856	1602	1940	2015	2165	2193	2040	1990	1829	1750					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	922	56	50	60	46	54	50	50	50	43	50	40	50	57	48	52	52	48	66					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	922	56	50	60	46	54	50	50	50	43	50	40	50	57	48	52	52	48	66					
