Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
"Наименование Избирательной комиссии:    Кемерово, Кировская"																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256					
1	"Число избирателей, внесенных в список избирателей"	43728	2771	2446	2155	2175	1411	2531	2501	2532	2755	2587	2595	2754	2730	2049	2645	2740	2281	2070					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42700	2700	2400	2100	2100	1400	2500	2500	2500	2700	2600	2600	2700	2600	2000	2500	2600	2200	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	32297	2007	1713	1721	1664	948	1962	1953	1975	2072	2148	2002	1888	2030	1314	2010	1960	1468	1462					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3182	211	244	72	84	53	130	162	174	187	81	93	307	84	321	257	303	137	282					
6	Число погашенных избирательных бюллетеней	7221	482	443	307	352	399	408	385	351	441	371	505	505	486	365	233	337	595	256					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3180	211	244	72	84	53	130	162	174	187	81	93	307	84	319	257	303	137	282					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32143	2007	1713	1721	1664	948	1962	1953	1975	1925	2148	2002	1888	2030	1311	2010	1960	1468	1458					
9	Число недействительных избирательных бюллетеней	375	23	12	21	7	15	27	39	28	5	32	24	16	24	18	18	32	19	15					
10	Число действительных избирательных бюллетеней	34948	2195	1945	1772	1741	986	2065	2076	2121	2107	2197	2071	2179	2090	1612	2249	2231	1586	1725					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1286	86	77	65	70	65	70	90	60	70	128	65	50	51	59	55	70	70	85					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1286	86	77	65	70	65	70	90	60	70	128	65	50	51	59	55	70	70	85					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	473	41	9	31	16	27	34	14	25	35	56	57	12	17	31	20	3	26	19					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	515	35	50	22	23	52	27	28	28	36	30	26	25	23	24	31	17	16	22					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2451	281	45	220	68	124	120	239	214	91	129	19	23	202	202	223	36	145	70					
		6.94%	12.67%	2.30%	12.27%	3.89%	12.39%	5.74%	11.30%	9.96%	4.31%	5.79%	0.91%	1.05%	9.56%	12.39%	9.84%	1.59%	9.03%	4.02%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3010	232	57	175	130	145	223	234	201	239	206	131	139	192	147	207	122	187	43					
		8.52%	10.46%	2.91%	9.76%	7.44%	14.49%	10.66%	11.06%	9.35%	11.32%	9.24%	6.25%	6.33%	9.08%	9.02%	9.13%	5.39%	11.65%	2.47%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	410	66	140	14	2	9	11	25	13	17	10	4	12	14	15	15	10	22	11					
		1.16%	2.98%	7.15%	0.78%	0.11%	0.90%	0.53%	1.18%	0.60%	0.80%	0.45%	0.19%	0.55%	0.66%	0.92%	0.66%	0.44%	1.37%	0.63%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3763	321	90	286	137	159	250	237	328	198	166	133	200	293	219	258	201	193	94					
		10.65%	14.47%	4.60%	15.95%	7.84%	15.88%	11.95%	11.21%	15.26%	9.38%	7.45%	6.35%	9.11%	13.86%	13.44%	11.38%	8.88%	12.02%	5.40%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	797	118	16	84	5	43	68	52	64	34	21	27	23	58	58	55	8	31	32					
		2.26%	5.32%	0.82%	4.68%	0.29%	4.30%	3.25%	2.46%	2.98%	1.61%	0.94%	1.29%	1.05%	2.74%	3.56%	2.43%	0.35%	1.93%	1.84%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24379	1168	1585	986	1399	499	1384	1283	1296	1519	1660	1750	1776	1323	961	1474	1846	1002	1468					
		69.02%	52.66%	80.99%	54.99%	80.03%	49.85%	66.16%	60.66%	60.31%	71.92%	74.47%	83.53%	80.91%	62.58%	58.96%	65.02%	81.57%	62.43%	84.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	138	9	12	7	0	7	9	6	5	9	5	7	6	8	10	17	8	6	7					
		0.39%	0.41%	0.61%	0.39%	0.00%	0.70%	0.43%	0.28%	0.23%	0.43%	0.22%	0.33%	0.27%	0.38%	0.61%	0.75%	0.35%	0.37%	0.40%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
