Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																										
Дата голосования: 18.09.2016																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Тюмень, Калининская"																																																																																										
																																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																										
																																																																																										
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	139372	2205	789	1777	1476	1034	1707	936	280	1902	2055	2242	2496	2579	1419	1652	1694	1970	2630	1152	2765	2196	2206	255	1801	687	1590	2467	1707	918	3009	1936	1538	1226	1143	1578	2526	2598	879	1904	2517	1948	2064	1931	545	1784	2403	2124	2365	1926	2401	1187	2722	1548	2122	2407	2403	1389	1890	2314	1265	2029	1884	1267	1133	2818	2311	2118	2043	2098	2107	821	866	1679	2381	1586	1260	1045	840	907									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	134750	2100	800	1700	1400	1000	1600	900	200	1900	2000	2200	2000	2500	1400	1600	1700	1900	2600	1100	2700	2100	2200	250	1800	700	1500	2400	1700	800	2900	1900	1500	1200	1100	1600	2500	2600	800	1800	2500	1900	2000	1900	500	1700	2400	2000	2300	1900	2300	1100	2600	1200	2600	2400	2300	1300	1800	2200	1200	2000	1800	1200	1100	2700	2300	2100	2000	2000	2100	800	800	1600	2300	1500	1200	1000	700	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	106244	1768	789	1374	1022	790	1285	649	195	1460	1451	1691	1643	1790	869	1376	1306	1541	1696	923	2277	1704	1843	114	1528	687	1235	1858	1341	535	2248	1495	1149	967	819	1249	1887	2056	646	1417	1846	1441	1615	1635	376	1508	1899	1577	1840	1516	1695	916	2247	1147	2116	1809	1786	1018	1434	1764	906	1533	1490	944	842	2167	1590	1590	1499	1662	1445	636	636	1316	1894	1207	932	869	654	574									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	594	13	0	16	5	0	5	0	2	9	9	10	1	6	5	5	4	6	5	1	4	8	6	67	21	0	6	4	9	0	1	4	7	7	4	4	5	2	4	2	13	7	8	20	53	19	5	1	5	15	4	0	12	1	6	14	7	12	6	6	6	3	6	2	3	25	3	5	3	2	3	1	4	2	11	4	4	22	2	2									
6	Число погашенных избирательных бюллетеней	27912	319	11	310	373	210	310	251	3	431	540	499	356	704	526	219	390	353	899	176	419	388	351	69	251	13	259	538	350	265	651	401	344	226	277	347	608	542	150	381	641	452	377	245	71	173	496	422	455	369	601	184	341	52	478	577	507	270	360	430	288	464	304	254	255	508	707	505	498	336	652	163	160	282	395	289	264	109	44	224									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	594	13	0	16	5	0	5	0	2	9	9	10	1	6	5	5	4	6	5	1	4	8	6	67	21	0	6	4	9	0	1	4	7	7	4	4	5	2	4	2	13	7	8	20	53	19	5	1	5	15	4	0	12	1	6	14	7	12	6	6	6	3	6	2	3	25	3	5	3	2	3	1	4	2	11	4	4	22	2	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	106175	1767	789	1373	1022	788	1284	649	195	1460	1451	1690	1643	1790	869	1376	1306	1541	1696	922	2277	1704	1843	113	1526	687	1235	1858	1341	535	2241	1491	1149	964	819	1249	1887	2056	646	1414	1846	1441	1607	1633	376	1508	1899	1577	1840	1512	1695	916	2247	1146	2116	1808	1786	1018	1434	1764	906	1530	1488	942	842	2167	1588	1589	1498	1660	1435	636	636	1316	1893	1207	932	869	652	574									
9	Число недействительных избирательных бюллетеней	817	2	0	3	3	2	1	0	0	16	14	0	17	5	27	10	13	15	17	9	8	12	0	3	21	3	3	18	13	1	117	15	11	10	8	23	0	20	6	14	18	0	16	2	4	0	12	4	4	8	17	0	3	1	8	1	66	3	2	4	3	3	0	2	25	68	11	2	14	2	12	2	5	10	0	3	9	8	2	3									
10	Число действительных избирательных бюллетеней	105952	1778	789	1386	1024	786	1288	649	197	1453	1446	1700	1627	1791	847	1371	1297	1532	1684	914	2273	1700	1849	177	1526	684	1238	1844	1337	534	2125	1480	1145	961	815	1230	1892	2038	644	1402	1841	1448	1599	1651	425	1527	1892	1574	1841	1519	1682	916	2256	1146	2114	1821	1727	1027	1438	1766	909	1530	1494	942	820	2124	1580	1592	1487	1660	1426	635	635	1308	1904	1208	927	883	652	573									
