Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    район Митино																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	114865	2875	2862	527	2746	2270	2599	2481	2299	2365	2566	2325	2582	1679	1559	1670	1525	2199	2084	2192	2171	2405	2595	2780	2637	2512	2152	2619	2415	2773	2582	2532	2120	2291	2686	2589	2411	2422	2564	2644	2829	2151	1816	2754	1268	2286	2704	1824	1920	1813	2195									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80400	2000	2000	500	1900	1600	1900	1700	1600	1700	1800	1600	1800	1200	1100	1200	1100	1500	1400	1500	1500	1700	1800	1900	1900	1800	1500	1800	1700	1900	1800	1800	1500	1600	1900	1800	1700	1700	1800	1900	1900	1400	1300	1900	900	1600	1900	1300	1300	1300	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40255	994	932	192	928	757	924	891	832	899	885	790	869	661	566	677	594	770	795	809	770	811	939	941	954	971	798	854	868	885	859	884	717	1032	908	914	792	820	857	940	1048	784	575	892	411	836	857	644	651	580	698									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	910	39	25	0	9	17	5	7	19	16	20	44	20	12	14	5	18	9	10	6	11	10	19	18	16	24	9	25	14	62	10	9	15	10	29	38	93	23	0	30	34	22	38	2	3	6	9	9	10	1	16									
6	Число погашенных избирательных бюллетеней	39237	967	1043	308	963	826	971	802	749	785	895	766	911	527	520	518	488	721	595	685	719	879	842	943	930	805	693	921	818	953	931	907	768	558	963	848	815	857	943	930	818	594	687	1006	486	758	1034	647	639	719	786									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	910	39	25	0	9	17	5	7	19	16	20	44	20	12	14	5	18	9	10	6	11	10	19	18	16	24	9	25	14	62	10	9	15	10	29	38	93	23	0	30	34	22	38	2	3	6	9	9	10	1	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40177	994	932	192	928	757	924	891	832	893	884	790	869	649	566	677	594	770	795	809	770	811	939	941	954	967	789	853	868	885	859	884	716	1032	907	913	791	801	857	940	1048	762	575	892	411	836	857	644	651	580	698									
9	Число недействительных избирательных бюллетеней	661	17	11	0	15	10	16	6	14	17	10	13	17	8	9	6	11	9	15	12	16	16	16	8	11	8	15	12	59	13	10	22	10	26	13	19	15	11	11	13	12	21	9	8	6	6	14	17	9	14	5									
10	Число действительных избирательных бюллетеней	40426	1016	946	192	922	764	913	892	837	892	894	821	872	653	571	676	601	770	790	803	765	805	942	951	959	983	783	866	823	934	859	871	721	1016	923	932	869	813	846	957	1070	763	604	886	408	836	852	636	652	567	709									
