Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Бакалинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22501	992	1187	855	1187	425	1232	1245	428	399	295	317	367	383	410	182	410	375	367	532	127	387	141	276	119	388	262	98	157	202	229	207	758	806	345	287	302	261	593	504	186	92	290	236	159	747	338	376	133	395	934	183	73	96	133	93									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23498	1009	1210	873	1207	441	1266	1299	442	411	305	362	396	404	426	190	417	401	376	627	134	401	145	289	121	398	268	100	164	211	233	213	843	904	356	299	309	264	608	517	186	91	305	249	163	783	399	387	136	410	952	190	76	101	134	97									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18371	642	1064	693	1021	364	1047	995	376	363	267	306	293	329	361	175	341	329	300	448	107	311	102	251	109	350	236	74	133	156	191	160	603	675	279	225	245	206	471	286	169	61	260	190	133	452	231	311	125	213	806	169	71	93	116	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1264	48	5	17	60	18	47	2	10	14	5	11	32	23	16	7	6	5	18	15	6	34	28	12	6	4	9	15	9	22	13	31	26	54	31	27	18	24	49	43	17	26	7	23	6	85	107	21	0	122	3	8	0	3	10	6									
6	Число погашенных избирательных бюллетеней	3863	319	141	163	126	59	172	302	56	34	33	45	71	52	49	8	70	67	58	164	21	56	15	26	6	44	23	11	22	33	29	22	214	175	46	47	46	34	88	188	0	4	38	36	24	246	61	55	11	75	143	13	5	5	8	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1264	48	5	17	60	18	47	2	10	14	5	11	32	23	16	7	6	5	18	15	6	34	28	12	6	4	9	15	9	22	13	31	26	54	31	27	18	24	49	43	17	26	7	23	6	85	107	21	0	122	3	8	0	3	10	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18351	642	1064	693	1021	364	1047	995	376	363	267	306	293	329	361	175	341	329	300	448	107	311	102	251	109	350	236	74	133	156	191	160	603	670	279	225	245	206	456	286	169	61	260	190	133	452	231	311	125	213	806	169	71	93	116	87									
9	Число недействительных избирательных бюллетеней	46	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	10	18	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	19569	684	1064	710	1081	382	1094	997	386	377	272	317	325	352	377	182	347	334	318	463	113	345	130	263	115	354	243	89	141	178	204	191	619	706	307	252	263	230	505	328	186	87	267	213	139	537	338	332	125	335	809	177	71	96	126	93									
