Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Теньгушевская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668					
1	"Число избирателей, внесенных в списки избирателей"	8837	1554	1605	136	125	135	1381	480	333	119	130	173	146	41	334	196	222	258	112	389	199	75	235	51	408					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8861	1558	1605	138	130	137	1373	483	335	123	130	173	146	39	336	196	224	260	112	391	200	75	236	51	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8516	1532	1571	130	111	121	1317	480	331	102	116	161	128	36	325	185	209	258	112	383	197	75	231	47	358					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	290	17	28	6	14	14	52	0	2	17	14	12	18	2	6	11	11	0	0	6	2	0	4	4	50					
6	Число погашенных избирательных бюллетеней	55	9	6	2	5	2	4	3	2	4	0	0	0	1	5	0	4	2	0	2	1	0	1	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	290	17	28	6	14	14	52	0	2	17	14	12	18	2	6	11	11	0	0	6	2	0	4	4	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8516	1532	1571	130	111	121	1317	480	331	102	116	161	128	36	325	185	209	258	112	383	197	75	231	47	358					
9	Число недействительных избирательных бюллетеней	5	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	8801	1549	1599	136	125	135	1369	480	332	119	130	173	145	37	331	196	220	258	112	387	199	75	235	51	408					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	443	60	60	3	25	6	52	15	10	9	11	16	6	6	41	25	25	13	7	13	7	3	5	2	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	394	60	59	3	25	6	31	15	10	6	8	6	6	2	38	25	25	13	7	12	6	3	5	2	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	24	9	7	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	49	0	1	0	0	0	21	0	0	3	3	10	0	4	3	0	0	0	0	1	1	0	0	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
