Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Хвалынская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19378	1823	318	413	230	1805	520	600	175	537	361	318	790	200	168	329	503	1445	1496	1580	1354	1495	1539	1379									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19395	1820	310	410	230	1820	550	620	180	575	370	330	810	200	170	330	430	1460	1460	1580	1370	1470	1540	1360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15977	1590	267	375	220	1582	402	506	146	489	349	282	739	159	158	305	263	1207	1423	1331	1056	811	1240	1077									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1293	196	35	35	10	41	71	10	22	20	7	19	36	34	7	16	167	40	21	49	162	68	55	172									
6	Число погашенных избирательных бюллетеней	2125	34	8	0	0	197	77	104	12	66	14	29	35	7	5	9	0	213	16	200	152	591	245	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1293	196	35	35	10	41	71	10	22	20	7	19	36	34	7	16	167	40	21	49	162	68	55	172									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15977	1590	267	375	220	1582	402	506	146	489	349	282	739	159	158	305	263	1207	1423	1331	1056	811	1240	1077									
9	Число недействительных избирательных бюллетеней	97	8	0	0	0	0	7	43	0	5	0	0	7	0	0	0	0	1	13	4	0	0	9	0									
10	Число действительных избирательных бюллетеней	17173	1778	302	410	230	1623	466	473	168	504	356	301	768	193	165	321	430	1246	1431	1376	1218	879	1286	1249									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	217	11	5	5	5	23	5	5	3	10	5	5	5	5	3	5	5	16	16	16	16	16	16	16									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	149	11	2	1	0	23	4	5	1	9	4	5	2	5	3	1	0	11	13	14	14	9	6	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	159	7	3	1	5	3	2	5	0	2	4	2	2	3	0	3	76	6	7	4	0	10	4	10									
14	Число погашенных неиспользованных открепительных удостоверений	68	0	3	4	5	0	1	0	2	1	1	0	3	0	0	4	5	5	3	2	2	7	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	2	0	0	0	2	0	2	0	8	0	5	2	0	0	0	0	2	6	5	2	2	3	4									
