Выборы Президента Российской Федерации																																																																																											
Дата голосования: 04.03.2012																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №22																																																																																											
																																																																																											
Сводная таблица итогов голосования																																																																																											
																																																																																											
	Число участковых избирательных комиссий	80																																																																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	80																																																																																									
																																																																																											
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №1977									
1	Число избирателей, включенных в список избирателей	152781	1903	2825	420	1381	1182	1844	243	2414	1510	1864	2694	1993	2861	2205	2009	1784	2003	2100	2085	2424	541	2365	2212	1772	2387	2187	2401	2592	1935	1772	1829	2092	2583	1630	1786	421	328	593	1978	1846	1554	2081	2276	1300	1602	1944	2082	2474	1365	2407	2478	2824	1459	599	2985	1876	2395	2482	2557	3135	2478	3020	2702	2700	2515	2120	2821	1825	2093	1595	2144	2479	1948	1980	1096	500	227	294	1380	1995									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	112100	1450	3000	450	1150	900	1200	250	1650	1050	1400	1750	1350	2000	1600	1500	1300	1300	1600	1550	1600	600	1650	1700	1300	1700	1600	1800	1750	1300	1200	1450	1550	1750	1450	1250	500	300	600	1400	1350	1150	1500	1300	950	1250	1350	1500	1700	950	1550	1700	1900	900	500	1900	1300	1750	1750	1950	2200	1650	2100	2000	2000	2000	1600	1850	1350	1550	1150	1450	1800	1450	1450	1500	500	200	300	900	2000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	91404	1342	2624	381	838	751	1145	153	1329	853	935	1336	1179	1574	1328	1366	955	834	1089	1210	1224	0	1317	1418	1069	1523	1355	1506	1690	1113	1041	1071	1169	1343	1035	1041	241	157	529	1262	1126	975	1272	1131	796	914	1215	1133	1431	775	1337	1501	1481	772	204	1735	1123	1407	1373	1788	1649	1397	1768	1524	1664	1972	1355	1447	1133	1154	892	1189	1399	1147	1166	1078	324	200	279	857	1995									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3090	0	0	0	44	22	32	84	30	6	11	73	17	24	14	10	61	21	23	32	20	540	61	49	46	39	35	28	16	38	32	61	27	22	33	23	145	50	0	38	25	46	33	34	17	37	14	22	45	26	39	56	55	9	204	17	22	43	22	42	21	10	20	21	67	23	9	21	34	19	10	26	25	14	30	18	83	0	15	9	0									
6	Число погашенных избирательных бюллетеней	17602	108	376	69	268	127	23	13	291	191	454	341	154	402	258	124	284	445	488	308	356	59	272	232	185	138	210	266	44	149	127	318	354	385	382	186	114	93	71	100	199	129	195	135	137	299	121	345	224	149	174	142	364	119	92	148	155	300	355	120	530	243	312	455	269	5	236	382	183	376	248	235	376	289	254	404	93	0	6	34	5									
