Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Красноуфимская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23314	101	892	368	222	85	504	76	620	171	490	438	414	462	1231	96	423	159	670	366	439	107	370	95	1035	137	276	152	316	345	1089	938	250	1328	1054	452	359	334	490	297	87	223	182	270	180	914	350	321	1179	569	296	83	1009									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23200	90	900	370	210	70	540	70	620	150	480	430	400	460	1230	90	430	160	690	350	440	90	370	80	1050	130	270	140	310	350	1120	960	240	1330	1060	470	340	320	500	300	70	220	180	270	170	910	340	320	1190	550	290	70	1010									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10012	54	402	183	112	52	219	42	244	66	169	187	176	184	546	44	180	70	369	171	259	54	155	66	431	72	104	70	145	113	430	381	120	533	386	235	169	147	222	134	42	102	90	114	86	321	165	134	396	234	136	45	451									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	814	4	24	16	12	0	11	0	19	20	17	5	3	20	29	2	6	8	33	18	19	9	17	6	29	5	18	0	8	17	51	54	5	37	24	21	17	8	23	9	1	4	1	9	14	32	22	15	29	33	15	3	12									
6	Число погашенных избирательных бюллетеней	12374	32	474	171	86	18	310	28	357	64	294	238	221	256	655	44	244	82	288	161	162	27	198	8	590	53	148	70	157	220	639	525	115	760	650	214	154	165	255	157	27	114	89	147	70	557	153	171	765	283	139	22	547									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	814	4	24	16	12	0	11	0	19	20	17	5	3	20	29	2	6	8	33	18	19	9	17	6	29	5	18	0	8	17	51	54	5	37	24	21	17	8	23	9	1	4	1	9	14	32	22	15	29	33	15	3	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10012	54	402	183	112	52	219	42	244	66	169	187	176	184	546	44	180	70	369	171	259	54	155	66	431	72	104	70	145	113	430	381	120	533	386	235	169	147	222	134	42	102	90	114	86	321	165	134	396	234	136	45	451									
9	Число недействительных избирательных бюллетеней	209	3	6	3	2	0	4	1	4	1	5	4	5	2	13	2	4	0	10	7	7	0	5	0	9	0	3	1	3	1	8	3	1	13	10	13	3	3	4	5	0	1	4	7	2	7	2	1	7	4	1	1	4									
10	Число действительных избирательных бюллетеней	10617	55	420	196	122	52	226	41	259	85	181	188	174	202	562	44	182	78	392	182	271	63	167	72	451	77	119	69	150	129	473	432	124	557	400	243	183	152	241	138	43	105	87	116	98	346	185	148	418	263	150	47	459									
