Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Выселковская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46879	1827	537	542	571	437	1542	1132	2216	445	1223	953	378	1693	1605	2572	1229	1428	2690	2960	664	373	1986	1663	274	377	792	958	927	1352	898	162	877	234	494	1926	1309	1547	1608	877	1601									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46760	1830	530	530	570	430	1540	1120	2220	440	1230	950	370	1700	1580	2500	1220	1430	2700	2980	660	370	2000	1650	270	370	790	970	920	1360	890	160	880	230	490	1930	1300	1550	1610	880	1610									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26704	1341	354	303	337	253	780	736	1215	152	509	700	189	885	926	1451	722	924	1506	1830	317	205	1317	883	184	223	471	594	544	551	339	105	562	185	296	1222	557	826	1106	381	723									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3873	115	86	140	81	37	229	100	209	51	98	60	29	108	99	156	98	97	59	139	200	93	37	181	20	44	19	51	46	101	131	17	122	40	74	110	135	176	59	85	141									
6	Число погашенных избирательных бюллетеней	16183	374	90	87	152	140	531	284	796	237	623	190	152	707	555	893	400	409	1135	1011	143	72	646	586	66	103	300	325	330	708	420	38	196	5	120	598	608	548	445	414	746									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3873	115	86	140	81	37	229	100	209	51	98	60	29	108	99	156	98	97	59	139	200	93	37	181	20	44	19	51	46	101	131	17	122	40	74	110	135	176	59	85	141									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26678	1315	354	303	337	253	780	736	1215	152	509	700	189	885	926	1451	722	924	1506	1830	317	205	1317	883	184	223	471	594	544	551	339	105	562	185	296	1222	557	826	1106	381	723									
9	Число недействительных избирательных бюллетеней	339	5	0	0	4	0	11	10	23	6	7	9	1	11	17	2	7	13	26	25	3	1	0	15	2	2	4	7	4	11	12	0	0	2	0	17	8	26	18	12	18									
10	Число действительных избирательных бюллетеней	30212	1425	440	443	414	290	998	826	1401	197	600	751	217	982	1008	1605	813	1008	1539	1944	514	297	1354	1049	202	265	486	638	586	641	458	122	684	223	370	1315	684	976	1147	454	846									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	16	5	5	5	3	13	10	17	4	11	8	3	15	13	22	10	13	22	25	6	3	20	14	3	3	7	8	8	12	8	2	7	2	4	16	11	13	13	7	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	221	3	1	0	0	3	2	5	10	2	1	0	3	9	1	15	3	13	9	25	0	3	8	0	3	0	4	8	4	12	8	0	7	0	4	16	4	13	13	7	2									
