Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Надеждинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30806	384	162	716	396	322	173	304	1296	1178	650	1747	711	214	1470	343	1536	2018	2994	382	1262	1747	1656	1791	352	1501	1857	1592	1412	640									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30785	385	145	720	390	320	175	310	1230	1180	645	1770	715	220	1455	345	1535	2010	2985	375	1275	1760	1670	1780	355	1510	1870	1595	1415	645									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8896	115	79	185	133	135	48	104	477	261	195	481	163	82	337	122	287	516	1011	100	390	530	571	437	128	486	431	466	441	185									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	298	1	12	9	5	4	6	19	8	9	5	24	17	1	28	6	8	12	11	6	3	10	6	9	4	13	16	20	19	7									
6	Число погашенных избирательных бюллетеней	21591	269	54	526	252	181	121	187	745	910	445	1265	535	137	1090	217	1240	1482	1963	269	882	1220	1093	1334	223	1011	1423	1109	955	453									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	298	1	12	9	5	4	6	19	8	9	5	24	17	1	28	6	8	12	11	6	3	10	6	9	4	13	16	20	19	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8891	115	79	185	133	135	48	104	477	261	195	480	163	82	336	122	287	516	1010	99	389	530	571	437	128	486	431	466	441	185									
9	Число недействительных избирательных бюллетеней	388	13	4	3	6	7	5	0	10	16	8	22	11	2	28	9	9	6	39	1	19	21	21	12	4	30	25	20	29	8									
10	Число действительных избирательных бюллетеней	8801	103	87	191	132	132	49	123	475	254	192	482	169	81	336	119	286	522	982	104	373	519	556	434	128	469	422	466	431	184									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	870	10	5	20	10	10	5	10	35	30	20	50	20	5	40	10	40	60	85	10	35	50	50	50	10	45	50	45	40	20									
