Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Октябрьская 																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в списки"	5940	553	666	847	822	961	348	327	528	643	245					
2	"Число бюллетеней, полученных участковыми комиссиями"	5860	540	650	810	830	930	350	325	515	665	245					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3712	429	402	515	496	586	212	226	303	377	166					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	435	40	25	13	31	31	69	40	70	94	22					
6	Число погашенных бюллетеней	1713	71	223	282	303	313	69	59	142	194	57					
7	Число бюллетеней в переносных ящиках для голосования	435	40	25	13	31	31	69	40	70	94	22					
8	Число бюллетеней в стационарных ящиках для голосования	3710	429	401	515	496	586	212	226	302	377	166					
9	Число недействительных бюллетеней	196	27	19	29	14	22	9	13	21	25	17					
10	Число действительных бюллетеней	3949	442	407	499	513	595	272	253	351	446	171					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	46	0	6	4	7	15	3	0	4	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	2	0	7	3	3	2	5	4	3					
14	Число погашенных открепительных удостоверений	104	15	9	11	8	0	12	15	11	10	13					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	73	11	3	7	3	4	10	4	13	12	6					
		1.76%	2.34%	0.70%	1.32%	0.56%	0.64%	3.55%	1.50%	3.49%	2.54%	3.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	135	4	9	17	32	18	16	11	8	8	12					
		3.25%	0.85%	2.11%	3.21%	6.07%	2.91%	5.69%	4.13%	2.15%	1.69%	6.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	85	9	9	13	13	21	7	0	10	2	1					
		2.05%	1.91%	2.11%	2.46%	2.46%	3.40%	2.49%	0.0%	2.68%	0.42%	0.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	30	11	2	4	5	2	1	1	3	0	1					
		0.72%	2.34%	0.46%	0.75%	0.94%	0.32%	0.35%	0.37%	0.80%	0.0%	0.53%					
22	"5. ""За Русь Святую"""	7	0	2	0	3	2	0	0	0	0	0					
		0.16%	0.0%	0.46%	0.0%	0.56%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	1	2	3	5	3	1	2	2	6	0					
		0.60%	0.21%	0.46%	0.56%	0.94%	0.48%	0.35%	0.75%	0.53%	1.27%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	21	2	4	3	2	5	0	3	0	0	2					
		0.50%	0.42%	0.93%	0.56%	0.37%	0.81%	0.0%	1.12%	0.0%	0.0%	1.06%					
25	"8. ""Народно-республиканская партия России"""	12	3	0	0	2	1	0	1	2	2	1					
		0.28%	0.63%	0.0%	0.0%	0.37%	0.16%	0.0%	0.37%	0.53%	0.42%	0.53%					
26	"9. ""Российская экологическая партия ""Зеленые"""	41	0	7	11	6	7	5	1	1	3	0					
		0.98%	0.0%	1.64%	2.08%	1.13%	1.13%	1.77%	0.37%	0.26%	0.63%	0.0%					
27	"10. ""Аграрная партия России"""	112	13	23	15	12	20	11	5	2	8	3					
		2.70%	2.77%	5.39%	2.84%	2.27%	3.24%	3.91%	1.87%	0.53%	1.69%	1.59%					
28	"11. ""Истинные патриоты России"""	10	1	1	1	0	2	2	3	0	0	0					
		0.24%	0.21%	0.23%	0.18%	0.0%	0.32%	0.71%	1.12%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	26	1	0	2	2	10	0	2	2	6	1					
		0.62%	0.21%	0.0%	0.37%	0.37%	1.62%	0.0%	0.75%	0.53%	1.27%	0.53%					
30	"13. ""Демократическая партия России"""	9	1	4	0	0	0	0	1	1	1	1					
		0.21%	0.21%	0.93%	0.0%	0.0%	0.0%	0.0%	0.37%	0.26%	0.21%	0.53%					
31	"14. ""Великая Россия - Евразийский Союз"""	89	8	24	22	5	7	3	0	2	13	5					
		2.14%	1.70%	5.63%	4.16%	0.94%	1.13%	1.06%	0.0%	0.53%	2.76%	2.65%					
32	"15. ""Партия СЛОН"""	4	1	1	0	1	0	0	0	1	0	0					
		0.09%	0.21%	0.23%	0.0%	0.18%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	174	13	22	29	46	38	12	2	3	6	3					
		4.19%	2.77%	5.16%	5.49%	8.72%	6.15%	4.27%	0.75%	0.80%	1.27%	1.59%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	66	14	10	7	5	4	1	2	12	7	4					
		1.59%	2.98%	2.34%	1.32%	0.94%	0.64%	0.35%	0.75%	3.22%	1.48%	2.12%					
35	"18. ""ЛДПР"""	97	7	19	12	19	24	5	1	2	7	1					
		2.34%	1.49%	4.46%	2.27%	3.60%	3.88%	1.77%	0.37%	0.53%	1.48%	0.53%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	49	2	6	10	7	11	1	1	4	4	3					
		1.18%	0.42%	1.40%	1.89%	1.32%	1.78%	0.35%	0.37%	1.07%	0.84%	1.59%					
37	"20. ""Политическая партия ""Единая Россия"""	2294	279	197	281	278	335	144	183	189	295	113					
		55.34%	59.48%	46.24%	53.21%	52.75%	54.29%	51.24%	68.79%	50.80%	62.63%	60.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	1	2	0	0	0	0	1	0	1					
		0.12%	0.0%	0.23%	0.37%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.53%					
39	"22. ""Развитие предпринимательства"""	16	1	3	2	3	3	1	3	0	0	0					
		0.38%	0.21%	0.70%	0.37%	0.56%	0.48%	0.35%	1.12%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	454	47	39	41	50	65	42	22	83	54	11					
		10.95%	10.02%	9.15%	7.76%	9.48%	10.53%	14.94%	8.27%	22.31%	11.46%	5.85%					
																	
41	Против всех	115	13	19	17	14	13	10	5	10	12	2					
		2.77%	2.77%	4.46%	3.21%	2.65%	2.10%	3.55%	1.87%	2.68%	2.54%	1.06%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
