Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																			
Дата голосования: 02.12.2007																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Балашовская																																																																																																			
																																																																																																			
Сводная таблица результатов выборов																																																																																																			
																																																																																																			
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910					
1	"Число избирателей, внесенных в списки избирателей"	95384	1183	1327	864	1405	441	1424	1241	1251	1160	1686	890	818	1842	947	1063	1861	1494	1502	923	818	1202	1369	1324	1641	1283	1199	1207	1040	1362	1635	1471	1213	1092	1701	1351	2786	1517	1905	1245	1301	1922	1233	2338	2037	1686	1004	2444	703	1711	1297	516	286	183	829	1026	619	403	566	245	126	654	229	89	955	248	670	166	316	754	996	319	1261	410	1478	60	527	372	1925	1017	194	270	183	825	283	813	857	594	664	1412	453	1792	440					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89400	1100	1200	800	1200	420	1300	1100	980	1000	1500	880	750	1700	900	1000	1500	1400	1300	840	800	1000	1500	1200	1300	1300	1000	1000	1000	1200	1600	1200	1000	1000	1500	1300	2500	1400	1900	1200	1200	1800	1200	2300	2000	1500	900	2500	660	1600	1200	530	280	170	840	1000	600	400	560	240	120	650	230	85	960	240	690	170	320	760	1000	320	1200	410	1400	55	520	360	1900	1000	200	260	180	810	280	820	870	580	670	1400	450	1800	440					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50781	476	521	421	713	247	587	737	508	569	923	386	400	1158	413	548	896	726	734	435	448	582	848	573	1002	780	665	526	537	739	927	720	573	402	946	570	1868	1067	1099	744	701	1024	703	1294	1065	905	575	1584	409	860	844	293	140	83	743	486	321	223	317	180	80	378	134	62	536	123	345	76	158	391	563	200	598	195	602	21	259	168	988	457	102	173	112	367	140	547	414	295	328	722	276	903	304					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4230	84	97	47	19	136	66	19	165	24	42	54	53	39	45	26	58	24	72	41	29	35	122	49	63	31	39	78	31	22	47	66	60	45	37	35	30	3	68	14	36	50	42	60	50	40	56	25	13	24	21	33	42	22	0	123	51	44	51	13	14	46	23	7	68	52	64	32	40	66	72	8	23	48	43	13	21	39	52	42	26	24	17	48	39	45	103	96	59	67	50	69	3					
6	Число погашенных избирательных бюллетеней	34378	540	582	332	468	37	647	344	307	407	535	440	297	503	442	426	544	650	494	364	323	383	530	578	235	481	296	396	432	439	625	414	367	553	517	695	602	330	733	442	463	726	455	946	885	555	269	891	238	716	335	204	98	65	97	391	228	133	192	47	26	226	73	16	356	65	281	62	122	303	365	112	579	167	755	21	240	153	860	501	72	63	51	395	101	228	353	189	283	611	124	828	133					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4227	84	97	47	19	136	66	19	165	24	42	54	53	39	45	26	58	24	72	41	29	35	122	49	63	31	39	78	31	22	47	66	60	45	37	35	30	3	65	14	36	50	42	60	50	40	56	25	13	24	21	33	42	22	0	123	51	44	51	13	14	46	23	7	68	52	64	32	40	66	72	8	23	48	43	13	21	39	52	42	26	24	17	48	39	45	103	96	59	67	50	69	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50754	476	519	421	713	247	587	737	507	569	923	386	400	1154	413	548	896	726	734	435	448	582	848	573	1002	780	664	526	537	739	927	720	573	401	946	569	1859	1067	1099	744	701	1021	703	1291	1064	905	575	1584	409	860	844	293	140	83	743	486	321	223	317	180	80	378	134	62	536	123	345	76	158	390	563	200	598	195	602	21	259	168	988	457	102	173	112	367	140	547	414	295	328	722	276	903	304					
9	Число недействительных избирательных бюллетеней	1377	11	9	9	15	34	18	10	22	11	15	6	8	19	12	14	17	20	20	9	16	18	23	11	24	15	14	11	38	16	18	18	37	15	18	10	117	15	21	13	20	20	16	25	23	19	8	22	2	11	16	10	13	6	4	64	5	9	10	9	0	21	6	2	21	5	12	1	7	20	11	3	11	6	23	1	8	14	18	9	0	14	0	6	5	13	8	12	13	21	4	18	5					
10	Число действительных избирательных бюллетеней	53604	549	607	459	717	349	635	746	650	582	950	434	445	1174	446	560	937	730	786	467	461	599	947	611	1041	796	689	593	530	745	956	768	596	431	965	594	1772	1055	1143	745	717	1051	729	1326	1091	926	623	1587	420	873	849	316	169	99	739	545	367	258	358	184	94	403	151	67	583	170	397	107	191	436	624	205	610	237	622	33	272	193	1022	490	128	183	129	409	174	579	509	379	374	768	322	954	302					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1963	20	30	20	20	2	30	30	20	20	30	25	20	35	20	28	21	30	30	20	20	20	25	20	30	30	20	20	20	29	25	20	20	20	30	20	60	40	46	20	30	30	20	40	35	34	25	62	20	40	20	15	10	10	40	15	15	15	15	10	10	25	10	5	15	10	25	10	15	15	15	10	15	15	15	5	5	10	28	25	10	10	10	15	10	15	25	16	15	20	10	25	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1656	18	27	10	20	0	30	30	15	20	30	22	20	35	13	28	21	27	30	12	16	17	25	20	27	30	18	15	20	29	23	19	19	10	28	16	60	37	46	20	24	30	20	39	33	34	22	62	17	39	18	10	4	0	35	12	6	7	10	3	0	25	6	0	15	3	18	2	2	14	15	4	11	7	15	0	5	4	26	15	4	3	3	15	0	12	23	7	10	20	8	25	11					
