Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Троицкая																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20344	2588	1143	2110	2404	785	518	89	126	379	61	1193	219	116	66	326	83	554	158	244	365	107	436	250	411	138	539	71	496	555	158	627	143	137	1066	379	58	972	274									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20110	2500	1150	2100	2400	790	520	80	120	380	60	1190	210	110	65	320	80	550	155	240	360	100	430	250	420	140	530	65	490	550	150	620	140	130	1050	370	55	970	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7094	708	383	767	822	254	137	43	70	152	31	413	87	50	21	107	47	236	58	74	181	47	202	109	125	66	177	38	174	224	63	235	61	54	333	136	19	292	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	895	178	48	61	77	16	44	2	4	16	2	74	20	8	13	10	4	21	0	28	9	5	17	11	41	4	17	5	7	20	4	20	8	6	47	10	2	24	12									
6	Число погашенных избирательных бюллетеней	12121	1614	719	1272	1501	520	339	35	46	212	27	703	103	52	31	203	29	293	97	138	170	48	211	130	254	70	336	22	309	306	83	365	71	70	670	224	34	654	160									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	895	178	48	61	77	16	44	2	4	16	2	74	20	8	13	10	4	21	0	28	9	5	17	11	41	4	17	5	7	20	4	20	8	6	47	10	2	24	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7094	708	383	767	822	254	137	43	70	152	31	413	87	50	21	107	47	236	58	74	181	47	202	109	125	66	177	38	174	224	63	235	61	54	333	136	19	292	98									
9	Число недействительных избирательных бюллетеней	194	22	6	17	6	13	1	0	0	1	0	9	1	3	1	2	0	11	2	3	1	3	7	5	2	0	6	2	12	8	2	9	1	1	13	3	0	18	3									
10	Число действительных избирательных бюллетеней	7795	864	425	811	893	257	180	45	74	167	33	478	106	55	33	115	51	246	56	99	189	49	212	115	164	70	188	41	169	236	65	246	68	59	367	143	21	298	107									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	188	20	24	26	25	3	4	2	2	4	2	5	2	2	2	4	2	4	2	2	4	2	2	2	3	2	2	2	2	2	2	4	3	2	4	2	2	7	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	118	16	23	24	25	3	4	0	0	0	0	1	0	0	0	3	0	1	0	0	2	0	0	2	2	1	0	0	2	0	0	0	1	0	2	1	0	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	5	6	3	5	1	0	6	2	1	3	3	3	2	2	2	2	3	2	3	4	3	2	1	3	1	3	3	2	3	2	1	3	4	6	4	1	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	70	4	1	2	0	0	0	2	2	4	2	4	2	2	2	1	2	3	2	2	2	2	2	0	1	1	2	2	0	2	2	4	2	2	2	1	2	3	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	10	3	3	9	1	2	0	0	2	0	3	1	0	1	2	0	1	0	0	1	0	2	1	2	1	2	1	2	1	3	2	1	0	1	2	0	2	0									
