Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Курская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653					
1	"Число избирателей, внесенных в списки"	44463	339	1134	334	463	226	333	516	208	355	441	296	2085	1404	712	492	1677	1249	556	1712	2600	448	467	489	938	638	235	545	1632	332	251	437	165	818	923	797	1419	310	383	1011	404	251	541	1371	950	154	359	190	1286	1087	355	151	226	262	791	614	497	968	924	1215	191	485	1821					
2	"Число бюллетеней, полученных участковыми комиссиями"	42254	330	1102	300	466	212	337	506	204	335	431	288	1941	1358	712	485	1647	1175	500	1500	2000	420	500	494	900	626	231	536	1587	336	245	434	160	812	910	700	1300	305	384	1002	394	251	531	1382	788	140	296	158	1256	1065	350	150	219	264	785	633	483	977	876	1200	180	444	1721					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21449	162	598	145	162	94	135	291	105	216	244	140	945	636	250	211	790	492	270	930	1489	216	209	193	574	311	82	288	851	159	116	261	95	294	330	370	719	133	167	436	185	138	229	732	444	32	136	71	616	544	186	73	80	124	411	311	278	442	423	596	73	294	922					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1893	54	37	39	54	35	55	9	20	20	39	15	8	47	20	4	15	42	42	12	49	12	17	38	8	8	30	16	19	29	22	40	13	0	5	28	60	34	62	32	14	29	13	19	28	46	86	50	28	14	63	31	60	38	94	82	3	28	10	14	39	5	10					
6	Число погашенных бюллетеней	18912	114	467	116	250	83	147	206	79	99	148	133	988	675	442	270	842	641	188	558	462	192	274	263	318	307	119	232	717	148	107	133	52	518	575	302	521	138	155	534	195	84	289	631	316	62	74	37	612	507	101	46	79	102	280	240	202	507	443	590	68	145	789					
7	Число бюллетеней в переносных ящиках для голосования	1893	54	37	39	54	35	55	9	20	20	39	15	8	47	20	4	15	42	42	12	49	12	17	38	8	8	30	16	19	29	22	40	13	0	5	28	60	34	62	32	14	29	13	19	28	46	86	50	28	14	63	31	60	38	94	82	3	28	10	14	39	5	10					
8	Число бюллетеней в стационарных ящиках для голосования	21439	162	595	145	162	94	134	291	105	216	244	140	942	636	247	211	790	492	270	929	1489	216	209	193	574	311	82	288	851	159	116	261	95	294	330	370	719	133	167	436	185	138	229	732	445	32	136	71	616	544	186	73	80	124	411	311	278	442	423	596	73	294	922					
9	Число недействительных бюллетеней	752	9	12	8	3	12	14	23	28	10	12	9	32	19	8	7	19	0	14	2	9	6	8	10	14	18	3	9	37	11	13	26	5	11	5	19	35	0	5	11	14	11	20	48	25	2	6	2	14	32	9	3	2	0	21	21	8	4	0	1	1	8	4					
10	Число действительных бюллетеней	22580	207	620	176	213	117	175	277	97	226	271	146	918	664	259	208	786	534	298	939	1529	222	218	221	568	301	109	295	833	177	125	275	103	283	330	379	744	167	224	457	185	156	222	703	448	76	216	119	630	526	240	101	138	162	484	372	273	466	433	609	111	291	928					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	374	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	49	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	99	0	4	0	0	0	0	2	0	0	0	0	2	0	0	0	4	1	1	5	32	0	0	0	0	0	1	0	1	0	0	0	0	1	4	0	1	0	0	1	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	1	3	0	6	0	3	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	4	6	1	2	2	0	2	4	1	0	0	4	1	2	0	1	2	0	1	5	4	2	1	2	0	1	3	2	1	1	0	0	2	2	2	6	0	4	0	1	1	2	8	2	0	0	0	31	1	0	1	1	0	5	0	3	1	5	4	2	0	8					
14	Число погашенных открепительных удостоверений	275	5	1	5	5	5	5	3	5	5	5	5	3	5	5	5	1	4	4	0	17	5	5	5	5	5	4	5	4	5	5	5	5	4	1	5	4	5	5	4	5	5	4	5	4	5	5	5	1	5	5	5	5	5	5	5	4	2	5	4	5	2	0					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	"1. ""ЕДИНЕНИЕ"""	365	6	5	2	5	2	4	3	1	4	10	1	12	11	5	11	16	5	5	10	16	8	3	4	5	5	1	3	9	6	0	8	4	8	2	10	11	4	4	5	8	2	5	20	7	1	5	0	7	12	11	0	2	3	8	5	4	1	6	11	1	4	8					
		1.56%	2.77%	0.79%	1.08%	2.31%	1.55%	2.11%	1.0%	0.8%	1.69%	3.53%	0.64%	1.26%	1.61%	1.87%	5.11%	1.98%	0.93%	1.60%	1.06%	1.04%	3.50%	1.32%	1.73%	0.85%	1.56%	0.89%	0.98%	1.03%	3.19%	0.0%	2.65%	3.70%	2.72%	0.59%	2.51%	1.41%	2.39%	1.74%	1.06%	4.02%	1.19%	2.06%	2.66%	1.47%	1.28%	2.25%	0.0%	1.08%	2.15%	4.41%	0.0%	1.42%	1.85%	1.58%	1.27%	1.42%	0.21%	1.38%	1.80%	0.89%	1.33%	0.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	296	4	13	3	0	0	3	5	4	5	2	0	9	8	2	1	7	8	5	15	35	3	1	0	3	1	2	3	6	3	1	5	0	3	4	7	6	2	2	7	1	0	8	11	8	0	3	0	6	0	4	1	2	1	5	3	6	6	8	2	2	4	27					
		1.26%	1.85%	2.05%	1.63%	0.0%	0.0%	1.58%	1.66%	3.2%	2.11%	0.70%	0.0%	0.94%	1.17%	0.74%	0.46%	0.86%	1.49%	1.60%	1.59%	2.27%	1.31%	0.44%	0.0%	0.51%	0.31%	1.78%	0.98%	0.68%	1.59%	0.72%	1.66%	0.0%	1.02%	1.19%	1.75%	0.77%	1.19%	0.87%	1.49%	0.50%	0.0%	3.30%	1.46%	1.69%	0.0%	1.35%	0.0%	0.93%	0.0%	1.60%	0.96%	1.42%	0.61%	0.99%	0.76%	2.13%	1.27%	1.84%	0.32%	1.78%	1.33%	2.89%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	579	9	12	9	8	5	13	9	5	11	2	1	37	17	7	10	12	6	6	16	20	8	8	1	14	7	0	9	19	2	3	5	8	9	5	7	22	8	1	12	4	11	2	23	9	2	7	3	24	14	4	6	3	1	12	11	12	10	17	20	0	5	16					
		2.48%	4.16%	1.89%	4.89%	3.70%	3.87%	6.87%	3.0%	4.0%	4.66%	0.70%	0.64%	3.89%	2.48%	2.62%	4.65%	1.49%	1.12%	1.92%	1.70%	1.30%	3.50%	3.53%	0.43%	2.40%	2.19%	0.0%	2.96%	2.18%	1.06%	2.17%	1.66%	7.40%	3.06%	1.49%	1.75%	2.82%	4.79%	0.43%	2.56%	2.01%	6.58%	0.82%	3.06%	1.90%	2.56%	3.15%	2.47%	3.72%	2.50%	1.60%	5.76%	2.14%	0.61%	2.37%	2.79%	4.27%	2.12%	3.92%	3.27%	0.0%	1.67%	1.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	456	2	12	3	1	5	9	2	1	9	3	4	13	8	3	9	17	8	8	46	36	4	4	2	15	3	2	3	12	5	5	3	2	4	2	14	9	3	1	8	4	2	1	16	7	2	6	2	13	11	4	1	5	0	1	2	12	4	11	16	3	7	26					
		1.95%	0.92%	1.89%	1.63%	0.46%	3.87%	4.76%	0.66%	0.8%	3.81%	1.06%	2.58%	1.36%	1.17%	1.12%	4.18%	2.11%	1.49%	2.56%	4.88%	2.34%	1.75%	1.76%	0.86%	2.57%	0.94%	1.78%	0.98%	1.37%	2.65%	3.62%	0.99%	1.85%	1.36%	0.59%	3.51%	1.15%	1.79%	0.43%	1.70%	2.01%	1.19%	0.41%	2.13%	1.47%	2.56%	2.70%	1.65%	2.01%	1.97%	1.60%	0.96%	3.57%	0.0%	0.19%	0.50%	4.27%	0.85%	2.54%	2.62%	2.67%	2.34%	2.78%					
22	"5. ""За Русь Святую"""	159	0	6	0	0	2	2	3	2	2	2	1	7	4	1	0	5	5	4	3	5	2	0	0	3	1	0	1	10	0	0	1	0	3	5	4	2	1	0	0	2	4	2	14	1	2	2	1	6	3	1	0	3	1	5	1	2	3	7	7	0	1	4					
		0.68%	0.0%	0.94%	0.0%	0.0%	1.55%	1.05%	1.0%	1.6%	0.84%	0.70%	0.64%	0.73%	0.58%	0.37%	0.0%	0.62%	0.93%	1.28%	0.31%	0.32%	0.87%	0.0%	0.0%	0.51%	0.31%	0.0%	0.32%	1.14%	0.0%	0.0%	0.33%	0.0%	1.02%	1.49%	1.00%	0.25%	0.59%	0.0%	0.0%	1.00%	2.39%	0.82%	1.86%	0.21%	2.56%	0.90%	0.82%	0.93%	0.53%	0.40%	0.0%	2.14%	0.61%	0.99%	0.25%	0.71%	0.63%	1.61%	1.14%	0.0%	0.33%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	71	0	3	1	0	1	4	0	1	2	0	2	1	0	0	0	0	2	2	2	4	1	3	4	0	1	0	0	1	2	0	2	0	4	1	0	1	0	0	0	0	0	0	6	1	0	1	0	1	2	2	0	1	2	1	2	1	1	0	1	2	0	2					
		0.30%	0.0%	0.47%	0.54%	0.0%	0.77%	2.11%	0.0%	0.8%	0.84%	0.0%	1.29%	0.10%	0.0%	0.0%	0.0%	0.0%	0.37%	0.64%	0.21%	0.26%	0.43%	1.32%	1.73%	0.0%	0.31%	0.0%	0.0%	0.11%	1.06%	0.0%	0.66%	0.0%	1.36%	0.29%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.21%	0.0%	0.45%	0.0%	0.15%	0.35%	0.80%	0.0%	0.71%	1.23%	0.19%	0.50%	0.35%	0.21%	0.0%	0.16%	1.78%	0.0%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	205	0	1	6	1	0	0	3	1	3	5	1	18	6	2	0	4	0	5	9	19	0	1	0	5	3	1	0	12	1	3	0	0	5	3	2	4	0	0	0	0	4	0	5	6	1	0	0	8	5	1	0	1	0	2	1	6	3	5	6	0	2	25					
		0.87%	0.0%	0.15%	3.26%	0.46%	0.0%	0.0%	1.0%	0.8%	1.27%	1.76%	0.64%	1.89%	0.87%	0.74%	0.0%	0.49%	0.0%	1.60%	0.95%	1.23%	0.0%	0.44%	0.0%	0.85%	0.94%	0.89%	0.0%	1.37%	0.53%	2.17%	0.0%	0.0%	1.70%	0.89%	0.50%	0.51%	0.0%	0.0%	0.0%	0.0%	2.39%	0.0%	0.66%	1.26%	1.28%	0.0%	0.0%	1.24%	0.89%	0.40%	0.0%	0.71%	0.0%	0.39%	0.25%	2.13%	0.63%	1.15%	0.98%	0.0%	0.66%	2.68%					
25	"8. ""Народно-республиканская партия России"""	97	0	2	0	0	1	1	4	2	0	1	0	2	1	0	14	1	0	0	0	2	4	2	0	0	2	0	2	0	0	1	0	1	3	1	1	2	0	3	0	0	1	1	2	1	0	1	1	1	0	4	2	1	0	22	2	0	1	1	1	0	1	1					
		0.41%	0.0%	0.31%	0.0%	0.0%	0.77%	0.52%	1.33%	1.6%	0.0%	0.35%	0.0%	0.21%	0.14%	0.0%	6.51%	0.12%	0.0%	0.0%	0.0%	0.13%	1.75%	0.88%	0.0%	0.0%	0.62%	0.0%	0.65%	0.0%	0.0%	0.72%	0.0%	0.92%	1.02%	0.29%	0.25%	0.25%	0.0%	1.31%	0.0%	0.0%	0.59%	0.41%	0.26%	0.21%	0.0%	0.45%	0.82%	0.15%	0.0%	1.60%	1.92%	0.71%	0.0%	4.35%	0.50%	0.0%	0.21%	0.23%	0.16%	0.0%	0.33%	0.10%					
26	"9. ""Российская экологическая партия ""Зеленые"""	73	0	1	0	0	0	1	1	0	1	0	0	2	2	0	3	1	4	3	3	6	1	3	1	1	1	0	0	2	0	0	3	2	0	2	1	1	0	1	0	1	2	0	2	2	0	0	0	3	0	3	1	0	0	1	0	0	1	4	2	0	1	3					
		0.31%	0.0%	0.15%	0.0%	0.0%	0.0%	0.52%	0.33%	0.0%	0.42%	0.0%	0.0%	0.21%	0.29%	0.0%	1.39%	0.12%	0.74%	0.96%	0.31%	0.39%	0.43%	1.32%	0.43%	0.17%	0.31%	0.0%	0.0%	0.22%	0.0%	0.0%	0.99%	1.85%	0.0%	0.59%	0.25%	0.12%	0.0%	0.43%	0.0%	0.50%	1.19%	0.0%	0.26%	0.42%	0.0%	0.0%	0.0%	0.46%	0.0%	1.20%	0.96%	0.0%	0.0%	0.19%	0.0%	0.0%	0.21%	0.92%	0.32%	0.0%	0.33%	0.32%					
27	"10. ""Аграрная партия России"""	1129	23	43	13	12	7	24	46	6	30	19	8	49	71	6	6	45	33	14	8	32	15	7	9	36	13	6	11	41	15	8	17	12	15	13	16	33	5	23	14	0	5	15	29	32	11	9	12	15	20	46	22	7	12	5	7	14	13	6	27	5	7	6					
		4.83%	10.64%	6.80%	7.06%	5.55%	5.42%	12.69%	15.33%	4.8%	12.71%	6.71%	5.16%	5.15%	10.39%	2.24%	2.79%	5.59%	6.17%	4.48%	0.85%	2.08%	6.57%	3.09%	3.89%	6.18%	4.07%	5.35%	3.61%	4.71%	7.97%	5.79%	5.64%	11.11%	5.10%	3.88%	4.02%	4.23%	2.99%	10.04%	2.99%	0.0%	2.99%	6.19%	3.86%	6.76%	14.10%	4.05%	9.91%	2.32%	3.58%	18.47%	21.15%	4.99%	7.40%	0.99%	1.78%	4.98%	2.76%	1.38%	4.42%	4.46%	2.34%	0.64%					
28	"11. ""Истинные патриоты России"""	30	0	0	0	1	1	0	1	0	0	2	1	0	0	0	1	0	2	0	2	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	3	0	0	0	1	0	0	0	0	0	1	2	0					
		0.12%	0.0%	0.0%	0.0%	0.46%	0.77%	0.0%	0.33%	0.0%	0.0%	0.70%	0.64%	0.0%	0.0%	0.0%	0.46%	0.0%	0.37%	0.0%	0.21%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	1.28%	0.90%	0.0%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.66%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	516	9	33	5	9	6	5	8	2	4	4	2	16	6	6	0	22	7	8	39	34	0	5	1	0	4	2	4	12	5	4	3	4	7	17	17	20	6	5	5	7	2	5	22	6	3	2	3	15	11	7	1	1	1	5	9	7	8	10	7	5	10	23					
