Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    район Гольяново 																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	104623	2624	2364	315	2655	2338	2015	2147	2345	2618	1916	2496	2519	2210	2021	2300	2119	2206	1949	2545	2117	2359	2294	2322	2452	2302	2515	2453	2502	2153	2218	2453	2292	2397	2458	2092	2443	2286	2286	1992	2228	2550	2451	2421	2387	2201	2297									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76000	1800	1700	200	1800	1700	1500	1700	1700	1900	1400	1800	1900	1600	1500	1800	1500	1600	1400	1800	1500	1800	1700	1700	1800	1700	1800	1800	1800	1600	1600	1800	1700	1700	1800	1500	1800	1600	1700	1500	1600	1800	1800	1700	1700	1600	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36949	912	661	108	853	1050	1045	609	726	746	943	783	819	671	655	825	655	1188	577	926	630	732	775	692	812	775	713	801	765	755	1194	728	707	801	1395	661	1313	1119	726	649	725	827	724	778	672	777	951									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1217	27	12	2	46	24	18	36	29	37	46	42	31	39	43	32	35	39	28	20	15	23	19	24	40	29	32	21	25	34	26	31	13	21	36	12	30	32	27	20	17	17	30	18	13	17	9									
6	Число погашенных избирательных бюллетеней	37834	861	1027	90	901	626	437	1055	945	1117	411	975	1050	890	802	943	810	373	795	854	855	1045	906	984	948	896	1055	978	1010	811	380	1041	980	878	369	827	457	449	947	831	858	956	1046	904	1015	806	640									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1217	27	12	2	46	24	18	36	29	37	46	42	31	39	43	32	35	39	28	20	15	23	19	24	40	29	32	21	25	34	26	31	13	21	36	12	30	32	27	20	17	17	30	18	13	17	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36850	912	661	108	851	1049	1022	605	726	741	943	783	819	671	643	823	655	1188	577	920	630	732	774	676	805	773	713	800	758	754	1194	728	705	801	1390	661	1313	1119	726	649	725	827	724	776	672	777	951									
9	Число недействительных избирательных бюллетеней	513	14	9	2	17	17	12	9	8	9	4	8	12	9	6	15	7	11	5	10	13	20	7	10	7	14	7	11	17	19	10	18	6	12	15	17	17	9	7	0	13	9	13	16	15	6	21									
10	Число действительных избирательных бюллетеней	37554	925	664	108	880	1056	1028	632	747	769	985	817	838	701	680	840	683	1216	600	930	632	735	786	690	838	788	738	810	766	769	1210	741	712	810	1411	656	1326	1142	746	669	729	835	741	778	670	788	939									
