Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
Наименование Избирательной комиссии:    Аннинская																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в списки"	39758	1127	961	1421	1857	1479	1790	1046	1491	1279	1409	1056	1021	1037	543	556	221	1068	517	195	583	791	317	511	298	349	209	249	436	331	125	1029	348	952	511	369	326	463	176	356	214	679	599	147	132	788	265	1055	503	630	1071	1108	702	981	718	560	233	570					
2	"Число бюллетеней, полученных участковыми комиссиями"	40900	1122	981	1466	1962	1542	1944	1135	1530	1286	1415	965	1029	1083	547	566	238	1054	497	195	537	837	330	525	296	366	212	274	441	321	134	1019	369	984	496	419	328	496	191	388	225	680	610	158	144	808	273	1102	579	680	1104	1150	744	980	741	567	231	604					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27323	846	639	877	1296	879	1171	680	840	792	884	665	635	615	350	464	142	884	287	104	362	531	253	332	192	302	149	168	320	210	94	803	304	714	332	239	237	404	149	230	125	630	569	134	129	661	265	769	290	459	761	825	255	663	427	362	146	478					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5177	26	26	71	54	37	80	63	79	48	54	50	95	124	156	67	79	100	83	62	21	205	18	150	100	43	41	55	54	73	31	201	36	199	158	130	69	43	27	101	85	19	11	7	0	61	0	203	213	140	131	119	419	90	271	152	57	90					
6	Число погашенных бюллетеней	8400	250	316	518	612	626	693	392	611	446	477	250	299	344	41	35	17	70	127	29	154	101	59	43	4	21	22	51	67	38	9	15	29	71	6	50	22	49	15	57	15	31	30	17	15	86	8	130	76	81	212	206	70	227	43	53	28	36					
7	Число бюллетеней в переносных ящиках для голосования	5177	26	26	71	54	37	80	63	79	48	54	50	95	124	156	67	79	100	83	62	21	205	18	150	100	43	41	55	54	73	31	201	36	199	158	130	69	43	27	101	85	19	11	7	0	61	0	203	213	140	131	119	419	90	271	152	57	90					
8	Число бюллетеней в стационарных ящиках для голосования	27288	846	639	877	1296	873	1170	680	840	781	884	665	631	615	350	464	142	884	287	104	362	531	253	332	192	289	149	168	320	210	94	803	304	714	332	239	237	404	149	230	125	630	569	134	129	661	265	769	290	459	761	825	255	663	427	362	146	478					
9	Число недействительных бюллетеней	442	12	10	26	20	15	21	9	23	26	20	18	4	11	8	12	2	7	6	0	4	2	4	1	0	8	7	4	9	13	8	0	5	3	4	0	1	4	0	4	1	3	4	0	0	5	1	8	15	5	10	13	5	21	1	14	5	0					
10	Число действительных бюллетеней	32023	860	655	922	1330	895	1229	734	896	803	918	697	722	728	498	519	219	977	364	166	379	734	267	481	292	324	183	219	365	270	117	1004	335	910	486	369	305	443	176	327	209	646	576	141	129	717	264	964	488	594	882	931	669	732	697	500	198	568					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	12	17	18	18	23	33	18	14	14	17	9	10	10	5	5	5	15	10	5	10	10	8	5	5	5	5	5	5	10	5	9	5	10	5	5	5	5	5	5	10	5	5	5	5	5	9	5	5	9	9	9	9	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	91	2	3	2	6	9	16	6	10	3	2	7	0	0	0	0	0	2	0	0	6	2	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0					
