Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																								
Дата голосования: 04.12.2011																																								
																																								
Наименование Избирательной комиссии:    Каменская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431					
1	"Число избирателей, внесенных в список избирателей"	23906	1227	2050	618	1992	485	465	1014	231	175	323	1028	163	313	748	149	197	1043	2007	280	452	910	227	1407	366	1966	979	185	462	775	736	402	309	222					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	1200	2000	550	1850	400	400	900	200	150	250	900	150	300	650	100	150	1000	1900	250	400	900	200	1300	300	1900	900	150	400	750	700	350	250	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10075	550	1018	274	822	195	155	459	114	80	126	401	89	180	390	67	72	466	837	75	171	353	64	649	136	741	387	100	194	252	320	143	119	76					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1570	19	41	21	126	28	85	94	20	20	59	87	9	10	26	2	21	58	108	65	34	48	14	34	13	50	116	30	34	104	47	23	114	10					
6	Число погашенных избирательных бюллетеней	10355	631	941	255	902	177	160	347	66	50	65	412	52	110	234	31	57	476	955	110	195	499	122	617	151	1109	397	20	172	394	333	184	17	114					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1570	19	41	21	126	28	85	94	20	20	59	87	9	10	26	2	21	58	108	65	34	48	14	34	13	50	116	30	34	104	47	23	114	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10073	550	1017	274	821	195	155	459	114	80	126	401	89	180	390	67	72	466	837	75	171	353	64	649	136	741	387	100	194	252	320	143	119	76					
9	Число недействительных избирательных бюллетеней	280	17	32	11	12	3	2	14	1	2	3	26	4	8	5	7	3	11	13	0	11	7	2	5	1	32	8	0	5	9	12	11	0	3					
10	Число действительных избирательных бюллетеней	11363	552	1026	284	935	220	238	539	133	98	182	462	94	182	411	62	90	513	932	140	194	394	76	678	148	759	495	130	223	347	355	155	233	83					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	12	23	5	21	5	4	22	0	7	7	15	2	3	12	3	0	13	20	2	5	15	2	26	4	15	10	2	5	15	10	4	5	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	262	11	20	5	21	5	4	22	0	5	7	14	0	2	12	1	0	10	16	1	5	14	1	26	2	15	9	1	5	11	9	3	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	348	5	10	36	37	11	6	15	15	6	5	10	4	3	41	5	7	15	10	2	6	7	6	6	6	16	10	6	7	7	4	3	13	8					
