Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Каменская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432					
1	"Число избирателей, внесенных в списки избирателей"	23541	1238	2046	561	1795	472	467	1037	217	168	320	1033	152	327	692	118	171	1005	2033	293	425	897	221	1422	372	1917	837	169	140	428	832	716	376	283	205	156					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22600	1200	2050	500	1750	450	450	1000	200	150	300	1000	150	300	650	100	150	950	2050	250	400	850	200	1400	350	1850	800	150	100	400	800	700	350	250	200	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12696	772	1245	299	903	260	209	550	132	106	136	489	104	226	391	68	95	556	1087	136	222	504	93	775	201	1031	446	102	68	238	353	385	189	127	119	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2021	28	58	39	139	47	98	122	37	24	93	161	13	15	26	11	15	74	142	78	37	90	32	39	21	87	85	24	26	24	126	46	20	106	14	24					
6	Число погашенных избирательных бюллетеней	7883	400	747	162	708	143	143	328	31	20	71	350	33	59	233	21	40	320	821	36	141	256	75	586	128	732	269	24	6	138	321	269	141	17	67	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2021	28	58	39	139	47	98	122	37	24	93	161	13	15	26	11	15	74	142	78	37	90	32	39	21	87	85	24	26	24	126	46	20	106	14	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12694	772	1245	299	903	260	209	550	132	106	136	489	104	226	391	68	95	556	1087	136	222	504	93	775	201	1030	446	102	68	238	352	385	189	127	119	79					
9	Число недействительных избирательных бюллетеней	139	14	12	7	4	3	0	3	1	0	1	0	1	3	6	1	2	8	17	0	1	4	0	10	0	21	12	0	0	2	3	1	1	0	1	0					
10	Число действительных избирательных бюллетеней	14576	786	1291	331	1038	304	307	669	168	130	228	650	116	238	411	78	108	622	1212	214	258	590	125	804	222	1096	519	126	94	260	475	430	208	233	132	103					
