Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Выксунская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №2490	УИК №2491					
1	"Число избирателей, внесенных в списки"	73104	2138	2339	2190	1758	1625	1115	2132	2070	1966	2137	213	2447	2315	1739	1962	2592	2535	1727	1854	2472	2699	2830	2551	1424	1221	1464	905	1724	1659	2280	1749	1030	918	746	690	1488	1389	269	849	1127	548	655	381	411	152	121	847	225	91	271	648	88	328					
2	"Число бюллетеней, полученных участковыми комиссиями"	66004	1910	1865	1960	1550	1454	970	1875	1820	1714	1855	250	2160	2090	1590	1780	2285	2227	1525	1640	2180	2430	2475	2285	1245	1045	1305	815	1580	1540	2035	1532	1000	850	700	600	1500	1350	265	830	1150	550	640	390	420	150	150	882	231	90	270	649	80	270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35914	1129	1141	946	658	717	555	940	1113	1073	1154	213	1342	1284	929	1005	1284	1341	954	792	1232	1357	1464	1198	698	690	631	312	839	688	945	739	480	530	418	373	710	726	127	384	540	234	295	157	163	69	113	368	98	55	172	280	75	184					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1816	26	16	53	45	34	33	66	21	9	67	0	44	35	34	57	28	31	32	38	14	14	49	23	36	4	45	135	34	30	39	50	17	29	26	23	70	48	17	22	25	48	17	48	31	21	8	73	40	5	33	68	0	5					
6	Число погашенных бюллетеней	28274	755	708	961	847	703	382	869	686	632	634	37	774	771	627	718	973	855	539	810	934	1059	962	1064	511	351	629	368	707	822	1051	743	503	291	256	204	720	576	121	424	585	268	328	185	226	60	29	441	93	30	65	301	5	81					
7	Число бюллетеней в переносных ящиках для голосования	1816	26	16	53	45	34	33	66	21	9	67	0	44	35	34	57	28	31	32	38	14	14	49	23	36	4	45	135	34	30	39	50	17	29	26	23	70	48	17	22	25	48	17	48	31	21	8	73	40	5	33	68	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	35909	1129	1141	946	658	717	555	940	1111	1072	1154	213	1341	1284	929	1005	1284	1341	954	792	1232	1357	1464	1198	698	690	631	312	839	688	945	739	480	530	418	373	710	726	127	383	540	234	295	157	163	69	113	368	98	55	172	280	75	184					
9	Число недействительных бюллетеней	561	5	12	12	17	13	13	17	8	8	20	2	24	13	11	17	9	17	10	6	18	17	17	23	2	4	16	5	9	3	23	22	24	30	7	13	11	19	0	10	5	4	4	1	4	1	0	11	2	0	2	10	1	9					
10	Число действительных бюллетеней	37164	1150	1145	987	686	738	575	989	1124	1073	1201	211	1361	1306	952	1045	1303	1355	976	824	1228	1354	1496	1198	732	690	660	442	864	715	961	767	473	529	437	383	769	755	144	395	560	278	308	204	190	89	121	430	136	60	203	338	74	180					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	899	25	25	25	20	20	10	25	25	35	25	0	25	25	20	20	34	25	20	20	25	25	25	25	15	10	15	10	20	20	25	20	10	10	10	10	20	20	10	15	15	10	10	10	10	10	10	10	10	5	10	10	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	386	16	14	11	8	5	5	13	13	24	12	0	22	14	4	6	24	15	13	11	22	21	9	11	8	6	5	4	5	9	7	6	2	4	2	4	5	3	0	4	3	2	0	0	0	2	0	6	1	0	0	1	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	386	1	3	3	1	2	1	17	4	4	10	213	13	9	8	7	5	0	2	1	3	1	4	6	10	6	0	4	1	1	3	1	4	0	3	2	1	2	3	4	2	2	2	1	1	1	1	1	1	4	1	2	1	3					
14	Число погашенных открепительных удостоверений	513	9	11	14	12	15	5	12	12	11	13	0	3	11	16	14	10	10	7	9	3	4	16	14	7	4	10	6	15	11	18	14	8	6	8	6	15	17	10	11	12	8	10	10	10	8	10	4	9	5	10	9	5	6					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	"1. ""ЕДИНЕНИЕ"""	477	9	17	15	3	5	8	16	10	12	12	1	5	14	14	7	22	7	12	7	13	14	21	16	6	8	9	6	13	11	21	13	6	11	5	8	20	20	4	4	8	3	6	6	0	5	1	6	0	2	1	8	1	5					
		1.26%	0.77%	1.46%	1.50%	0.42%	0.66%	1.36%	1.59%	0.88%	1.11%	0.98%	0.46%	0.36%	1.06%	1.45%	0.65%	1.67%	0.51%	1.21%	0.84%	1.04%	1.02%	1.38%	1.31%	0.81%	1.15%	1.33%	1.34%	1.48%	1.53%	2.13%	1.64%	1.20%	1.96%	1.12%	2.02%	2.56%	2.58%	2.77%	0.98%	1.41%	1.06%	1.92%	2.92%	0.0%	5.55%	0.82%	1.36%	0.0%	3.33%	0.48%	2.29%	1.33%	2.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1208	43	59	29	20	25	23	46	39	60	82	4	53	50	27	29	38	67	27	32	43	53	51	48	27	29	17	4	14	6	20	22	9	7	7	18	11	10	1	6	14	2	8	1	2	1	1	5	6	0	3	4	1	4					
		3.20%	3.72%	5.09%	2.90%	2.84%	3.32%	3.91%	4.57%	3.44%	5.55%	6.71%	1.87%	3.82%	3.79%	2.80%	2.73%	2.89%	4.88%	2.73%	3.85%	3.45%	3.86%	3.37%	3.93%	3.67%	4.17%	2.51%	0.89%	1.60%	0.83%	2.03%	2.78%	1.81%	1.25%	1.57%	4.54%	1.41%	1.29%	0.69%	1.48%	2.47%	0.70%	2.56%	0.48%	1.03%	1.11%	0.82%	1.13%	4.34%	0.0%	1.46%	1.14%	1.33%	2.11%					
