Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Хайбуллинская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286					
1	"Число избирателей, внесенных в списки"	21876	336	224	126	112	102	82	123	321	136	338	427	53	383	334	90	113	654	111	459	196	220	797	507	250	419	923	850	620	1127	374	344	212	826	200	143	240	231	140	152	768	189	174	719	306	107	1067	1143	917	646	260	166	146	207	431	650	325	133	227					
2	"Число бюллетеней, полученных участковыми комиссиями"	21787	332	225	126	108	102	83	123	326	139	331	418	55	383	334	90	113	643	110	450	196	220	791	507	249	425	923	850	621	1063	410	344	212	812	200	140	240	230	140	156	771	187	174	707	306	108	1037	1139	1003	646	260	164	146	206	428	601	325	133	226					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20150	309	211	126	100	102	82	119	321	136	324	333	52	380	334	84	111	635	83	450	180	220	747	491	249	415	839	746	599	1001	368	344	212	775	198	137	234	221	140	152	632	185	168	629	306	107	822	915	886	638	260	159	146	191	362	527	303	133	221					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	459	8	4	0	3	0	0	4	0	0	7	14	0	3	0	6	2	8	12	0	16	0	25	5	0	4	56	17	21	13	6	0	0	8	0	3	4	6	0	0	19	0	0	17	0	0	46	36	31	0	0	5	0	10	16	18	1	0	5					
6	Число погашенных бюллетеней	1173	15	10	0	5	0	1	0	5	3	0	71	3	0	0	0	0	0	15	0	0	0	19	11	0	6	24	87	1	49	36	0	0	29	2	0	2	3	0	4	120	2	6	61	0	1	169	188	86	8	0	0	0	5	49	56	21	0	0					
7	Число бюллетеней в переносных ящиках для голосования	459	8	4	0	3	0	0	4	0	0	7	14	0	3	0	6	2	8	12	0	16	0	25	5	0	4	56	17	21	13	6	0	0	8	0	3	4	6	0	0	19	0	0	17	0	0	46	36	31	0	0	5	0	10	16	18	1	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	20148	309	211	126	100	102	82	119	321	136	324	333	52	380	334	84	111	635	83	450	180	220	747	491	249	415	839	746	599	1001	368	344	212	775	198	137	234	221	140	152	632	185	168	629	306	107	822	915	884	638	260	159	146	191	362	527	303	133	221					
9	Число недействительных бюллетеней	161	0	0	1	0	0	0	3	0	0	0	5	0	0	0	0	0	0	4	1	2	3	15	2	2	0	8	17	2	3	0	1	0	20	1	7	0	0	2	0	3	0	0	36	1	2	5	0	11	0	0	0	0	1	0	3	0	0	0					
10	Число действительных бюллетеней	20446	317	215	125	103	102	82	120	321	136	331	342	52	383	334	90	113	643	91	449	194	217	757	494	247	419	887	746	618	1011	374	343	212	763	197	133	238	227	138	152	648	185	168	610	305	105	863	951	904	638	260	164	146	200	378	542	304	133	226					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	4	3	3	3	2	2	3	5	3	4	5	2	5	5	2	3	7	3	6	3	3	9	6	3	5	12	10	8	13	2	5	3	11	3	0	1	4	3	3	15	3	3	9	4	3	12	14	15	8	3	3	3	3	5	15	0	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	169	3	2	2	3	1	0	1	4	1	4	3	0	0	1	0	0	2	0	6	3	0	8	6	0	2	12	10	8	8	2	1	0	6	1	0	1	1	0	2	12	0	0	5	0	0	6	5	5	8	1	1	0	1	3	15	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	101	1	1	1	0	1	1	0	1	0	0	3	0	3	0	0	0	4	2	1	0	3	4	0	1	2	0	15	7	10	2	1	1	0	0	0	0	1	1	0	9	2	0	2	0	0	0	4	4	4	0	2	2	0	0	2	3	0	0					
14	Число погашенных открепительных удостоверений	131	1	1	1	0	1	2	2	1	2	0	2	2	5	4	2	3	5	3	0	0	3	1	0	3	3	0	0	0	5	0	4	3	5	2	0	0	3	3	1	3	3	3	4	4	3	6	9	10	0	2	2	3	2	2	0	0	2	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
