Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Акшинская 																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144					
1	"Число избирателей, внесенных в списки"	8868	3294	322	174	238	729	731	551	139	251	288	175	878	516	233	349					
2	"Число бюллетеней, полученных участковыми комиссиями"	8996	3376	300	170	250	710	750	550	140	310	290	180	900	500	220	350					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4923	1495	203	96	142	426	385	335	107	236	167	88	552	292	175	224					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	467	143	27	19	27	37	34	27	5	15	16	17	44	34	0	22					
6	Число погашенных бюллетеней	3606	1738	70	55	81	247	331	188	28	59	107	75	304	174	45	104					
7	Число бюллетеней в переносных ящиках для голосования	467	143	27	19	27	37	34	27	5	15	16	17	44	34	0	22					
8	Число бюллетеней в стационарных ящиках для голосования	4923	1495	203	96	142	426	385	335	107	236	167	88	552	292	175	224					
9	Число недействительных бюллетеней	101	17	2	7	4	13	11	9	0	3	3	5	13	4	5	5					
10	Число действительных бюллетеней	5289	1621	228	108	165	450	408	353	112	248	180	100	583	322	170	241					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	56	8	12	16	8	40	10	6	21	12	9	45	28	9	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	20	0	0	0	0	3	0	0	1	0	0	4	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	3	1	1	0	0	2	2	1	1	1	1	2	0	3	1					
14	Число погашенных открепительных удостоверений	271	36	8	12	16	8	37	10	6	20	12	9	41	27	9	20					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	103	21	10	2	6	7	5	11	4	6	6	3	3	7	7	5					
		1.91%	1.28%	4.34%	1.73%	3.55%	1.51%	1.19%	3.03%	3.57%	2.39%	3.27%	2.85%	0.50%	2.14%	4.0%	2.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	28	6	5	0	3	3	0	0	0	3	0	0	5	3	0	0					
		0.51%	0.36%	2.17%	0.0%	1.77%	0.64%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.83%	0.92%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	140	37	6	4	11	22	15	5	0	1	3	3	14	11	4	4					
		2.59%	2.25%	2.60%	3.47%	6.50%	4.75%	3.57%	1.38%	0.0%	0.39%	1.63%	2.85%	2.34%	3.37%	2.28%	1.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	143	30	1	3	6	12	5	4	9	4	1	3	40	4	15	6					
		2.65%	1.83%	0.43%	2.60%	3.55%	2.59%	1.19%	1.10%	8.03%	1.59%	0.54%	2.85%	6.71%	1.22%	8.57%	2.43%					
22	"5. ""За Русь Святую"""	17	3	3	0	1	2	1	1	1	3	2	0	0	0	0	0					
		0.31%	0.18%	1.30%	0.0%	0.59%	0.43%	0.23%	0.27%	0.89%	1.19%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	4	0	0	0	1	0	0	0	1	0	0	0	2	2	1					
		0.20%	0.24%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.61%	1.14%	0.40%					
24	"7. ""Новый курс - Автомобильная Россия"""	14	7	1	0	0	0	3	1	0	0	0	0	1	1	0	0					
		0.25%	0.42%	0.43%	0.0%	0.0%	0.0%	0.71%	0.27%	0.0%	0.0%	0.0%	0.0%	0.16%	0.30%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0					
		0.05%	0.06%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0					
		0.11%	0.18%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	457	109	3	9	20	59	41	34	14	42	15	3	45	28	11	24					
		8.47%	6.65%	1.30%	7.82%	11.83%	12.74%	9.78%	9.39%	12.49%	16.73%	8.19%	2.85%	7.55%	8.58%	6.28%	9.75%					
28	"11. ""Истинные патриоты России"""	11	2	1	2	0	1	0	1	0	0	0	0	1	2	0	1					
		0.20%	0.12%	0.43%	1.73%	0.0%	0.21%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.16%	0.61%	0.0%	0.40%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	107	31	5	0	3	9	7	9	16	1	4	2	14	1	2	3					
		1.98%	1.89%	2.17%	0.0%	1.77%	1.94%	1.67%	2.48%	14.28%	0.39%	2.18%	1.90%	2.34%	0.30%	1.14%	1.21%					
30	"13. ""Демократическая партия России"""	14	7	1	0	0	0	1	0	0	2	1	0	1	0	0	1					
		0.25%	0.42%	0.43%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.79%	0.54%	0.0%	0.16%	0.0%	0.0%	0.40%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0					
		0.11%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	112	42	2	4	5	15	4	2	0	13	6	0	3	15	1	0					
		2.07%	2.56%	0.86%	3.47%	2.95%	3.23%	0.95%	0.55%	0.0%	5.17%	3.27%	0.0%	0.50%	4.60%	0.57%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	16	1	1	0	0	1	1	0	0	2	0	0	2	2	4	2					
		0.29%	0.06%	0.43%	0.0%	0.0%	0.21%	0.23%	0.0%	0.0%	0.79%	0.0%	0.0%	0.33%	0.61%	2.28%	0.81%					
