Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Домодедовская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №2006									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	120619	1873	1436	1493	1777	1690	1592	1356	1471	1478	1307	1713	960	1465	1622	1342	1138	1750	1793	1509	1060	1651	1891	1568	1609	1310	1467	1518	2442	1475	2036	2071	2165	2196	1738	1708	1574	1652	1834	1733	1913	1725	1762	1287	981	848	1582	1230	997	684	1635	1442	1684	655	1349	1674	1268	1276	1202	1414	291	262	969	316	1345	1319	1738	1366	821	1414	1648	225	205	1015	1105	1916	2194	1773	1161	1662	533	1601	2112	266	419	102	2770									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90400	1400	1100	1100	1300	1200	1200	1000	1100	1250	1000	1200	700	1100	1200	1000	800	1300	1300	1100	800	1200	1500	1200	1200	1000	1000	1000	1800	1100	1500	1500	1600	1500	1300	1300	1200	1200	1300	1300	1500	1200	1300	1000	700	600	1000	1000	700	500	1200	1000	1200	500	1000	1200	800	1000	1000	1000	300	200	700	300	1000	1000	1300	1000	600	1000	1200	200	200	1000	800	1500	1500	1300	1000	1200	500	1000	1550	300	1000	500	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44836	616	479	451	574	653	526	496	504	511	431	603	311	526	591	483	426	553	568	454	325	608	722	543	574	531	492	479	786	701	783	703	721	732	634	564	688	670	612	546	624	564	990	482	450	403	632	497	367	233	470	457	633	323	490	587	453	743	307	486	134	46	344	100	520	513	575	549	323	408	593	29	68	519	351	689	769	818	582	639	191	656	1547	111	419	102	880									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2171	4	7	20	15	5	12	8	6	7	13	11	13	12	16	5	9	15	9	10	10	15	4	5	2	2	0	11	29	34	2	8	17	4	4	23	18	21	42	6	53	10	55	55	38	5	13	30	17	48	79	75	99	7	38	68	43	25	20	35	20	112	28	31	32	63	54	10	8	63	36	57	31	55	16	13	10	59	56	13	5	3	0	129	0	0	0									
6	Число погашенных избирательных бюллетеней	43393	780	614	629	711	542	662	496	590	732	556	586	376	562	593	512	365	732	723	636	465	577	774	652	624	467	508	510	985	365	715	789	862	764	662	713	494	509	646	748	823	626	255	463	212	192	355	473	316	219	651	468	468	170	472	545	304	232	673	479	146	42	328	169	448	424	671	441	269	529	571	114	101	426	433	798	721	423	362	548	304	341	3	60	581	398	1120									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2171	4	7	20	15	5	12	8	6	7	13	11	13	12	16	5	9	15	9	10	10	15	4	5	2	2	0	11	29	34	2	8	17	4	4	23	18	21	42	6	53	10	55	55	38	5	13	30	17	48	79	75	99	7	38	68	43	25	20	35	20	112	28	31	32	63	54	10	8	63	36	57	31	55	16	13	10	59	56	13	5	3	0	129	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44721	616	479	451	574	645	526	496	503	511	430	601	311	526	591	483	426	553	559	454	323	608	722	543	574	529	489	479	786	701	782	703	721	731	634	564	688	661	612	546	624	564	990	482	450	402	632	497	367	233	470	457	633	323	490	587	453	743	307	486	134	46	344	100	520	513	575	549	323	408	593	29	68	519	351	689	769	818	511	639	190	656	1547	111	418	102	878									
9	Число недействительных избирательных бюллетеней	1149	2	19	18	20	26	7	21	9	16	22	20	7	12	9	8	11	9	23	26	8	13	25	6	22	13	3	9	22	9	12	0	16	9	19	19	15	18	18	28	20	14	2	11	6	10	18	15	3	8	11	17	30	8	23	18	20	5	25	13	0	0	14	0	18	5	23	18	13	8	18	0	2	22	9	10	28	18	8	18	3	12	13	8	11	2	22									
10	Число действительных избирательных бюллетеней	45743	618	467	453	569	624	531	483	500	502	421	592	317	526	598	480	424	559	545	438	325	610	701	542	554	518	486	481	793	726	772	711	722	726	619	568	691	664	636	524	657	560	1043	526	482	397	627	512	381	273	538	515	702	322	505	637	476	763	302	508	154	158	358	131	534	571	606	541	318	463	611	86	97	552	358	692	751	859	559	634	192	647	1534	232	407	100	856									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1305	20	10	12	15	10	15	20	15	10	10	20	10	25	30	15	10	20	20	10	10	10	15	20	20	10	10	10	20	20	30	15	15	25	10	15	12	20	30	20	13	10	20	15	15	10	30	20	10	10	10	15	20	10	10	12	45	30	10	10	10	10	10	10	10	15	15	11	10	10	20	10	10	20	10	20	20	10	10	15	10	40	10	0	0	0	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1057	15	3	11	13	7	13	17	11	7	6	16	7	22	20	12	4	15	17	9	4	9	10	11	12	9	8	5	16	18	29	12	15	22	9	10	9	20	24	20	12	10	20	15	15	7	16	20	10	2	10	13	20	6	10	12	45	27	9	10	10	10	6	3	6	15	12	11	1	6	20	10	1	20	7	14	14	10	10	15	7	36	10	0	0	0	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1577	5	4	4	7	6	5	9	10	5	6	21	10	30	3	5	4	11	20	9	25	10	15	5	15	8	2	7	10	13	47	6	19	11	16	0	10	26	3	15	13	5	11	23	12	55	22	15	21	11	14	24	20	4	10	12	14	14	15	5	5	0	13	2	4	5	10	14	4	14	20	0	11	23	34	17	10	6	14	35	1	2	3	4	418	102	49									
