Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Уральская поселковая												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №2604									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1775	1775									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1700	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1052	1052									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9	9									
6	Число погашенных избирательных бюллетеней	639	639									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	9	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1052	1052									
9	Число недействительных избирательных бюллетеней	36	36									
10	Число действительных избирательных бюллетеней	1025	1025									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	93	93									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	18									
14	Число погашенных неиспользованных открепительных удостоверений	78	78									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	7									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	17									
		1.60%	1.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	14	14									
		1.32%	1.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	25	25									
		2.36%	2.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	561	561									
		52.87%	52.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	13									
		1.23%	1.23%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	3									
		0.28%	0.28%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	213	213									
		20.08%	20.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	7									
		0.66%	0.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	11									
		1.04%	1.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	4									
		0.38%	0.38%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	15									
		1.41%	1.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	70	70									
		6.60%	6.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	6									
		0.57%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	66	66									
		6.22%	6.22%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
