Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Сертоловская городская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
1	"Число избирателей, внесенных в список"	27944	1702	1912	1911	2407	2845	1842	2176	2454	2483	1911	1329	2795	2177					
2	Число полученных избирательных бюллетеней	27600	1700	1900	1900	2400	2800	1800	2100	2400	2400	1900	1300	2800	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16434	1057	1169	1126	1417	1699	1056	1186	1624	1414	1084	753	1675	1174					
5	"Число избирательных бюллетеней, выданных вне помещения"	244	13	30	25	11	31	8	11	15	2	37	49	3	9					
6	Число погашенных избирательных бюллетеней	10922	630	701	749	972	1070	736	903	761	984	779	498	1122	1017					
7	Число избирательных бюллетеней в переносных ящиках	244	13	30	25	11	31	8	11	15	2	37	49	3	9					
8	Число бюллетеней в стационарных ящиках для голосования	16432	1057	1169	1126	1417	1699	1056	1186	1624	1412	1084	753	1675	1174					
9	Число недействительных избирательных бюллетеней	79	7	0	2	9	10	4	2	12	6	14	2	3	8					
10	Число действительных избирательных бюллетеней	16597	1063	1199	1149	1419	1720	1060	1195	1627	1408	1107	800	1675	1175					
11	Число полученных открепительных  удостоверений	422	19	80	20	21	55	10	26	50	24	27	30	30	30					
12	Число выданных открепительных удостоверений	380	19	66	20	21	51	10	24	41	23	27	18	30	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	142	11	10	6	16	9	6	7	6	34	6	17	9	5					
14	Число неиспользованных открепительных удостоверений	42	0	14	0	0	4	0	2	9	1	0	12	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	3	1	4	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	605	42	34	45	66	55	36	53	27	79	31	17	78	42					
		3.63%	3.93%	2.84%	3.91%	4.62%	3.18%	3.38%	4.43%	1.65%	5.59%	2.77%	2.12%	4.65%	3.55%					
19	. Малышкин Олег Александрович	152	6	10	19	9	9	9	15	29	12	11	5	10	8					
		0.91%	0.56%	0.83%	1.65%	0.63%	0.52%	0.85%	1.25%	1.77%	0.85%	0.98%	0.62%	0.60%	0.68%					
20	. Миронов Сергей Михайлович	216	12	8	14	21	16	11	11	16	30	18	12	30	17					
		1.30%	1.12%	0.67%	1.22%	1.47%	0.92%	1.03%	0.92%	0.98%	2.12%	1.61%	1.50%	1.79%	1.44%					
21	. Путин Владимир Владимирович	12924	805	969	876	1022	1383	846	919	1376	1054	866	641	1255	912					
		77.50%	75.23%	80.82%	76.11%	71.57%	79.94%	79.51%	76.78%	83.95%	74.54%	77.25%	79.93%	74.79%	77.09%					
22	. Хакамада Ирина Муцуовна	683	39	39	33	62	71	44	54	43	65	52	23	101	57					
		4.10%	3.64%	3.25%	2.87%	4.34%	4.10%	4.14%	4.51%	2.62%	4.60%	4.64%	2.87%	6.02%	4.82%					
23	. Харитонов Николай Михайлович	1334	117	89	109	161	135	73	94	89	111	80	66	123	87					
		8.00%	10.93%	7.42%	9.47%	11.27%	7.80%	6.86%	7.85%	5.43%	7.85%	7.14%	8.23%	7.33%	7.35%					
																				
24	Против всех	683	42	50	53	78	51	41	49	47	57	49	36	78	52					
		4.10%	3.93%	4.17%	4.60%	5.46%	2.95%	3.85%	4.09%	2.87%	4.03%	4.37%	4.49%	4.65%	4.40%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
