Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    район Орехово-Борисово Южное																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87383	2684	2593	2501	2643	2355	2460	1620	2014	2236	2556	2494	2305	2337	2380	2449	2028	2257	2092	2154	2438	2638	2175	2699	2547	2508	2691	2729	2588	2558	2016	2673	2473	2642	2915	2313	2622									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62000	1900	1850	1800	1900	1700	1700	1150	1450	1600	1800	1750	1650	1650	1700	1750	1450	1600	1500	1500	1750	1900	1550	1900	1800	1800	1900	1950	1850	1850	1450	1850	1750	1900	1900	1650	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30340	850	829	902	951	769	892	563	717	711	774	924	781	740	827	869	749	913	739	786	758	1035	869	877	819	1077	1004	826	840	878	634	1076	922	1076	866	701	796									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	660	18	28	35	26	25	20	11	27	13	17	16	26	21	15	12	15	31	17	13	19	13	14	23	34	9	13	9	15	45	3	7	14	11	17	14	14									
6	Число погашенных избирательных бюллетеней	31000	1032	993	863	923	906	788	576	706	876	1009	810	843	889	858	869	686	656	744	701	973	852	667	1000	947	714	883	1115	995	927	813	767	814	813	1017	935	1040									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	660	18	28	35	26	25	20	11	27	13	17	16	26	21	15	12	15	31	17	13	19	13	14	23	34	9	13	9	15	45	3	7	14	11	17	14	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30297	850	826	899	951	767	892	563	710	707	772	922	781	738	825	868	746	913	739	783	758	1035	869	877	812	1077	1004	826	840	877	634	1076	922	1076	866	701	795									
9	Число недействительных избирательных бюллетеней	534	13	19	20	12	15	21	10	11	13	17	19	16	19	21	19	9	16	15	14	13	1	0	0	12	48	15	22	15	14	14	8	10	9	19	19	16									
10	Число действительных избирательных бюллетеней	30423	855	835	914	965	777	891	564	726	707	772	919	791	740	819	861	752	928	741	782	764	1047	883	900	834	1038	1002	813	840	908	623	1075	926	1078	864	696	793									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1075	25	30	30	25	35	35	30	30	25	25	25	30	25	25	35	30	30	30	35	25	30	25	25	35	30	25	35	35	35	35	30	35	35	25	35	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	596	10	18	15	12	18	15	12	12	12	10	19	12	12	18	19	14	19	14	21	11	12	12	10	26	15	14	22	27	23	33	14	25	21	12	22	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	590	22	12	5	19	6	61	18	8	13	10	45	5	17	8	35	21	9	17	12	11	6	11	5	13	18	4	7	5	9	45	54	8	4	25	6	16									
14	Число погашенных неиспользованных открепительных удостоверений	479	15	12	15	13	17	20	18	18	13	15	6	18	13	7	16	16	11	16	14	14	18	13	15	9	15	11	13	8	12	2	16	10	14	13	13	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	100	4	2	7	3	4	2	3	1	1	3	9	3	6	0	3	3	3	3	3	3	2	2	2	1	1	0	13	0	2	0	1	2	2	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	925	25	24	24	34	33	26	18	17	32	32	19	32	16	36	24	24	28	34	14	34	27	16	30	23	14	32	20	29	19	15	34	24	35	31	25	25									
