Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Спасская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14996	589	649	629	664	643	581	744	702	749	625	380	113	343	214	181	264	153	486	594	73	96	311	121	523	197	492	155	239	215	211	192	247	300	363	372	333	97	261	100	198	597									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15516	661	703	693	738	674	627	761	712	795	668	400	113	344	214	181	266	153	486	599	73	96	311	122	526	197	494	156	246	221	211	193	252	300	370	372	333	97	261	100	199	598									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13969	495	457	553	499	621	556	718	680	706	523	296	109	336	210	179	252	151	479	576	72	96	303	115	511	192	479	155	237	214	200	192	246	299	360	369	330	94	258	98	196	557									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	374	8	65	22	36	12	4	13	6	19	24	64	2	4	3	0	10	0	0	14	0	0	5	5	7	0	10	0	0	0	0	0	0	0	0	0	3	2	0	0	0	36									
6	Число погашенных избирательных бюллетеней	1173	158	181	118	203	41	67	30	26	70	121	40	2	4	1	2	4	2	7	9	1	0	3	2	8	5	5	1	9	7	11	1	6	1	10	3	0	1	3	2	3	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	374	8	65	22	36	12	4	13	6	19	24	64	2	4	3	0	10	0	0	14	0	0	5	5	7	0	10	0	0	0	0	0	0	0	0	0	3	2	0	0	0	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13941	495	457	553	499	621	552	694	680	706	523	296	109	336	210	179	252	151	479	576	72	96	303	115	511	192	479	155	237	214	200	192	246	299	360	369	330	94	258	98	196	557									
9	Число недействительных избирательных бюллетеней	20	0	6	8	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
10	Число действительных избирательных бюллетеней	14295	503	516	567	535	632	556	707	686	725	545	360	111	340	213	179	262	151	479	590	72	96	308	120	518	192	487	155	237	214	200	192	246	299	360	369	333	96	258	98	196	592									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	10	13	21	15	20	13	10	15	24	26	9	3	1	0	0	0	2	5	10	0	0	3	4	3	1	6	1	2	3	10	5	3	0	10	0	3	1	0	0	3	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	243	10	11	21	15	20	13	10	15	24	26	9	3	1	0	0	0	2	2	10	0	0	3	4	3	1	6	1	2	3	10	0	3	0	8	0	3	1	0	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	0	1	3	5	7	8	3	8	13	0	5	2	2	1	1	0	3	0	6	0	0	4	3	2	0	4	0	1	0	0	1	1	2	1	1	1	0	0	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	395	68	46	46	66	15	49	14	18	44	10	14	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	0	1	1	1	0	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.07%	0.00%	0.19%	0.17%	0.19%	0.00%	0.00%	0.00%	0.15%	0.28%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	206	43	29	24	10	3	19	10	7	8	2	14	4	1	0	1	0	5	2	1	0	0	1	1	0	5	2	1	1	0	1	1	1	0	1	1	0	0	5	0	0	2									
		1.44%	8.55%	5.56%	4.17%	1.87%	0.47%	3.42%	1.41%	1.02%	1.10%	0.37%	3.89%	3.60%	0.29%	0.00%	0.56%	0.00%	3.31%	0.42%	0.17%	0.00%	0.00%	0.32%	0.83%	0.00%	2.60%	0.41%	0.65%	0.42%	0.00%	0.50%	0.52%	0.41%	0.00%	0.28%	0.27%	0.00%	0.00%	1.94%	0.00%	0.00%	0.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	18	0	4	3	1	1	0	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.77%	0.52%	0.19%	0.16%	0.00%	0.00%	0.15%	0.28%	0.00%	0.00%	1.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.52%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13477	433	412	467	453	603	522	672	649	681	501	331	97	335	211	175	221	112	469	584	69	95	303	118	512	181	480	152	232	213	198	190	243	296	357	366	331	96	247	97	194	579									
		94.15%	86.08%	78.93%	81.22%	84.67%	95.26%	93.88%	95.05%	94.61%	93.93%	91.59%	91.94%	87.39%	98.53%	99.06%	97.77%	84.35%	74.17%	97.91%	98.98%	95.83%	98.96%	98.38%	98.33%	98.84%	94.27%	98.16%	98.06%	97.89%	99.53%	99.00%	98.96%	98.78%	98.99%	99.17%	99.19%	99.40%	100.00%	95.74%	98.98%	98.98%	97.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	6	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.04%	0.00%	0.00%	0.17%	0.19%	0.00%	0.00%	0.00%	0.29%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.17%	0.19%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
