Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Сармановская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567					
1	"Число избирателей, внесенных в список избирателей"	28149	362	224	135	671	94	358	390	226	514	261	208	163	217	74	238	244	359	384	117	58	258	140	454	160	259	866	167	115	303	132	507	177	188	156	191	446	147	521	353	292	308	549	1241	674	528	1109	1252	195	1408	1446	1557	1539	775	1572	1373	1494					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28828	370	227	137	675	94	362	392	229	524	265	213	164	219	75	238	248	366	391	117	60	264	146	463	161	260	878	171	115	310	134	510	184	191	158	192	448	148	521	358	299	308	556	1261	686	543	1130	1272	198	1442	1551	1632	1588	805	1633	1403	1543					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27158	351	224	135	652	94	343	372	209	514	249	197	160	207	68	231	230	354	377	117	58	254	140	454	151	247	846	162	105	292	129	507	177	184	156	190	438	139	472	348	292	294	543	1203	653	514	1081	1201	195	1327	1441	1490	1457	715	1502	1294	1423					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	478	11	0	0	19	0	15	18	17	0	12	11	3	10	6	5	14	5	5	0	0	3	0	0	9	12	17	5	10	11	3	0	0	4	0	1	5	8	35	5	0	14	0	12	8	7	15	32	0	11	5	11	20	13	14	19	18					
6	Число погашенных избирательных бюллетеней	1192	8	3	2	4	0	4	2	3	10	4	5	1	2	1	2	4	7	9	0	2	7	6	9	1	1	15	4	0	7	2	3	7	3	2	1	5	1	14	5	7	0	13	46	25	22	34	39	3	104	105	131	111	77	117	90	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	478	11	0	0	19	0	15	18	17	0	12	11	3	10	6	5	14	5	5	0	0	3	0	0	9	12	17	5	10	11	3	0	0	4	0	1	5	8	35	5	0	14	0	12	8	7	15	32	0	11	5	11	20	13	14	19	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27158	351	224	135	652	94	343	372	209	514	249	197	160	207	68	231	230	354	377	117	58	254	140	454	151	247	846	162	105	292	129	507	177	184	156	190	438	139	472	348	292	294	543	1203	653	514	1081	1201	195	1327	1441	1490	1457	715	1502	1294	1423					
9	Число недействительных избирательных бюллетеней	105	0	0	0	11	1	4	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	2	3	0	0	14	28	3	5	5	2	6	3					
10	Число действительных избирательных бюллетеней	27531	362	224	135	660	93	354	379	226	512	261	208	163	217	74	236	244	359	382	117	58	257	140	454	160	259	863	167	115	303	132	507	177	188	156	191	443	146	506	350	292	308	543	1215	661	519	1093	1233	195	1324	1418	1498	1472	723	1514	1307	1438					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	796	10	6	6	16	6	10	10	6	10	6	6	6	6	6	6	6	10	6	6	6	6	6	10	6	6	20	6	6	10	6	10	6	6	6	6	10	6	6	6	6	6	10	32	10	10	26	20	6	40	50	50	40	50	50	40	56					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	286	2	0	0	4	0	2	0	0	0	0	0	2	0	0	0	0	1	5	0	0	1	1	2	0	0	1	2	0	1	0	1	2	0	0	0	1	0	3	0	0	2	3	7	5	10	9	4	0	18	24	47	23	13	41	29	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	154	0	0	0	12	2	3	3	0	0	0	0	3	11	0	2	0	0	4	0	0	0	0	2	1	3	3	0	0	0	0	6	0	0	0	2	7	3	5	1	0	8	2	8	6	3	7	0	0	2	8	2	1	2	10	14	8					
14	Число погашенных неиспользованных открепительных удостоверений	510	8	6	6	12	6	8	10	6	10	6	6	4	6	6	6	6	9	1	6	6	5	5	8	6	6	19	4	6	9	6	9	4	6	6	6	9	6	3	6	6	4	7	25	5	0	17	16	6	22	26	3	17	37	9	11	36					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
