Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Сармановская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582					
1	"Число избирателей, внесенных в списки избирателей"	27129	331	213	130	613	91	327	368	207	493	254	213	150	209	86	232	250	366	375	109	65	258	130	466	164	277	821	163	124	313	132	456	182	192	161	213	447	140	513	334	298	301	496	1009	602	500	937	1335	181	1352	1592	1755	1194	1140	1301	1276	1292					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26813	328	213	130	612	91	329	370	207	492	255	213	150	202	86	221	250	357	367	109	65	258	130	466	165	277	840	173	123	313	129	456	182	193	160	213	438	144	506	334	300	304	484	1012	580	485	910	1280	181	1330	1565	1710	1200	1100	1280	1270	1275					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25796	309	203	130	559	91	308	352	182	482	241	200	143	193	79	213	237	347	356	109	65	232	130	438	149	259	789	150	111	305	124	453	181	185	157	213	424	127	470	332	290	281	484	979	574	474	878	1250	181	1296	1533	1692	1146	1042	1240	1197	1231					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	714	19	10	0	53	0	19	16	25	10	13	13	7	9	7	8	13	10	11	0	0	26	0	28	15	18	27	13	12	8	5	3	1	7	3	0	14	13	36	2	8	20	0	12	6	11	18	30	0	14	17	15	14	27	21	23	4					
6	Число погашенных избирательных бюллетеней	303	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	10	0	0	0	0	0	1	0	0	0	4	0	0	2	3	0	21	0	0	14	0	0	20	15	3	40	31	19	50	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	714	19	10	0	53	0	19	16	25	10	13	13	7	9	7	8	13	10	11	0	0	26	0	28	15	18	27	13	12	8	5	3	1	7	3	0	14	13	36	2	8	20	0	12	6	11	18	30	0	14	17	15	14	27	21	23	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25796	309	203	130	559	91	308	352	182	482	241	200	143	193	79	213	237	347	356	109	65	232	130	438	149	259	789	150	111	305	124	453	181	185	157	213	424	127	470	332	290	281	484	979	574	474	878	1250	181	1296	1533	1692	1146	1042	1240	1197	1231					
9	Число недействительных избирательных бюллетеней	104	0	1	0	2	0	1	0	0	0	0	3	1	0	1	0	0	3	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	16	9	5	1	0	0	1	0	7	1	0	10	2	2	15	3	7	0	6					
10	Число действительных избирательных бюллетеней	26406	328	212	130	610	91	326	368	207	492	254	210	149	202	85	221	250	354	367	109	65	258	130	461	164	276	816	163	123	313	129	456	182	191	160	213	438	140	490	325	293	300	484	991	579	485	889	1279	181	1300	1548	1705	1145	1066	1254	1220	1229					
