Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Ивановская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344					
1	"Число избирателей, внесенных в список избирателей"	20197	1657	1937	1834	130	189	700	365	484	241	174	415	512	886	253	125	652	1392	1218	839	605	331	470	530	1200	1363	564	472	659					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20390	1600	1980	1880	130	175	710	370	480	250	175	430	495	920	250	120	670	1410	1250	900	655	310	475	540	1220	1260	580	480	675					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10219	743	890	923	92	122	331	188	247	142	118	246	210	458	137	87	347	650	511	538	275	222	307	315	610	664	386	190	270					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	890	80	93	54	6	9	49	27	33	13	13	12	93	61	6	13	39	31	29	2	27	24	21	15	48	32	18	24	18					
6	Число погашенных избирательных бюллетеней	9281	777	997	903	32	44	330	155	200	95	44	172	192	401	107	20	284	729	710	360	353	64	147	210	562	564	176	266	387					
7	Число избирательных бюллетеней в переносных ящиках для голосования	890	80	93	54	6	9	49	27	33	13	13	12	93	61	6	13	39	31	29	2	27	24	21	15	48	32	18	24	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10216	743	890	923	92	122	331	188	247	142	118	246	210	458	137	87	347	648	511	537	275	222	307	315	610	664	386	190	270					
9	Число недействительных избирательных бюллетеней	141	10	12	13	2	2	2	4	6	1	0	4	0	2	4	0	5	10	5	5	1	0	0	9	15	14	1	6	8					
10	Число действительных избирательных бюллетеней	10965	813	971	964	96	129	378	211	274	154	131	254	303	517	139	100	381	669	535	534	301	246	328	321	643	682	403	208	280					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	306	24	42	36	2	2	18	4	4	2	2	4	4	6	3	2	5	13	8	31	4	3	4	4	28	35	4	7	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	258	22	42	36	0	1	18	3	0	1	2	4	0	6	3	0	3	12	8	29	4	1	4	1	17	29	4	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	95	27	11	13	0	1	4	0	2	0	1	1	2	1	1	0	3	2	2	4	2	0	2	2	2	6	1	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	48	2	0	0	2	1	0	1	4	1	0	0	4	0	0	2	2	1	0	2	0	2	0	3	11	6	0	1	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	5	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1061	94	85	100	11	12	65	8	32	13	14	24	26	50	9	5	20	72	56	31	29	25	33	25	64	67	27	23	41					
		9.55%	11.42%	8.65%	10.24%	11.22%	9.16%	17.11%	3.72%	11.43%	8.39%	10.69%	9.30%	8.58%	9.63%	6.29%	5.00%	5.18%	10.60%	10.37%	5.75%	9.60%	10.16%	10.06%	7.58%	9.73%	9.63%	6.68%	10.75%	14.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2082	138	175	180	7	10	78	24	46	30	14	33	24	54	29	16	60	146	98	162	69	48	48	54	163	204	64	41	67					
		18.75%	16.77%	17.80%	18.42%	7.14%	7.63%	20.53%	11.16%	16.43%	19.35%	10.69%	12.79%	7.92%	10.40%	20.28%	16.00%	15.54%	21.50%	18.15%	30.06%	22.85%	19.51%	14.63%	16.36%	24.77%	29.31%	15.84%	19.16%	23.26%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	132	11	9	12	2	0	7	3	4	4	8	2	1	6	0	0	3	5	7	4	3	2	5	4	9	10	7	2	2					
