Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Cтрежевская городская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367									
1	Число избирателей, внесенных в списки избирателей	32161	2014	2794	2840	2689	2692	2763	2822	2691	2767	2901	2459	2729									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	27800	1800	2500	2400	2200	2500	2500	2400	2500	2300	2300	2200	2200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	20245	1249	1799	1731	1543	1658	1830	1830	1749	1732	1837	1611	1676									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	285	17	28	28	41	15	18	23	17	21	23	25	29									
6	Число погашенных избирательных бюллетеней	7270	534	673	641	616	827	652	547	734	547	440	564	495									
7	Число избирательных бюллетеней в переносных ящиках для голосования	285	17	28	28	41	15	18	23	17	21	23	25	29									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20224	1249	1799	1729	1543	1658	1812	1830	1748	1732	1837	1611	1676									
9	Число недействительных избирательных бюллетеней	226	18	22	21	19	29	15	21	15	22	20	15	9									
10	Число действительных избирательных бюллетеней	20283	1248	1805	1736	1565	1644	1815	1832	1750	1731	1840	1621	1696									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	960	80	80	80	80	80	80	80	80	80	80	80	80									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	576	42	55	51	37	49	58	51	50	41	46	57	39									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	83	5	9	13	7	3	4	10	2	7	8	7	8									
14	Число погашенных неиспользованных открепительных удостоверений	384	38	25	29	43	31	22	29	30	39	34	23	41									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	21	2	1	4	3	1	4	3	0	0	3	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0									
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
18	1.Политическая партия «Аграрная партия России»	323	21	30	33	26	30	29	29	36	17	28	26	18									
		1.57%	1.66%	1.64%	1.88%	1.64%	1.79%	1.58%	1.57%	2.04%	0.97%	1.51%	1.59%	1.06%									
19	2.Всероссийская политическая партия «Гражданская Сила»	255	21	21	15	12	21	21	41	20	28	20	25	10									
		1.24%	1.66%	1.15%	0.85%	0.76%	1.26%	1.15%	2.21%	1.13%	1.60%	1.08%	1.53%	0.59%									
20	3.Политическая партия «Демократическая партия России»	30	1	3	1	1	4	3	5	0	3	5	1	3									
		0.15%	0.08%	0.16%	0.06%	0.06%	0.24%	0.16%	0.27%	0.00%	0.17%	0.27%	0.06%	0.18%									
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1120	62	100	84	87	92	113	108	105	129	77	74	89									
		5.46%	4.90%	5.47%	4.78%	5.49%	5.50%	6.17%	5.83%	5.95%	7.36%	4.14%	4.52%	5.22%									
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	285	14	30	31	21	25	26	28	25	18	25	21	21									
		1.39%	1.11%	1.64%	1.76%	1.33%	1.49%	1.42%	1.51%	1.42%	1.03%	1.34%	1.28%	1.23%									
23	6.Политическая партия «Партия социальной справедливости»	67	3	6	6	3	7	5	9	7	2	9	8	2									
		0.33%	0.24%	0.33%	0.34%	0.19%	0.42%	0.27%	0.49%	0.40%	0.11%	0.48%	0.49%	0.12%									
24	7.Политическая партия «Либерально-демократическая партия России»	2821	183	222	260	262	245	246	196	249	231	242	249	236									
		13.75%	14.45%	12.15%	14.80%	16.54%	14.64%	13.44%	10.58%	14.11%	13.18%	13.01%	15.22%	13.84%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1414	84	154	114	77	109	154	143	126	132	136	83	102									
		6.89%	6.64%	8.43%	6.49%	4.86%	6.52%	8.42%	7.72%	7.14%	7.53%	7.31%	5.07%	5.98%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	145	13	18	11	6	13	9	9	14	13	19	12	8									
		0.71%	1.03%	0.99%	0.63%	0.38%	0.78%	0.49%	0.49%	0.79%	0.74%	1.02%	0.73%	0.47%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13567	833	1188	1156	1057	1073	1190	1235	1147	1134	1254	1107	1193									
		66.15%	65.80%	65.02%	65.79%	66.73%	64.14%	65.03%	66.65%	64.99%	64.69%	67.42%	67.67%	69.97%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	256	13	33	25	13	25	19	29	21	24	25	15	14									
		1.25%	1.03%	1.81%	1.42%	0.82%	1.49%	1.04%	1.57%	1.19%	1.37%	1.34%	0.92%	0.82%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
